BusinessEntityID,CreditCardID,ModifiedDate
693,17935,2011-08-01
695,18328,2013-07-31
697,5301,2011-05-31
699,10526,2012-06-30
701,15282,2012-07-31
703,7167,2011-07-01
705,11274,2013-06-30
707,7832,2013-06-30
709,14371,2012-06-30
713,16871,2011-10-01
715,12135,2011-10-31
717,16939,2013-05-30
719,18908,2013-05-30
721,5618,2011-05-31
723,18407,2011-08-01
725,17073,2011-10-31
727,18323,2011-07-01
729,14261,2013-07-31
731,12554,2012-06-30
733,15829,2012-07-31
735,1039,2013-05-30
737,18049,2011-07-01
739,17658,2011-08-01
741,18502,2011-08-31
743,10336,2012-05-30
745,3827,2012-06-30
751,17669,2011-08-01
753,7092,2011-08-01
757,10553,2013-07-31
759,11781,2011-07-01
761,3070,2012-05-30
763,7392,2011-08-01
765,15443,2012-06-30
767,923,2012-05-30
769,11046,2013-05-30
771,4931,2013-05-30
773,5824,2013-07-31
775,11080,2012-07-31
777,11201,2012-04-30
779,11745,2011-07-01
781,10064,2012-06-30
783,9628,2013-07-31
785,17544,2012-07-31
787,18496,2011-08-01
789,15090,2011-07-01
791,17902,2012-05-30
793,6452,2011-07-01
795,14546,2013-06-30
797,7597,2012-07-31
799,3047,2011-08-01
801,10783,2012-07-31
803,12214,2011-08-01
805,17062,2011-08-01
807,18231,2012-06-30
809,11622,2013-06-30
811,6065,2011-08-01
813,18875,2011-08-01
815,13468,2011-07-01
817,15882,2011-07-01
819,12399,2011-05-31
821,16523,2012-09-30
823,16023,2013-07-31
825,19078,2011-08-01
827,12698,2011-08-01
829,15616,2013-06-30
831,6126,2011-07-01
833,12648,2013-06-30
835,5346,2012-10-30
837,12015,2013-06-30
839,9043,2011-10-01
841,8015,2014-01-29
843,6235,2012-10-30
845,161,2011-07-01
847,6940,2012-06-30
849,7604,2011-08-01
851,1346,2011-05-31
853,8213,2013-07-31
855,11874,2013-07-31
857,19143,2013-05-30
859,18174,2013-07-31
861,10146,2012-07-31
863,18813,2011-08-01
867,16967,2013-07-31
869,11011,2011-07-01
871,3465,2012-07-31
873,12,2012-05-30
875,8579,2013-05-30
877,7146,2011-08-01
879,15538,2011-05-31
881,11555,2011-08-01
883,6675,2011-07-01
885,13480,2012-07-31
887,5099,2013-05-30
889,5995,2013-09-30
891,15319,2012-06-30
893,4511,2014-05-01
895,6955,2011-08-01
897,2759,2011-10-01
899,13246,2011-07-01
901,18591,2012-07-31
903,76,2011-05-31
905,17748,2013-07-31
907,5439,2011-05-31
909,14599,2013-07-31
911,3498,2012-07-31
913,11717,2011-07-01
915,15076,2012-06-30
919,10919,2012-12-31
921,8965,2013-08-30
923,15586,2011-12-01
925,17132,2011-08-01
927,782,2012-07-31
929,11441,2012-05-30
931,14562,2012-05-30
933,19181,2011-07-01
935,15798,2011-07-01
937,10915,2012-07-31
939,706,2013-05-30
941,4662,2013-06-30
943,5710,2012-05-30
945,9386,2013-06-30
947,1699,2012-06-30
949,16754,2012-07-31
951,8850,2012-05-30
953,5868,2012-05-30
957,14803,2012-06-30
959,6191,2011-10-01
961,451,2012-06-30
963,11815,2011-07-01
965,5609,2011-10-31
969,18316,2011-07-01
971,15711,2013-06-30
973,4835,2011-07-01
975,16976,2012-06-30
977,10100,2012-07-31
979,12102,2011-07-01
981,8672,2012-05-30
983,18930,2013-07-31
985,10662,2012-06-30
987,7667,2012-06-30
989,12582,2013-07-31
991,2780,2012-06-30
993,17978,2013-07-31
995,3367,2013-08-30
997,8552,2011-08-01
999,15432,2013-07-31
1001,8217,2012-05-30
1003,5347,2013-07-31
1009,13366,2011-07-01
1011,15682,2011-10-31
1013,14140,2012-07-31
1015,7845,2011-08-01
1017,18153,2011-05-31
1019,6291,2013-07-31
1021,12279,2011-07-01
1023,2274,2013-06-30
1025,17324,2012-07-31
1027,10004,2012-06-30
1029,13694,2013-06-30
1031,14559,2011-07-01
1033,6881,2012-06-30
1035,8399,2013-05-30
1037,9314,2013-07-31
1039,18097,2012-07-31
1041,6535,2013-07-31
1043,14030,2011-05-31
1045,16281,2011-05-31
1047,13699,2012-08-30
1049,11886,2011-05-31
1051,6183,2012-06-30
1053,12371,2013-05-30
1055,16905,2011-07-01
1059,7719,2014-05-01
1061,18495,2012-07-31
1063,4432,2012-07-31
1065,18418,2011-08-01
1067,6083,2012-06-30
1069,17621,2012-06-30
1071,11888,2013-05-30
1073,12030,2012-07-31
1075,14790,2013-07-31
1077,8482,2013-07-31
1079,14234,2013-07-31
1081,11056,2011-08-01
1083,13939,2013-07-31
1085,1417,2011-05-31
1087,12299,2013-06-30
1089,10234,2011-07-01
1091,4443,2012-07-31
1093,18493,2013-06-30
1095,1402,2011-05-31
1099,7001,2013-05-30
1101,5279,2012-06-30
1105,8479,2012-10-30
1107,12177,2011-07-01
1109,7089,2013-07-31
1111,8043,2011-07-01
1113,9617,2012-07-31
1115,18675,2012-06-30
1117,6646,2011-12-01
1119,5651,2012-01-29
1121,59,2013-06-30
1125,16665,2011-07-01
1127,10520,2012-08-30
1129,7831,2013-06-30
1131,10899,2012-07-31
1133,11840,2011-07-01
1135,8991,2011-07-01
1137,11679,2012-05-30
1139,4218,2013-06-30
1141,19174,2012-06-30
1143,14219,2014-05-01
1145,17174,2013-05-30
1147,8882,2011-08-01
1149,5102,2012-07-31
1151,18419,2013-05-30
1153,11744,2012-05-30
1155,15771,2012-06-30
1157,5434,2013-07-31
1159,10909,2013-07-31
1161,11984,2012-05-30
1163,8663,2011-07-01
1165,9212,2013-07-31
1167,12808,2012-07-31
1169,18707,2011-08-01
1171,2668,2013-01-28
1173,2470,2011-07-01
1175,9540,2011-08-31
1177,3586,2013-07-31
1181,2364,2011-07-01
1183,5093,2011-05-31
1185,13693,2011-05-31
1187,5215,2012-07-31
1191,11072,2011-07-01
1195,5424,2013-05-30
1197,9949,2013-05-30
1199,3815,2012-06-30
1201,10191,2012-06-30
1203,11215,2011-08-01
1205,806,2011-05-31
1209,12107,2013-06-30
1211,18428,2012-10-30
1213,9973,2011-07-01
1215,1553,2012-07-31
1217,16978,2012-07-31
1219,15927,2012-06-30
1223,18480,2011-07-01
1227,7475,2011-07-01
1229,8,2013-06-30
1231,1318,2013-06-30
1233,13779,2012-05-30
1235,14606,2012-06-30
1237,4552,2013-06-30
1239,267,2011-05-31
1241,5754,2012-06-30
1243,16253,2011-08-01
1245,16654,2011-10-31
1247,686,2013-07-31
1249,55,2013-07-31
1251,15105,2013-06-30
1253,13064,2012-06-30
1255,19043,2012-05-30
1257,5220,2011-08-01
1259,8091,2013-07-31
1261,12228,2013-06-30
1265,2504,2012-06-30
1269,5343,2011-07-01
1271,4272,2013-06-30
1273,13784,2012-07-31
1275,6280,2013-06-30
1277,10623,2012-07-31
1279,15648,2011-10-01
1281,8219,2013-07-31
1283,7764,2013-07-31
1285,9054,2013-07-31
1287,18047,2012-10-30
1289,5570,2012-06-30
1291,1298,2013-06-30
1293,5661,2012-05-30
1295,12933,2011-08-01
1297,3015,2013-07-31
1299,15144,2013-06-30
1301,14487,2013-05-30
1303,13035,2013-06-30
1305,17455,2013-07-31
1307,8033,2011-08-01
1309,6777,2011-07-01
1311,14454,2011-07-01
1315,7380,2012-06-30
1317,953,2013-07-31
1319,6981,2012-06-30
1321,5110,2011-08-01
1323,11814,2012-07-31
1325,2436,2012-06-30
1327,18364,2012-06-30
1329,15483,2012-07-31
1331,13712,2011-07-01
1333,5668,2012-07-31
1335,371,2012-07-31
1337,10163,2011-05-31
1339,4851,2012-07-31
1341,7182,2013-07-31
1343,3274,2011-07-01
1345,17036,2012-07-31
1349,8103,2011-07-01
1351,15735,2013-07-31
1353,9277,2013-07-31
1355,3788,2011-08-01
1357,19011,2011-08-01
1361,13420,2011-07-01
1363,7454,2011-08-01
1365,14535,2013-05-30
1367,15138,2012-07-31
1369,15018,2013-07-31
1371,15875,2011-08-31
1373,10370,2011-05-31
1375,14542,2012-07-31
1377,1866,2012-07-31
1379,1260,2013-06-30
1381,13088,2013-12-31
1383,8719,2013-06-30
1385,16132,2012-07-31
1387,15784,2012-05-30
1391,16704,2011-10-31
1393,15555,2012-06-30
1395,8235,2013-06-30
1397,3157,2012-06-30
1399,12198,2012-06-30
1403,7898,2013-05-30
1405,9855,2011-07-01
1407,5033,2012-09-30
1409,2687,2012-06-30
1411,10453,2012-09-30
1413,7176,2011-05-31
1415,16439,2012-06-30
1417,10456,2011-05-31
1419,4871,2013-06-30
1421,10395,2012-06-30
1423,15977,2012-06-30
1425,14895,2012-07-31
1427,3600,2012-05-30
1429,6156,2012-05-30
1431,18946,2013-08-30
1433,106,2013-06-30
1435,15448,2011-08-01
1437,4842,2011-07-01
1439,17341,2013-06-30
1441,10139,2013-07-31
1443,14153,2012-07-31
1447,18744,2013-04-30
1449,5690,2012-06-30
1453,18831,2011-10-01
1455,4459,2011-10-01
1457,11652,2011-10-01
1459,7347,2011-10-31
1461,17185,2013-06-30
1463,1642,2013-06-30
1465,7029,2012-09-30
1467,3904,2012-06-30
1469,17239,2012-05-30
1471,12550,2012-07-31
1473,6536,2013-07-31
1475,14152,2013-06-30
1477,18386,2011-10-01
1479,3453,2012-06-30
1481,7672,2013-06-30
1483,6295,2013-07-31
1485,2082,2012-06-30
1489,17982,2013-07-31
1699,16578,2013-07-31
1700,15455,2014-05-05
1701,3243,2012-03-06
1702,1133,2011-09-26
1703,1188,2012-03-17
1704,2853,2012-01-14
1705,7649,2013-09-27
1706,6018,2014-06-15
1707,11094,2013-07-11
1708,4739,2014-01-01
1709,1994,2014-04-17
1710,1643,2012-07-11
1711,1934,2014-02-09
1712,7916,2012-08-02
1713,18844,2013-11-28
1714,10306,2014-06-18
1715,1433,2013-12-07
1716,1016,2014-05-01
1717,11004,2014-03-02
1718,9627,2014-03-23
1719,9055,2012-03-15
1720,2236,2012-07-09
1721,13828,2013-09-10
1722,18395,2013-04-08
1723,17144,2013-12-08
1724,9954,2012-09-01
1725,4694,2013-12-26
1726,6476,2014-01-06
1727,15706,2013-11-23
1728,17100,2013-12-23
1729,18632,2013-01-16
1730,17334,2012-02-28
1731,17851,2014-05-31
1732,10732,2011-12-21
1733,2352,2013-08-31
1734,12836,2014-02-18
1735,4285,2012-06-15
1736,3767,2013-05-03
1737,847,2013-08-31
1738,3571,2013-09-06
1739,92,2014-02-11
1740,18914,2012-12-08
1741,15389,2014-01-31
1742,5233,2014-02-17
1743,1405,2013-07-21
1744,15322,2014-03-28
1745,3396,2011-08-30
1746,749,2013-03-27
1747,11533,2013-12-14
1748,5229,2014-05-20
1749,8309,2013-07-10
1750,2583,2013-05-06
1751,3819,2014-03-20
1752,8584,2014-02-23
1753,7245,2014-03-20
1754,17325,2013-09-02
1755,9850,2012-05-27
1756,18892,2012-07-25
1757,15055,2012-12-07
1758,14908,2013-11-26
1759,9669,2013-11-14
1760,13682,2013-07-05
1761,16311,2014-01-28
1762,3868,2013-12-20
1763,7563,2014-01-27
1764,18984,2014-05-15
1765,2457,2013-10-30
1766,2911,2014-04-25
1767,9143,2014-05-02
1768,8711,2012-08-03
1769,16746,2011-09-16
1770,10049,2011-10-24
1771,9675,2014-05-14
1772,483,2013-11-01
1773,6545,2013-11-27
1774,17398,2012-10-26
1775,7173,2014-04-15
1776,5363,2013-05-03
1777,1488,2013-07-13
1778,14282,2013-09-21
1779,8017,2014-01-05
1780,17136,2013-05-20
1781,9580,2014-05-23
1782,4183,2013-03-12
1783,13094,2014-06-13
1784,15584,2012-02-21
1795,18037,2012-06-30
1797,5089,2012-07-31
1801,17263,2012-06-30
1803,15453,2013-07-31
1805,11599,2012-12-31
1807,10713,2013-07-31
1809,895,2013-07-31
1811,2058,2013-06-30
1813,5065,2013-06-30
1815,6546,2012-07-31
1817,13951,2013-07-31
1821,18656,2012-05-30
1823,2666,2012-12-31
1825,8784,2012-05-30
1827,10628,2011-07-01
1829,13971,2012-07-31
1831,18354,2012-06-30
1833,2658,2012-06-30
1835,9506,2012-07-31
1837,4626,2012-09-30
1839,14928,2012-05-30
1841,4304,2012-07-31
1843,1651,2012-07-31
1845,18825,2013-05-30
1849,13349,2011-05-31
1851,1446,2013-07-31
1855,14226,2013-06-30
1857,14975,2012-06-30
1859,1896,2011-07-01
1861,1324,2012-05-30
1863,3088,2011-10-01
1865,14595,2013-06-30
1867,15155,2012-06-30
1869,2318,2013-06-30
1871,9141,2013-06-30
1873,1444,2013-06-30
1875,11685,2012-04-30
1877,1862,2012-05-30
1879,2880,2013-07-31
1881,3980,2011-05-31
1883,7079,2011-08-01
1885,5666,2013-07-31
1887,15177,2013-05-30
1889,17491,2013-07-31
1891,10343,2013-07-31
1893,5804,2013-06-30
1895,18260,2011-07-01
1897,2571,2012-05-30
1899,4941,2011-07-01
1901,9959,2012-06-30
1903,1772,2013-06-30
1905,206,2013-10-30
1909,8263,2013-07-31
1911,10928,2013-10-30
1913,10305,2013-07-31
1915,3653,2012-07-31
1917,2519,2011-05-31
1923,12671,2012-06-30
1925,10156,2013-06-30
1927,11119,2013-07-31
1929,17915,2011-08-01
1931,4385,2013-07-31
1933,7126,2011-08-01
1935,6005,2011-07-01
1937,5467,2013-07-31
1939,11050,2013-06-30
1943,3059,2012-06-30
1945,13104,2011-07-01
1947,10,2011-08-31
1949,11179,2013-07-31
1951,4260,2012-05-30
1953,12779,2013-04-30
1955,3368,2011-07-01
1957,4855,2013-06-30
1959,4834,2012-10-30
1961,336,2012-06-30
1963,10422,2012-05-30
1965,14468,2012-07-31
1967,7160,2011-08-01
1969,6386,2011-07-01
1971,8292,2012-06-30
1975,17645,2012-05-30
1977,14133,2012-07-31
1979,569,2011-07-01
1981,9635,2012-06-30
1983,11645,2012-07-31
1985,12746,2012-05-30
1987,18911,2012-06-30
1989,11416,2013-05-30
1991,4623,2011-07-01
1993,16569,2012-07-31
2380,6791,2014-06-28
2381,13962,2014-04-20
2382,5196,2014-02-11
2383,1657,2014-01-05
2384,2391,2013-01-21
2385,10676,2014-02-15
2386,6465,2014-05-14
2387,759,2011-10-13
2388,14128,2013-01-20
2389,18606,2013-09-04
2390,12157,2012-11-17
2391,17735,2012-04-20
2392,3924,2013-04-01
2393,11415,2011-12-16
2394,175,2012-07-20
2395,9529,2013-05-13
2396,3824,2013-08-20
2397,12128,2013-10-06
2398,12978,2012-07-17
2399,5857,2011-11-27
2400,18171,2013-12-05
2401,3316,2014-05-15
2402,17464,2012-03-26
2403,17903,2013-05-19
2404,528,2012-07-12
2405,730,2014-06-05
2406,9249,2013-11-12
2407,7601,2014-05-22
2408,2902,2013-09-18
2409,16032,2011-07-21
2410,11144,2011-12-28
2411,2529,2014-06-04
2412,8590,2013-07-31
2413,11164,2014-02-16
2414,11294,2014-01-21
2415,4817,2013-09-27
2416,9099,2014-03-28
2417,2828,2014-03-02
2418,16443,2014-06-28
2419,12335,2013-11-18
2420,15288,2013-01-16
2421,4118,2013-10-02
2422,10059,2013-03-12
2423,14610,2013-09-18
2424,15777,2014-04-04
2425,14881,2013-10-19
2426,8374,2013-04-15
2427,9965,2013-12-19
2428,11987,2014-05-17
2429,11872,2012-01-09
2430,5865,2014-03-12
2431,5119,2014-03-12
2432,12975,2013-07-28
2433,4082,2014-04-15
2434,10454,2011-08-30
2435,3169,2013-12-16
2436,12125,2013-02-10
2437,17623,2013-04-10
2438,11890,2012-12-14
2439,1813,2013-11-17
2440,13288,2013-07-18
2441,16228,2014-03-03
2442,1947,2012-08-02
2443,1814,2011-11-04
2444,591,2013-09-02
2445,6359,2014-05-20
2446,7608,2014-05-06
2447,14894,2014-03-19
2448,3884,2013-12-13
2449,2220,2012-07-01
2450,3583,2014-02-15
2451,14075,2013-12-03
2452,18028,2014-05-07
2453,13629,2013-03-17
2454,5227,2012-07-07
2455,4568,2013-12-23
2456,3136,2012-06-28
2457,2948,2013-10-13
2458,18712,2014-05-03
2459,13763,2012-09-13
2460,9704,2013-08-07
2461,16479,2013-02-17
2462,10384,2012-03-02
2463,9430,2012-06-16
2464,9839,2013-11-21
2465,7290,2014-05-20
2466,1609,2013-08-06
2467,5786,2014-06-03
2468,12704,2013-11-07
2469,8890,2012-05-24
2470,3338,2013-12-17
2471,6786,2012-09-12
2472,13200,2011-08-23
2473,18235,2011-11-10
2474,12233,2013-10-18
2475,18363,2013-10-10
2476,12420,2014-06-21
2477,1095,2013-08-14
2478,5396,2014-04-17
2479,14252,2012-06-09
2480,9035,2013-12-26
2481,11768,2012-09-27
2482,805,2013-09-21
2483,6145,2014-03-06
2484,9761,2014-01-15
2485,15461,2012-10-27
2486,16848,2012-08-19
2487,16920,2013-04-20
2488,4747,2013-07-03
2489,140,2013-06-23
2490,6607,2013-09-06
2491,14739,2013-10-04
2492,5706,2012-06-28
2493,3120,2012-08-03
2494,13884,2014-01-31
2495,14171,2014-05-15
2496,12450,2013-03-14
2497,1060,2013-05-13
2498,8527,2013-11-08
2499,16485,2014-01-29
2500,1797,2013-07-26
2501,1903,2011-10-16
2502,10412,2013-10-02
2503,7204,2012-07-05
2504,18527,2014-03-01
2505,12425,2014-05-01
2506,2974,2013-09-08
2507,14904,2012-12-19
2508,3273,2013-09-02
2509,13808,2014-02-23
2510,239,2013-05-23
2511,594,2013-08-03
2512,10263,2012-05-21
2513,4363,2013-08-24
2514,3588,2013-11-22
2515,17799,2012-04-24
2516,2794,2013-05-09
2517,4910,2012-02-22
2518,18703,2013-05-14
2519,11635,2013-11-26
2520,14292,2013-10-30
2521,12801,2011-06-14
2522,7177,2014-02-27
2523,18634,2014-05-31
2524,446,2014-02-02
2525,14972,2012-11-30
2526,15638,2011-08-17
2527,6517,2012-04-15
2528,10948,2012-01-31
2529,3040,2013-04-01
2530,12467,2014-03-18
2531,4089,2012-09-09
2532,17744,2012-12-21
2533,7677,2014-04-12
2534,11871,2013-09-10
2535,16800,2014-02-25
2536,12325,2014-01-05
2537,18168,2013-10-25
2538,957,2012-05-08
2539,9266,2014-03-25
2540,8388,2013-09-17
2541,7653,2013-05-29
2542,16388,2013-03-19
2543,13320,2013-05-09
2544,17433,2014-04-25
2545,10757,2013-07-22
2546,9379,2012-02-12
2547,15263,2013-01-17
2548,9834,2014-01-17
2549,633,2014-05-25
2550,6197,2013-04-25
2551,18412,2013-12-08
2552,600,2012-01-22
2553,11611,2014-04-18
2554,16990,2013-12-15
2555,2619,2013-11-25
2556,14291,2011-08-24
2557,15973,2013-10-30
2558,3803,2011-06-22
2559,7518,2014-05-14
2560,2480,2011-06-21
2561,1459,2013-10-31
2562,18072,2011-11-07
2563,15917,2013-09-30
2564,18874,2012-08-07
2565,12849,2012-12-09
2566,12621,2012-11-12
2567,6951,2014-01-19
2568,10034,2013-09-03
2569,1629,2012-02-12
2570,7880,2013-04-18
2571,2136,2011-09-11
2572,6101,2013-11-03
2573,15002,2014-02-24
2574,11547,2012-05-06
2575,3637,2013-10-28
2576,7301,2013-08-08
2577,14769,2013-10-01
2578,7341,2011-11-20
2579,3150,2014-06-01
2580,11400,2014-03-20
2581,9986,2012-06-05
2582,15622,2013-12-20
2583,19053,2013-07-14
2584,6077,2013-08-30
2585,1685,2013-10-27
2586,7913,2014-03-16
2587,6166,2012-04-13
2588,8929,2013-10-25
2589,19227,2014-04-28
2590,5335,2012-12-14
2591,11946,2012-07-17
2592,6066,2013-03-19
2593,9640,2012-06-16
2594,4471,2014-01-26
2595,3207,2012-07-20
2596,791,2014-05-05
2597,16713,2013-10-04
2598,1485,2012-12-22
2599,17666,2013-08-26
2600,12752,2014-02-19
2601,9265,2014-01-18
2602,12184,2013-09-12
2603,3927,2012-11-10
2604,9413,2012-07-17
2605,8110,2013-08-06
2606,7955,2014-01-10
2607,16149,2013-08-01
2608,12795,2014-05-15
2609,5141,2011-11-15
2610,11777,2014-05-06
2611,1136,2013-07-24
2612,10250,2013-03-07
2613,4864,2014-05-29
2614,1079,2011-12-26
2615,13867,2011-11-18
2616,3551,2014-03-11
2617,9229,2014-02-27
2618,13873,2013-11-28
2619,4728,2013-06-18
2620,7407,2014-03-31
2621,17557,2014-05-10
2622,2818,2014-03-08
2623,900,2014-02-04
2624,14032,2014-01-19
2625,18836,2014-03-27
2626,7589,2013-08-01
2627,6025,2013-02-13
2628,17986,2013-12-31
2629,13669,2013-10-06
2630,540,2013-05-16
2631,12162,2011-10-14
2632,9118,2012-06-28
2633,15578,2014-03-04
2634,6598,2014-02-11
2635,18103,2014-02-16
2636,17703,2012-11-25
2637,872,2013-05-07
2638,1494,2013-12-05
2639,8845,2014-01-23
2640,16432,2013-09-07
2641,10770,2013-12-31
2642,3205,2013-11-26
2643,6453,2014-01-09
2644,8097,2012-12-21
2645,12362,2011-11-01
2646,12310,2013-07-27
2647,16207,2012-03-26
2648,46,2013-12-07
2649,4394,2014-04-16
2650,7366,2013-07-25
2651,14254,2012-01-26
2652,11713,2013-07-29
2653,3269,2013-09-01
2654,10478,2014-01-02
2655,14416,2012-12-22
2656,10223,2012-01-07
2657,6867,2014-04-16
2658,5116,2013-05-12
2659,5031,2012-06-08
2660,19119,2014-04-24
2661,13908,2013-07-20
2662,16594,2013-09-13
2663,7482,2012-11-16
2664,17642,2014-03-04
2665,7327,2013-09-06
2666,17005,2014-01-18
2667,17008,2014-01-28
2668,15407,2012-06-24
2669,10997,2013-09-12
2670,8172,2014-03-21
2671,8494,2013-05-05
2672,12985,2012-10-26
2673,19002,2013-08-15
2674,7485,2011-06-15
2675,18019,2014-05-05
2676,17122,2013-09-30
2677,13572,2013-10-07
2678,1520,2012-03-30
2679,12153,2012-04-23
2680,47,2013-06-07
2681,12619,2013-07-21
2682,399,2013-07-18
2683,10216,2014-05-19
2684,4269,2013-06-07
2685,18925,2011-07-29
2686,15527,2014-03-15
2687,4227,2012-02-01
2688,12298,2012-03-11
2689,4139,2013-10-13
2690,11581,2013-11-25
2691,8608,2012-06-06
2692,4074,2013-11-09
2693,18917,2014-03-03
2694,6983,2014-02-25
2695,8302,2014-03-12
2696,16557,2013-07-02
2697,7929,2013-11-22
2698,15943,2014-02-15
2699,16834,2013-11-14
2700,7840,2014-05-26
2701,10348,2014-05-31
2702,11624,2013-10-19
2703,4570,2013-07-02
2704,13598,2014-02-04
2705,666,2013-10-20
2706,12788,2013-08-09
2707,6952,2012-05-22
2708,14015,2014-01-02
2709,13337,2013-03-06
2710,157,2011-09-20
2711,1350,2014-05-19
2712,9370,2014-04-04
2713,1341,2013-11-07
2714,15235,2013-08-02
2715,14007,2014-04-29
2716,6311,2014-06-14
2717,347,2013-09-08
2718,7228,2013-12-04
2719,13701,2012-12-19
2720,18202,2014-03-01
2721,14564,2014-01-09
2722,17802,2011-12-15
2723,11667,2014-05-11
2724,2166,2013-10-10
2725,4535,2013-12-29
2726,6986,2012-11-22
2727,18972,2014-05-28
2728,14856,2013-11-08
2729,5356,2013-12-22
2730,8340,2014-01-14
2731,131,2012-02-25
2732,14815,2012-11-22
2733,4529,2013-08-26
2734,19234,2013-09-29
2735,19210,2014-02-18
2736,13930,2014-04-07
2737,17985,2012-09-20
2738,18456,2014-02-04
2739,5844,2013-12-19
2740,7540,2012-11-20
2741,7055,2013-12-31
2742,3985,2013-08-08
2743,14941,2012-11-10
2744,17934,2013-06-27
2745,16304,2013-07-30
2746,18355,2013-07-15
2747,3431,2014-02-14
2748,17192,2013-11-20
2749,5132,2014-01-30
2750,17738,2012-02-22
2751,11075,2014-04-29
2752,7870,2013-11-27
2753,10310,2013-09-03
2754,5287,2014-03-29
2755,1365,2014-02-26
2756,10452,2014-01-04
2757,13640,2013-10-17
2758,16784,2013-05-27
2759,10570,2011-08-15
2760,9048,2014-01-14
2761,12617,2013-10-28
