ProductID,StartDate,EndDate,ListPrice,ModifiedDate
723,2013-05-30,,337.22,2013-05-09
724,2011-05-31,2012-05-29,297.6346,2012-05-29
724,2012-05-30,2013-05-29,306.5636,2013-05-29
724,2013-05-30,,337.22,2013-05-09
725,2011-05-31,2012-05-29,306.5636,2012-05-29
725,2012-05-30,2013-05-29,337.22,2013-05-29
726,2011-05-31,2012-05-29,306.5636,2012-05-29
726,2012-05-30,2013-05-29,337.22,2013-05-29
727,2011-05-31,2012-05-29,306.5636,2012-05-29
727,2012-05-30,2013-05-29,337.22,2013-05-29
728,2011-05-31,2012-05-29,306.5636,2012-05-29
728,2012-05-30,2013-05-29,337.22,2013-05-29
729,2011-05-31,2012-05-29,306.5636,2012-05-29
729,2012-05-30,2013-05-29,337.22,2013-05-29
730,2011-05-31,2012-05-29,306.5636,2012-05-29
730,2012-05-30,2013-05-29,337.22,2013-05-29
731,2011-05-31,2012-05-29,594.83,2012-05-29
732,2011-05-31,2012-05-29,594.83,2012-05-29
733,2011-05-31,2012-05-29,594.83,2012-05-29
734,2011-05-31,2012-05-29,594.83,2012-05-29
735,2011-05-31,2012-05-29,594.83,2012-05-29
736,2011-05-31,2012-05-29,297.6346,2012-05-29
736,2012-05-30,2013-05-29,306.5636,2013-05-29
736,2013-05-30,,337.22,2013-05-09
737,2011-05-31,2012-05-29,297.6346,2012-05-29
737,2012-05-30,2013-05-29,306.5636,2013-05-29
737,2013-05-30,,337.22,2013-05-09
738,2011-05-31,2012-05-29,297.6346,2012-05-29
738,2012-05-30,2013-05-29,306.5636,2013-05-29
738,2013-05-30,,337.22,2013-05-09
739,2011-05-31,2012-05-29,1204.3248,2012-05-29
739,2012-05-30,2013-05-29,1240.4545,2013-05-29
739,2013-05-30,,1364.5,2013-05-09
740,2011-05-31,2012-05-29,1364.5,2012-05-29
741,2011-05-31,2012-05-29,1364.5,2012-05-29
742,2011-05-31,2012-05-29,1204.3248,2012-05-29
742,2012-05-30,2013-05-29,1240.4545,2013-05-29
742,2013-05-30,,1364.5,2013-05-09
743,2011-05-31,2012-05-29,1191.1739,2012-05-29
743,2012-05-30,2013-05-29,1226.9091,2013-05-29
743,2013-05-30,,1349.6,2013-05-09
744,2011-05-31,2012-05-29,1349.6,2012-05-29
745,2011-05-31,2012-05-29,1349.6,2012-05-29
746,2011-05-31,2012-05-29,1191.1739,2012-05-29
746,2012-05-30,2013-05-29,1226.9091,2013-05-29
746,2013-05-30,,1349.6,2013-05-09
747,2011-05-31,2012-05-29,1191.1739,2012-05-29
747,2012-05-30,2013-05-29,1226.9091,2013-05-29
747,2013-05-30,,1349.6,2013-05-09
748,2011-05-31,2012-05-29,1204.3248,2012-05-29
748,2012-05-30,2013-05-29,1240.4545,2013-05-29
748,2013-05-30,,1364.5,2013-05-09
749,2011-05-31,2012-05-29,3578.27,2012-05-29
750,2011-05-31,2012-05-29,3578.27,2012-05-29
751,2011-05-31,2012-05-29,3578.27,2012-05-29
752,2011-05-31,2012-05-29,3578.27,2012-05-29
753,2011-05-31,2012-05-29,3578.27,2012-05-29
754,2011-05-31,2012-05-29,1457.99,2012-05-29
755,2011-05-31,2012-05-29,1457.99,2012-05-29
756,2011-05-31,2012-05-29,1457.99,2012-05-29
757,2011-05-31,2012-05-29,1457.99,2012-05-29
758,2011-05-31,2012-05-29,1457.99,2012-05-29
759,2011-05-31,2012-05-29,699.0982,2012-05-29
759,2012-05-30,2013-05-29,782.99,2013-05-29
760,2011-05-31,2012-05-29,699.0982,2012-05-29
760,2012-05-30,2013-05-29,782.99,2013-05-29
761,2011-05-31,2012-05-29,699.0982,2012-05-29
761,2012-05-30,2013-05-29,782.99,2013-05-29
762,2011-05-31,2012-05-29,699.0982,2012-05-29
762,2012-05-30,2013-05-29,782.99,2013-05-29
763,2011-05-31,2012-05-29,699.0982,2012-05-29
763,2012-05-30,2013-05-29,782.99,2013-05-29
764,2011-05-31,2012-05-29,699.0982,2012-05-29
764,2012-05-30,2013-05-29,782.99,2013-05-29
765,2011-05-31,2012-05-29,699.0982,2012-05-29
765,2012-05-30,2013-05-29,782.99,2013-05-29
766,2011-05-31,2012-05-29,699.0982,2012-05-29
766,2012-05-30,2013-05-29,782.99,2013-05-29
767,2011-05-31,2012-05-29,699.0982,2012-05-29
767,2012-05-30,2013-05-29,782.99,2013-05-29
768,2011-05-31,2012-05-29,699.0982,2012-05-29
768,2012-05-30,2013-05-29,782.99,2013-05-29
769,2011-05-31,2012-05-29,699.0982,2012-05-29
769,2012-05-30,2013-05-29,782.99,2013-05-29
770,2011-05-31,2012-05-29,699.0982,2012-05-29
770,2012-05-30,2013-05-29,782.99,2013-05-29
771,2011-05-31,2012-05-29,3399.99,2012-05-29
772,2011-05-31,2012-05-29,3399.99,2012-05-29
773,2011-05-31,2012-05-29,3399.99,2012-05-29
774,2011-05-31,2012-05-29,3399.99,2012-05-29
775,2011-05-31,2012-05-29,3374.99,2012-05-29
776,2011-05-31,2012-05-29,3374.99,2012-05-29
777,2011-05-31,2012-05-29,3374.99,2012-05-29
778,2011-05-31,2012-05-29,3374.99,2012-05-29
779,2012-05-30,2013-05-29,2071.4196,2013-05-29
779,2013-05-30,,2319.99,2013-05-09
780,2012-05-30,2013-05-29,2071.4196,2013-05-29
780,2013-05-30,,2319.99,2013-05-09
781,2012-05-30,2013-05-29,2071.4196,2013-05-29
781,2013-05-30,,2319.99,2013-05-09
782,2012-05-30,2013-05-29,2049.0982,2013-05-29
782,2013-05-30,,2294.99,2013-05-09
783,2012-05-30,2013-05-29,2049.0982,2013-05-29
783,2013-05-30,,2294.99,2013-05-09
784,2012-05-30,2013-05-29,2049.0982,2013-05-29
784,2013-05-30,,2294.99,2013-05-09
785,2012-05-30,2013-05-29,1079.99,2013-05-29
786,2012-05-30,2013-05-29,1079.99,2013-05-29
787,2012-05-30,2013-05-29,1079.99,2013-05-29
788,2012-05-30,2013-05-29,1079.99,2013-05-29
789,2012-05-30,2013-05-29,2443.35,2013-05-29
790,2012-05-30,2013-05-29,2443.35,2013-05-29
791,2012-05-30,2013-05-29,2443.35,2013-05-29
792,2012-05-30,2013-05-29,2181.5625,2013-05-29
792,2013-05-30,,2443.35,2013-05-09
793,2012-05-30,2013-05-29,2181.5625,2013-05-29
793,2013-05-30,,2443.35,2013-05-09
794,2012-05-30,2013-05-29,2181.5625,2013-05-29
794,2013-05-30,,2443.35,2013-05-09
795,2012-05-30,2013-05-29,2181.5625,2013-05-29
795,2013-05-30,,2443.35,2013-05-09
796,2012-05-30,2013-05-29,2181.5625,2013-05-29
796,2013-05-30,,2443.35,2013-05-09
797,2012-05-30,2013-05-29,1000.4375,2013-05-29
797,2013-05-30,,1120.49,2013-05-09
798,2012-05-30,2013-05-29,1000.4375,2013-05-29
798,2013-05-30,,1120.49,2013-05-09
799,2012-05-30,2013-05-29,1000.4375,2013-05-29
799,2013-05-30,,1120.49,2013-05-09
800,2012-05-30,2013-05-29,1000.4375,2013-05-29
800,2013-05-30,,1120.49,2013-05-09
801,2012-05-30,2013-05-29,1000.4375,2013-05-29
801,2013-05-30,,1120.49,2013-05-09
802,2012-05-30,2013-05-29,148.22,2013-05-29
803,2012-05-30,2013-05-29,175.49,2013-05-29
804,2012-05-30,2013-05-29,229.49,2013-05-29
805,2012-05-30,2013-05-29,34.2,2013-05-29
806,2012-05-30,2013-05-29,102.29,2013-05-29
807,2012-05-30,2013-05-29,124.73,2013-05-29
808,2012-05-30,2013-05-29,40.4909,2013-05-29
808,2013-05-30,,44.54,2013-05-09
809,2012-05-30,2013-05-29,56.2909,2013-05-29
809,2013-05-30,,61.92,2013-05-09
810,2012-05-30,2013-05-29,109.3364,2013-05-29
810,2013-05-30,,120.27,2013-05-09
811,2012-05-30,2013-05-29,40.4909,2013-05-29
811,2013-05-30,,44.54,2013-05-09
812,2012-05-30,2013-05-29,56.2909,2013-05-29
812,2013-05-30,,61.92,2013-05-09
813,2012-05-30,2013-05-29,109.3364,2013-05-29
813,2013-05-30,,120.27,2013-05-09
814,2012-05-30,2013-05-29,348.76,2013-05-29
815,2012-05-30,2013-05-29,60.745,2013-05-29
816,2012-05-30,2013-05-29,209.025,2013-05-29
817,2012-05-30,2013-05-29,300.215,2013-05-29
818,2012-05-30,2013-05-29,85.565,2013-05-29
819,2012-05-30,2013-05-29,248.385,2013-05-29
820,2012-05-30,2013-05-29,330.06,2013-05-29
821,2012-05-30,2013-05-29,218.01,2013-05-29
822,2012-05-30,2013-05-29,540.7545,2013-05-29
822,2013-05-30,,594.83,2013-05-09
823,2012-05-30,2013-05-29,87.745,2013-05-29
824,2012-05-30,2013-05-29,236.025,2013-05-29
825,2012-05-30,2013-05-29,327.215,2013-05-29
826,2012-05-30,2013-05-29,112.565,2013-05-29
827,2012-05-30,2013-05-29,275.385,2013-05-29
828,2012-05-30,2013-05-29,357.06,2013-05-29
829,2012-05-30,2013-05-29,245.01,2013-05-29
830,2012-05-30,2013-05-29,348.76,2013-05-29
831,2012-05-30,2013-05-29,348.76,2013-05-29
832,2012-05-30,2013-05-29,348.76,2013-05-29
833,2012-05-30,2013-05-29,540.7545,2013-05-29
833,2013-05-30,,594.83,2013-05-09
834,2012-05-30,2013-05-29,540.7545,2013-05-29
834,2013-05-30,,594.83,2013-05-09
835,2012-05-30,2013-05-29,540.7545,2013-05-29
835,2013-05-30,,594.83,2013-05-09
836,2012-05-30,2013-05-29,540.7545,2013-05-29
836,2013-05-30,,594.83,2013-05-09
837,2012-05-30,2013-05-29,1301.3636,2013-05-29
837,2013-05-30,,1431.5,2013-05-09
838,2012-05-30,2013-05-29,1301.3636,2013-05-29
838,2013-05-30,,1431.5,2013-05-09
839,2012-05-30,2013-05-29,1301.3636,2013-05-29
839,2013-05-30,,1431.5,2013-05-09
840,2012-05-30,2013-05-29,1301.3636,2013-05-29
840,2013-05-30,,1431.5,2013-05-09
841,2012-05-30,2013-05-29,59.99,2013-05-29
842,2012-05-30,2013-05-29,125.0,2013-05-29
843,2012-05-30,2013-05-29,25.0,2013-05-29
844,2012-05-30,2013-05-29,19.99,2013-05-29
845,2012-05-30,2013-05-29,24.99,2013-05-29
846,2012-05-30,2013-05-29,13.99,2013-05-29
847,2012-05-30,2013-05-29,34.99,2013-05-29
848,2012-05-30,2013-05-29,44.99,2013-05-29
849,2012-05-30,2013-05-29,59.99,2013-05-29
850,2012-05-30,2013-05-29,59.99,2013-05-29
851,2012-05-30,2013-05-29,59.99,2013-05-29
852,2012-05-30,2013-05-29,74.99,2013-05-29
853,2012-05-30,2013-05-29,74.99,2013-05-29
854,2012-05-30,2013-05-29,74.99,2013-05-29
855,2012-05-30,2013-05-29,89.99,2013-05-29
856,2012-05-30,2013-05-29,89.99,2013-05-29
857,2012-05-30,2013-05-29,89.99,2013-05-29
858,2012-05-30,2013-05-29,23.5481,2013-05-29
858,2013-05-30,,24.49,2013-05-09
859,2012-05-30,2013-05-29,23.5481,2013-05-29
859,2013-05-30,,24.49,2013-05-09
860,2012-05-30,2013-05-29,23.5481,2013-05-29
860,2013-05-30,,24.49,2013-05-09
861,2012-05-30,2013-05-29,37.99,2013-05-29
862,2012-05-30,2013-05-29,37.99,2013-05-29
863,2012-05-30,2013-05-29,37.99,2013-05-29
864,2013-05-30,,63.5,2013-05-09
865,2013-05-30,,63.5,2013-05-09
866,2013-05-30,,63.5,2013-05-09
867,2013-05-30,,69.99,2013-05-09
868,2013-05-30,,69.99,2013-05-09
869,2013-05-30,,69.99,2013-05-09
870,2013-05-30,,4.99,2013-05-09
871,2013-05-30,,9.99,2013-05-09
872,2013-05-30,,8.99,2013-05-09
873,2013-05-30,,2.29,2013-05-09
874,2013-05-30,,8.99,2013-05-09
875,2013-05-30,,8.99,2013-05-09
876,2013-05-30,,120.0,2013-05-09
877,2013-05-30,,7.95,2013-05-09
878,2013-05-30,,21.98,2013-05-09
879,2013-05-30,,159.0,2013-05-09
880,2013-05-30,,54.99,2013-05-09
881,2013-05-30,,53.99,2013-05-09
882,2013-05-30,,53.99,2013-05-09
883,2013-05-30,,53.99,2013-05-09
884,2013-05-30,,53.99,2013-05-09
885,2013-05-30,,1003.91,2013-05-09
886,2013-05-30,,333.42,2013-05-09
887,2013-05-30,,1003.91,2013-05-09
888,2013-05-30,,1003.91,2013-05-09
889,2013-05-30,,1003.91,2013-05-09
890,2013-05-30,,1003.91,2013-05-09
891,2013-05-30,,1003.91,2013-05-09
892,2013-05-30,,1003.91,2013-05-09
893,2013-05-30,,1003.91,2013-05-09
894,2013-05-30,,121.46,2013-05-09
895,2013-05-30,,333.42,2013-05-09
896,2013-05-30,,333.42,2013-05-09
897,2013-05-30,,333.42,2013-05-09
898,2013-05-30,,333.42,2013-05-09
899,2013-05-30,,333.42,2013-05-09
900,2013-05-30,,333.42,2013-05-09
901,2013-05-30,,333.42,2013-05-09
902,2013-05-30,,333.42,2013-05-09
903,2013-05-30,,333.42,2013-05-09
904,2013-05-30,,364.09,2013-05-09
905,2013-05-30,,364.09,2013-05-09
906,2013-05-30,,364.09,2013-05-09
907,2013-05-30,,106.5,2013-05-09
908,2013-05-30,,27.12,2013-05-09
909,2013-05-30,,39.14,2013-05-09
910,2013-05-30,,52.64,2013-05-09
911,2013-05-30,,27.12,2013-05-09
912,2013-05-30,,39.14,2013-05-09
913,2013-05-30,,52.64,2013-05-09
914,2013-05-30,,27.12,2013-05-09
915,2013-05-30,,39.14,2013-05-09
916,2013-05-30,,52.64,2013-05-09
917,2013-05-30,,264.05,2013-05-09
918,2013-05-30,,264.05,2013-05-09
919,2013-05-30,,264.05,2013-05-09
920,2013-05-30,,264.05,2013-05-09
921,2013-05-30,,4.99,2013-05-09
922,2013-05-30,,3.99,2013-05-09
923,2013-05-30,,4.99,2013-05-09
924,2013-05-30,,249.79,2013-05-09
925,2013-05-30,,249.79,2013-05-09
926,2013-05-30,,249.79,2013-05-09
927,2013-05-30,,249.79,2013-05-09
928,2013-05-30,,24.99,2013-05-09
929,2013-05-30,,29.99,2013-05-09
930,2013-05-30,,35.0,2013-05-09
931,2013-05-30,,21.49,2013-05-09
932,2013-05-30,,24.99,2013-05-09
933,2013-05-30,,32.6,2013-05-09
934,2013-05-30,,28.99,2013-05-09
935,2013-05-30,,40.49,2013-05-09
936,2013-05-30,,62.09,2013-05-09
937,2013-05-30,,80.99,2013-05-09
938,2013-05-30,,40.49,2013-05-09
939,2013-05-30,,62.09,2013-05-09
940,2013-05-30,,80.99,2013-05-09
941,2013-05-30,,80.99,2013-05-09
942,2013-05-30,,364.09,2013-05-09
943,2013-05-30,,249.79,2013-05-09
944,2013-05-30,,264.05,2013-05-09
945,2013-05-30,,91.49,2013-05-09
946,2013-05-30,,46.09,2013-05-09
947,2013-05-30,,91.57,2013-05-09
948,2013-05-30,,106.5,2013-05-09
949,2013-05-30,,175.49,2013-05-09
950,2013-05-30,,256.49,2013-05-09
951,2013-05-30,,404.99,2013-05-09
952,2013-05-30,,20.24,2013-05-09
953,2013-05-30,,1214.85,2013-05-09
954,2013-05-30,,2384.07,2013-05-09
955,2013-05-30,,2384.07,2013-05-09
956,2013-05-30,,2384.07,2013-05-09
957,2013-05-30,,2384.07,2013-05-09
958,2013-05-30,,742.35,2013-05-09
959,2013-05-30,,742.35,2013-05-09
960,2013-05-30,,742.35,2013-05-09
961,2013-05-30,,742.35,2013-05-09
962,2013-05-30,,742.35,2013-05-09
963,2013-05-30,,742.35,2013-05-09
964,2013-05-30,,742.35,2013-05-09
965,2013-05-30,,742.35,2013-05-09
966,2013-05-30,,2384.07,2013-05-09
967,2013-05-30,,2384.07,2013-05-09
968,2013-05-30,,2384.07,2013-05-09
969,2013-05-30,,2384.07,2013-05-09
970,2013-05-30,,1214.85,2013-05-09
971,2013-05-30,,1214.85,2013-05-09
972,2013-05-30,,1214.85,2013-05-09
973,2013-05-30,,1700.99,2013-05-09
974,2013-05-30,,1700.99,2013-05-09
975,2013-05-30,,1700.99,2013-05-09
976,2013-05-30,,1700.99,2013-05-09
977,2013-05-30,,539.99,2013-05-09
978,2013-05-30,,742.35,2013-05-09
979,2013-05-30,,742.35,2013-05-09
980,2013-05-30,,769.49,2013-05-09
981,2013-05-30,,769.49,2013-05-09
982,2013-05-30,,769.49,2013-05-09
983,2013-05-30,,769.49,2013-05-09
984,2013-05-30,,564.99,2013-05-09
985,2013-05-30,,564.99,2013-05-09
986,2013-05-30,,564.99,2013-05-09
987,2013-05-30,,564.99,2013-05-09
988,2013-05-30,,564.99,2013-05-09
989,2013-05-30,,539.99,2013-05-09
990,2013-05-30,,539.99,2013-05-09
991,2013-05-30,,539.99,2013-05-09
992,2013-05-30,,539.99,2013-05-09
993,2013-05-30,,539.99,2013-05-09
994,2013-05-30,,53.99,2013-05-09
995,2013-05-30,,101.24,2013-05-09
996,2013-05-30,,121.49,2013-05-09
997,2013-05-30,,539.99,2013-05-09
998,2013-05-30,,539.99,2013-05-09
999,2013-05-30,,539.99,2013-05-09
