BillOfMaterialsID,ProductAssemblyID,ComponentID,StartDate,EndDate,UnitMeasureCode,BOMLevel,PerAssemblyQty,ModifiedDate
2073,,976,2010-07-08,,EA ,0,1.0,2010-06-24
103,,977,2010-03-04,,EA ,0,1.0,2010-02-18
1668,,978,2010-06-19,,EA ,0,1.0,2010-06-05
3036,,979,2010-12-15,,EA ,0,1.0,2010-12-01
1641,,980,2010-06-19,,EA ,0,1.0,2010-06-05
392,,981,2010-03-18,,EA ,0,1.0,2010-03-04
51,,982,2010-03-04,,EA ,0,1.0,2010-02-18
850,,983,2010-05-26,,EA ,0,1.0,2010-05-12
1194,,984,2010-06-09,,EA ,0,1.0,2010-05-26
3016,,985,2010-12-15,,EA ,0,1.0,2010-12-01
3280,,986,2010-12-23,,EA ,0,1.0,2010-12-09
2782,,987,2010-09-15,,EA ,0,1.0,2010-09-01
2422,,988,2010-08-05,,EA ,0,1.0,2010-07-22
3,,989,2010-03-04,,EA ,0,1.0,2010-02-18
2735,,990,2010-09-15,,EA ,0,1.0,2010-09-01
2360,,991,2010-08-05,,EA ,0,1.0,2010-07-22
1262,,992,2010-06-09,,EA ,0,1.0,2010-05-26
481,,993,2010-03-18,,EA ,0,1.0,2010-03-04
809,,997,2010-05-26,,EA ,0,1.0,2010-05-12
2050,,998,2010-07-08,,EA ,0,1.0,2010-06-24
1938,,999,2010-06-19,2010-08-18,EA ,0,1.0,2010-08-18
1731,,999,2010-08-19,,EA ,0,1.0,2010-08-05
2000,3.0,2,2010-07-08,,EA ,3,10.0,2010-06-24
1657,3.0,461,2010-06-19,,EA ,3,1.0,2010-06-05
389,3.0,504,2010-03-18,,EA ,3,2.0,2010-03-04
805,3.0,505,2010-05-26,,EA ,3,2.0,2010-05-12
2433,316.0,486,2010-08-05,,EA ,4,1.0,2010-07-22
1290,324.0,486,2010-06-09,,EA ,3,1.0,2010-05-26
875,327.0,483,2010-05-26,,EA ,3,1.0,2010-05-12
3337,328.0,482,2010-12-23,,EA ,3,1.0,2010-12-09
2806,329.0,482,2010-09-15,,EA ,3,1.0,2010-09-01
2432,330.0,482,2010-08-05,,EA ,3,1.0,2010-07-22
1289,331.0,482,2010-06-09,,EA ,4,1.0,2010-05-26
492,350.0,486,2010-03-18,,EA ,4,1.0,2010-03-04
876,398.0,487,2010-05-26,,EA ,3,1.0,2010-05-12
3338,399.0,485,2010-12-23,,EA ,3,1.0,2010-12-09
543,400.0,523,2010-03-18,,EA ,3,1.0,2010-03-04
2162,400.0,525,2010-07-08,,EA ,3,1.0,2010-06-24
935,401.0,524,2010-05-26,,EA ,3,1.0,2010-05-12
2487,401.0,526,2010-08-05,,EA ,3,1.0,2010-07-22
2327,514.0,497,2010-08-05,,EA ,2,4.0,2010-07-22
3138,514.0,528,2010-12-15,,EA ,2,1.0,2010-12-01
1830,514.0,530,2010-06-19,,EA ,2,1.0,2010-06-05
3135,514.0,908,2010-12-15,,EA ,2,1.0,2010-12-01
1219,515.0,497,2010-06-09,,EA ,2,4.0,2010-05-26
3400,515.0,528,2010-12-23,,EA ,2,1.0,2010-12-09
3140,515.0,530,2010-12-15,,EA ,2,1.0,2010-12-01
2858,515.0,909,2010-09-15,,EA ,2,1.0,2010-09-01
386,516.0,497,2010-03-18,,EA ,2,4.0,2010-03-04
2862,516.0,528,2010-09-15,,EA ,2,1.0,2010-09-01
3402,516.0,530,2010-12-23,,EA ,2,1.0,2010-12-09
1357,516.0,910,2010-06-09,,EA ,2,1.0,2010-05-26
28,517.0,497,2010-03-04,,EA ,2,4.0,2010-02-18
2489,517.0,528,2010-08-05,,EA ,2,1.0,2010-07-22
2864,517.0,530,2010-09-15,,EA ,2,1.0,2010-09-01
348,517.0,911,2010-03-04,2010-05-03,EA ,1,2.0,2010-05-03
140,517.0,911,2010-05-04,,EA ,2,1.0,2010-04-20
1032,518.0,497,2010-05-26,2010-07-25,EA ,1,5.0,2010-07-25
803,518.0,497,2010-07-26,,EA ,2,4.0,2010-07-12
1360,518.0,528,2010-06-09,,EA ,2,1.0,2010-05-26
2491,518.0,530,2010-08-05,,EA ,2,1.0,2010-07-22
2161,518.0,912,2010-07-08,,EA ,2,1.0,2010-06-24
2022,519.0,497,2010-07-08,,EA ,2,4.0,2010-06-24
546,519.0,528,2010-03-18,,EA ,2,1.0,2010-03-04
1362,519.0,530,2010-06-09,,EA ,2,1.0,2010-05-26
3136,519.0,913,2010-12-15,,EA ,2,1.0,2010-12-01
1660,520.0,497,2010-06-19,,EA ,2,4.0,2010-06-05
144,520.0,528,2010-03-04,,EA ,2,1.0,2010-02-18
548,520.0,530,2010-03-18,,EA ,2,1.0,2010-03-04
2859,520.0,914,2010-09-15,,EA ,2,1.0,2010-09-01
3012,521.0,497,2010-12-15,,EA ,2,4.0,2010-12-01
938,521.0,528,2010-05-26,,EA ,2,1.0,2010-05-12
146,521.0,530,2010-03-04,,EA ,2,1.0,2010-02-18
1358,521.0,915,2010-06-09,,EA ,2,1.0,2010-05-26
3239,522.0,497,2010-12-23,,EA ,2,4.0,2010-12-09
2165,522.0,528,2010-07-08,,EA ,2,1.0,2010-06-24
1124,522.0,530,2010-05-26,2010-07-25,EA ,1,2.0,2010-07-25
940,522.0,530,2010-07-26,,EA ,2,1.0,2010-07-12
141,522.0,916,2010-03-04,,EA ,2,1.0,2010-02-18
1288,529.0,477,2010-06-09,,EA ,3,1.0,2010-05-26
2094,531.0,487,2010-07-08,,EA ,4,1.0,2010-06-24
1956,532.0,484,2010-06-19,2010-08-18,EA ,2,2.0,2010-08-18
1769,532.0,484,2010-08-19,,EA ,3,1.0,2010-08-05
100,533.0,478,2010-03-04,,EA ,3,1.0,2010-02-18
491,534.0,482,2010-03-18,,EA ,3,1.0,2010-03-04
1445,680.0,324,2010-06-09,,EA ,2,2.0,2010-05-26
1881,680.0,325,2010-06-19,,EA ,2,2.0,2010-06-05
3453,680.0,326,2010-12-23,,EA ,2,1.0,2010-12-09
2541,680.0,327,2010-08-05,,EA ,2,1.0,2010-07-22
3190,680.0,399,2010-12-15,,EA ,2,1.0,2010-12-01
1617,680.0,492,2010-06-09,2010-08-08,OZ ,1,9.0,2010-08-08
1446,680.0,492,2010-08-09,,OZ ,2,8.0,2010-07-26
626,680.0,532,2010-03-18,,EA ,2,4.0,2010-03-04
987,680.0,533,2010-05-26,,EA ,2,1.0,2010-05-12
220,680.0,534,2010-03-04,,EA ,2,1.0,2010-02-18
219,680.0,804,2010-03-04,,EA ,2,1.0,2010-02-18
776,706.0,324,2010-03-18,,EA ,2,2.0,2010-03-04
1999,706.0,325,2010-06-19,,EA ,2,2.0,2010-06-05
3482,706.0,326,2010-12-23,,EA ,2,1.0,2010-12-09
2709,706.0,327,2010-08-05,,EA ,2,1.0,2010-07-22
3215,706.0,399,2010-12-15,,EA ,2,1.0,2010-12-01
777,706.0,493,2010-03-18,,OZ ,2,8.0,2010-03-04
778,706.0,532,2010-03-18,,EA ,2,4.0,2010-03-04
1190,706.0,533,2010-05-26,,EA ,2,1.0,2010-05-12
779,706.0,534,2010-05-06,,EA ,2,1.0,2010-04-22
360,706.0,804,2010-03-04,,EA ,2,1.0,2010-02-18
1453,717.0,324,2010-06-09,,EA ,2,2.0,2010-05-26
1887,717.0,325,2010-06-19,,EA ,2,2.0,2010-06-05
3459,717.0,326,2010-12-23,,EA ,2,1.0,2010-12-09
2547,717.0,327,2010-08-05,,EA ,2,1.0,2010-07-22
3196,717.0,399,2010-12-15,,EA ,2,1.0,2010-12-01
771,717.0,493,2010-03-18,2010-05-17,OZ ,1,9.0,2010-05-17
636,717.0,493,2010-05-18,,OZ ,2,8.0,2010-05-04
637,717.0,532,2010-03-18,,EA ,2,4.0,2010-03-04
993,717.0,533,2010-05-26,,EA ,2,1.0,2010-05-12
232,717.0,534,2010-03-04,,EA ,2,1.0,2010-02-18
231,717.0,804,2010-03-04,,EA ,2,1.0,2010-02-18
1449,718.0,324,2010-06-09,,EA ,2,2.0,2010-05-26
1883,718.0,325,2010-06-19,,EA ,2,2.0,2010-06-05
3455,718.0,326,2010-12-23,,EA ,2,1.0,2010-12-09
2689,718.0,327,2010-08-05,2010-10-04,EA ,1,2.0,2010-10-04
2543,718.0,327,2010-10-05,,EA ,2,1.0,2010-09-21
3192,718.0,399,2010-12-15,,EA ,2,1.0,2010-12-01
628,718.0,493,2010-03-18,,OZ ,2,8.0,2010-03-04
629,718.0,532,2010-03-18,,EA ,2,4.0,2010-03-04
989,718.0,533,2010-05-26,,EA ,2,1.0,2010-05-12
224,718.0,534,2010-03-04,,EA ,2,1.0,2010-02-18
223,718.0,804,2010-03-04,,EA ,2,1.0,2010-02-18
1450,719.0,324,2010-06-09,,EA ,2,2.0,2010-05-26
1884,719.0,325,2010-06-19,,EA ,2,2.0,2010-06-05
3456,719.0,326,2010-12-23,,EA ,2,1.0,2010-12-09
2544,719.0,327,2010-08-05,,EA ,2,1.0,2010-07-22
3193,719.0,399,2010-12-15,,EA ,2,1.0,2010-12-01
770,719.0,493,2010-03-18,2010-05-17,OZ ,1,9.0,2010-05-17
630,719.0,493,2010-05-18,,OZ ,2,8.0,2010-05-04
631,719.0,532,2010-03-18,,EA ,2,4.0,2010-03-04
990,719.0,533,2010-05-26,,EA ,2,1.0,2010-05-12
226,719.0,534,2010-03-04,,EA ,2,1.0,2010-02-18
225,719.0,804,2010-03-04,,EA ,2,1.0,2010-02-18
1451,720.0,324,2010-06-09,,EA ,2,2.0,2010-05-26
1885,720.0,325,2010-06-19,,EA ,2,2.0,2010-06-05
3457,720.0,326,2010-12-23,,EA ,2,1.0,2010-12-09
2545,720.0,327,2010-08-05,,EA ,2,1.0,2010-07-22
3194,720.0,399,2010-12-15,,EA ,2,1.0,2010-12-01
632,720.0,493,2010-03-18,,OZ ,2,8.0,2010-03-04
633,720.0,532,2010-03-18,,EA ,2,4.0,2010-03-04
1167,720.0,533,2010-05-26,2010-07-25,EA ,1,2.0,2010-07-25
991,720.0,533,2010-07-26,,EA ,2,1.0,2010-07-12
228,720.0,534,2010-03-04,,EA ,2,1.0,2010-02-18
227,720.0,804,2010-03-04,,EA ,2,1.0,2010-02-18
1452,721.0,324,2010-06-09,,EA ,2,2.0,2010-05-26
1886,721.0,325,2010-06-19,,EA ,2,2.0,2010-06-05
3458,721.0,326,2010-12-23,,EA ,2,1.0,2010-12-09
2546,721.0,327,2010-08-05,,EA ,2,1.0,2010-07-22
3195,721.0,399,2010-12-15,,EA ,2,1.0,2010-12-01
634,721.0,493,2010-03-18,,OZ ,2,8.0,2010-03-04
635,721.0,532,2010-03-18,,EA ,2,4.0,2010-03-04
992,721.0,533,2010-05-26,,EA ,2,1.0,2010-05-12
230,721.0,534,2010-03-04,,EA ,2,1.0,2010-02-18
229,721.0,804,2010-03-04,,EA ,2,1.0,2010-02-18
1409,722.0,324,2010-06-09,,EA ,2,2.0,2010-05-26
1860,722.0,325,2010-06-19,,EA ,2,2.0,2010-06-05
3432,722.0,326,2010-12-23,,EA ,2,1.0,2010-12-09
2520,722.0,327,2010-08-05,,EA ,2,1.0,2010-07-22
3169,722.0,399,2010-12-15,,EA ,2,1.0,2010-12-01
1411,722.0,492,2010-06-09,,OZ ,2,8.0,2010-05-26
585,722.0,532,2010-03-18,,EA ,2,4.0,2010-03-04
1151,722.0,533,2010-05-26,2010-07-25,EA ,1,2.0,2010-07-25
966,722.0,533,2010-07-26,,EA ,2,1.0,2010-07-12
195,722.0,534,2010-03-04,,EA ,2,1.0,2010-02-18
1410,722.0,802,2010-06-09,,EA ,2,1.0,2010-05-26
1412,723.0,324,2010-06-09,,EA ,2,2.0,2010-05-26
1861,723.0,325,2010-06-19,,EA ,2,2.0,2010-06-05
3433,723.0,326,2010-12-23,,EA ,2,1.0,2010-12-09
2521,723.0,327,2010-08-05,,EA ,2,1.0,2010-07-22
3170,723.0,399,2010-12-15,,EA ,2,1.0,2010-12-01
1414,723.0,492,2010-06-09,,OZ ,2,8.0,2010-05-26
586,723.0,532,2010-03-18,,EA ,2,4.0,2010-03-04
967,723.0,533,2010-05-26,,EA ,2,1.0,2010-05-12
196,723.0,534,2010-03-04,,EA ,2,1.0,2010-02-18
1413,723.0,802,2010-06-09,,EA ,2,1.0,2010-05-26
1602,724.0,324,2010-06-09,2010-08-08,EA ,1,3.0,2010-08-08
1415,724.0,324,2010-08-09,,EA ,2,2.0,2010-07-26
1862,724.0,325,2010-06-19,,EA ,2,2.0,2010-06-05
3434,724.0,326,2010-12-23,,EA ,2,1.0,2010-12-09
2522,724.0,327,2010-08-05,,EA ,2,1.0,2010-07-22
3171,724.0,399,2010-12-15,,EA ,2,1.0,2010-12-01
1417,724.0,492,2010-06-09,,OZ ,2,8.0,2010-05-26
587,724.0,532,2010-03-18,,EA ,2,4.0,2010-03-04
968,724.0,533,2010-05-26,,EA ,2,1.0,2010-05-12
197,724.0,534,2010-03-04,,EA ,2,1.0,2010-02-18
1416,724.0,802,2010-06-09,,EA ,2,1.0,2010-05-26
1418,725.0,324,2010-06-09,,EA ,2,2.0,2010-05-26
1863,725.0,325,2010-06-19,,EA ,2,2.0,2010-06-05
3435,725.0,326,2010-12-23,,EA ,2,1.0,2010-12-09
2675,725.0,327,2010-08-05,2010-10-04,EA ,1,2.0,2010-10-04
2523,725.0,327,2010-10-05,,EA ,2,1.0,2010-09-21
3172,725.0,399,2010-12-15,,EA ,2,1.0,2010-12-01
588,725.0,493,2010-03-18,,OZ ,2,8.0,2010-03-04
589,725.0,532,2010-03-18,,EA ,2,4.0,2010-03-04
969,725.0,533,2010-05-26,,EA ,2,1.0,2010-05-12
198,725.0,534,2010-03-04,,EA ,2,1.0,2010-02-18
1419,725.0,802,2010-06-09,,EA ,2,1.0,2010-05-26
1420,726.0,324,2010-06-09,,EA ,2,2.0,2010-05-26
1864,726.0,325,2010-06-19,,EA ,2,2.0,2010-06-05
3436,726.0,326,2010-12-23,,EA ,2,1.0,2010-12-09
2524,726.0,327,2010-08-05,,EA ,2,1.0,2010-07-22
3173,726.0,399,2010-12-15,,EA ,2,1.0,2010-12-01
766,726.0,493,2010-03-18,2010-05-17,OZ ,1,9.0,2010-05-17
590,726.0,493,2010-05-18,,OZ ,2,8.0,2010-05-04
591,726.0,532,2010-03-18,,EA ,2,4.0,2010-03-04
970,726.0,533,2010-05-26,,EA ,2,1.0,2010-05-12
199,726.0,534,2010-03-04,,EA ,2,1.0,2010-02-18
1421,726.0,802,2010-06-09,,EA ,2,1.0,2010-05-26
1422,727.0,324,2010-06-09,,EA ,2,2.0,2010-05-26
1865,727.0,325,2010-06-19,,EA ,2,2.0,2010-06-05
3437,727.0,326,2010-12-23,,EA ,2,1.0,2010-12-09
2525,727.0,327,2010-08-05,,EA ,2,1.0,2010-07-22
3174,727.0,399,2010-12-15,,EA ,2,1.0,2010-12-01
592,727.0,493,2010-03-18,,OZ ,2,8.0,2010-03-04
593,727.0,532,2010-03-18,,EA ,2,4.0,2010-03-04
1152,727.0,533,2010-05-26,2010-07-25,EA ,1,2.0,2010-07-25
971,727.0,533,2010-07-26,,EA ,2,1.0,2010-07-12
200,727.0,534,2010-03-04,,EA ,2,1.0,2010-02-18
1423,727.0,802,2010-06-09,,EA ,2,1.0,2010-05-26
1603,728.0,324,2010-06-09,2010-08-08,EA ,1,3.0,2010-08-08
1424,728.0,324,2010-08-09,,EA ,2,2.0,2010-07-26
1866,728.0,325,2010-06-19,,EA ,2,2.0,2010-06-05
3438,728.0,326,2010-12-23,,EA ,2,1.0,2010-12-09
2526,728.0,327,2010-08-05,,EA ,2,1.0,2010-07-22
3175,728.0,399,2010-12-15,,EA ,2,1.0,2010-12-01
594,728.0,493,2010-03-18,,OZ ,2,8.0,2010-03-04
595,728.0,532,2010-03-18,,EA ,2,4.0,2010-03-04
972,728.0,533,2010-05-26,,EA ,2,1.0,2010-05-12
201,728.0,534,2010-03-04,,EA ,2,1.0,2010-02-18
1425,728.0,802,2010-06-09,,EA ,2,1.0,2010-05-26
1426,729.0,324,2010-06-09,,EA ,2,2.0,2010-05-26
1867,729.0,325,2010-06-19,,EA ,2,2.0,2010-06-05
3439,729.0,326,2010-12-23,,EA ,2,1.0,2010-12-09
2676,729.0,327,2010-08-05,2010-10-04,EA ,1,2.0,2010-10-04
2527,729.0,327,2010-10-05,,EA ,2,1.0,2010-09-21
3176,729.0,399,2010-12-15,,EA ,2,1.0,2010-12-01
596,729.0,493,2010-03-18,,OZ ,2,8.0,2010-03-04
597,729.0,532,2010-03-18,,EA ,2,4.0,2010-03-04
973,729.0,533,2010-05-26,,EA ,2,1.0,2010-05-12
202,729.0,534,2010-03-04,,EA ,2,1.0,2010-02-18
1427,729.0,802,2010-06-09,,EA ,2,1.0,2010-05-26
1428,730.0,324,2010-06-09,,EA ,2,2.0,2010-05-26
1868,730.0,325,2010-06-19,,EA ,2,2.0,2010-06-05
3440,730.0,326,2010-12-23,,EA ,2,1.0,2010-12-09
2528,730.0,327,2010-08-05,,EA ,2,1.0,2010-07-22
3177,730.0,399,2010-12-15,,EA ,2,1.0,2010-12-01
767,730.0,493,2010-03-18,2010-05-17,OZ ,1,9.0,2010-05-17
598,730.0,493,2010-05-18,,OZ ,2,8.0,2010-05-04
599,730.0,532,2010-03-18,,EA ,2,4.0,2010-03-04
974,730.0,533,2010-05-26,,EA ,2,1.0,2010-05-12
203,730.0,534,2010-03-04,,EA ,2,1.0,2010-02-18
1429,730.0,802,2010-06-09,,EA ,2,1.0,2010-05-26
1430,731.0,324,2010-06-09,,EA ,2,2.0,2010-05-26
1869,731.0,325,2010-06-19,,EA ,2,2.0,2010-06-05
3441,731.0,326,2010-12-23,,EA ,2,1.0,2010-12-09
2682,731.0,327,2010-08-05,2010-10-04,EA ,1,2.0,2010-10-04
2529,731.0,327,2010-10-05,,EA ,2,1.0,2010-09-21
3178,731.0,399,2010-12-15,,EA ,2,1.0,2010-12-01
601,731.0,493,2010-03-18,,OZ ,2,8.0,2010-03-04
602,731.0,532,2010-03-18,,EA ,2,4.0,2010-03-04
975,731.0,533,2010-05-26,,EA ,2,1.0,2010-05-12
204,731.0,534,2010-03-04,,EA ,2,1.0,2010-02-18
600,731.0,803,2010-03-18,,EA ,2,1.0,2010-03-04
1431,732.0,324,2010-06-09,,EA ,2,2.0,2010-05-26
1870,732.0,325,2010-06-19,,EA ,2,2.0,2010-06-05
3442,732.0,326,2010-12-23,,EA ,2,1.0,2010-12-09
2530,732.0,327,2010-08-05,,EA ,2,1.0,2010-07-22
3179,732.0,399,2010-12-15,,EA ,2,1.0,2010-12-01
768,732.0,493,2010-03-18,2010-05-17,OZ ,1,9.0,2010-05-17
604,732.0,493,2010-05-18,,OZ ,2,8.0,2010-05-04
605,732.0,532,2010-03-18,,EA ,2,4.0,2010-03-04
976,732.0,533,2010-05-26,,EA ,2,1.0,2010-05-12
205,732.0,534,2010-03-04,,EA ,2,1.0,2010-02-18
603,732.0,803,2010-03-18,,EA ,2,1.0,2010-03-04
1432,733.0,324,2010-06-09,,EA ,2,2.0,2010-05-26
1871,733.0,325,2010-06-19,,EA ,2,2.0,2010-06-05
3443,733.0,326,2010-12-23,,EA ,2,1.0,2010-12-09
2531,733.0,327,2010-08-05,,EA ,2,1.0,2010-07-22
3180,733.0,399,2010-12-15,,EA ,2,1.0,2010-12-01
607,733.0,493,2010-03-18,,OZ ,2,8.0,2010-03-04
608,733.0,532,2010-03-18,,EA ,2,4.0,2010-03-04
1160,733.0,533,2010-05-26,2010-07-25,EA ,1,2.0,2010-07-25
977,733.0,533,2010-07-26,,EA ,2,1.0,2010-07-12
206,733.0,534,2010-03-04,,EA ,2,1.0,2010-02-18
606,733.0,803,2010-03-18,,EA ,2,1.0,2010-03-04
1611,734.0,324,2010-06-09,2010-08-08,EA ,1,3.0,2010-08-08
1433,734.0,324,2010-08-09,,EA ,2,2.0,2010-07-26
1872,734.0,325,2010-06-19,,EA ,2,2.0,2010-06-05
3444,734.0,326,2010-12-23,,EA ,2,1.0,2010-12-09
2532,734.0,327,2010-08-05,,EA ,2,1.0,2010-07-22
3181,734.0,399,2010-12-15,,EA ,2,1.0,2010-12-01
610,734.0,493,2010-03-18,,OZ ,2,8.0,2010-03-04
611,734.0,532,2010-03-18,,EA ,2,4.0,2010-03-04
978,734.0,533,2010-05-26,,EA ,2,1.0,2010-05-12
207,734.0,534,2010-03-04,,EA ,2,1.0,2010-02-18
609,734.0,803,2010-03-18,,EA ,2,1.0,2010-03-04
1434,735.0,324,2010-06-09,,EA ,2,2.0,2010-05-26
1873,735.0,325,2010-06-19,,EA ,2,2.0,2010-06-05
3445,735.0,326,2010-12-23,,EA ,2,1.0,2010-12-09
2683,735.0,327,2010-08-05,2010-10-04,EA ,1,2.0,2010-10-04
2533,735.0,327,2010-10-05,,EA ,2,1.0,2010-09-21
3182,735.0,399,2010-12-15,,EA ,2,1.0,2010-12-01
613,735.0,493,2010-03-18,,OZ ,2,8.0,2010-03-04
614,735.0,532,2010-03-18,,EA ,2,4.0,2010-03-04
979,735.0,533,2010-05-26,,EA ,2,1.0,2010-05-12
208,735.0,534,2010-03-04,,EA ,2,1.0,2010-02-18
612,735.0,803,2010-03-18,,EA ,2,1.0,2010-03-04
1400,736.0,324,2010-06-09,,EA ,2,2.0,2010-05-26
1857,736.0,325,2010-06-19,,EA ,2,2.0,2010-06-05
3429,736.0,326,2010-12-23,,EA ,2,1.0,2010-12-09
2517,736.0,327,2010-08-05,,EA ,2,1.0,2010-07-22
3166,736.0,399,2010-12-15,,EA ,2,1.0,2010-12-01
1402,736.0,492,2010-06-09,,OZ ,2,8.0,2010-05-26
582,736.0,532,2010-03-18,,EA ,2,4.0,2010-03-04
963,736.0,533,2010-05-26,,EA ,2,1.0,2010-05-12
192,736.0,534,2010-03-04,,EA ,2,1.0,2010-02-18
1401,736.0,802,2010-06-09,,EA ,2,1.0,2010-05-26
1600,737.0,324,2010-06-09,2010-08-08,EA ,1,3.0,2010-08-08
1403,737.0,324,2010-08-09,,EA ,2,2.0,2010-07-26
1858,737.0,325,2010-06-19,,EA ,2,2.0,2010-06-05
3430,737.0,326,2010-12-23,,EA ,2,1.0,2010-12-09
2518,737.0,327,2010-08-05,,EA ,2,1.0,2010-07-22
3167,737.0,399,2010-12-15,,EA ,2,1.0,2010-12-01
1405,737.0,492,2010-06-09,,OZ ,2,8.0,2010-05-26
583,737.0,532,2010-03-18,,EA ,2,4.0,2010-03-04
964,737.0,533,2010-05-26,,EA ,2,1.0,2010-05-12
193,737.0,534,2010-03-04,,EA ,2,1.0,2010-02-18
1404,737.0,802,2010-06-09,,EA ,2,1.0,2010-05-26
