footnote,sln,prefix,crs,lab,sect,title,credit,days,start,end,bldg,room,instructor,limit,enrolled
,26559,ED AD,800,,01,DOCT DISS EX,V,,,,ARR,ARR,,0100,0031
,12047,AGTM,403,,01,LAB TCHG TEC,1.0,,,,ARR,ARR,,0020,0001
,26567,EDPSY,401,,01,CLS ASMT EL,2.0,"M,W",13:10,,CLEV,57,,0035,0031
,26575,EDPSY,401,,02,CLS ASMT EL,2.0,"M,W",14:10,,CLEV,57,,0035,0037
,26617,EDPSY,402,,01,CLS ASMT SEC,2.0,"TU,TH",8:10,,CLEV,255,,0035,0032
,26625,EDPSY,402,,02,CLS ASMT SEC,2.0,"TU,TH",15:10,,CLEV,255,,0035,0014
,26641,EDPSY,490,,01,INSTR PRACT,V,,,,ARR,ARR,,0100,0000
,26658,EDPSY,499,,01,SP PROBLEMS,V,,,,ARR,ARR,,0100,0000
,26666,EDPSY,499,,02,SP PROBLEMS,V,,,,ARR,ARR,,0100,0000
,26674,EDPSY,502,,01,THEOR FOUNDT,3.0,W,16:10,19,CLEV,382,,0032,0024
,26682,EDPSY,505,,01,RES METH I,3.0,TH,17:10,20,CLEV,221,WALSER,0025,0013
Q,26690,EDPSY,508,,01,STATISTICS,4.0,M,17:10,21,CLEV,234,,0030,0026
,10769,ACCTG,231,,05,INT MAN ACCT,3.0,"M,W,F",13:10,,TODD,276,RIEMAN,0139,0132
,12054,AGTM,451,,01,SEMINAR,1.0,W,12:10,,HULB,27,DURFEY,0020,0009
,85076,EDPSY,519,,01,PRAC COL IN,1.0,,,,ARR,ARR,WARNER,0010,0001
Q,26716,EDPSY,565,,01,ADV ED STAT,3.0,W,17:10,20:00,CLEV,242,,0030,0014
,26724,EDPSY,570,,01,PROGRAM EVAL,3.0,W,13:10,16,CLEV,382,,0020,0019
,26740,EDPSY,597,,01,EDPSY INTERN,V,,,,ARR,ARR,,0100,0002
,26757,EDPSY,600,,01,SP PR/IND ST,V,,,,ARR,ARR,,0100,0004
,26765,EDPSY,700,,01,MAST TH EX,V,,,,ARR,ARR,,0100,0001
,26773,EDPSY,702,,01,MAST DIR ST,V,,,,ARR,ARR,,0100,0000
,26781,EDPSY,800,,01,DOCT DISS EX,V,,,,ARR,ARR,,0100,0010
,23994,E E,120,,01,INNOV IN DES,2.0,"M,W",15:10,,SLOA,175,,0014,0013
,24000,E E,120,,02,INNOV IN DES,2.0,"TU,TH",14:10,,CARP,102,,0015,0015
,12062,AGTM,453,,01,AGRIC WASTE,2.0,"M,F",9:10,,HULB,27,CHEN,0020,0006
,24018,E E,120,,03,INNOV IN DES,2.0,"TU,TH",11:10,,SLOA,175,,0016,0016
,24026,E E,214,,01,LOGIC CKTS,3.0,"M,W,F",15:10,,TODD,216,TINDER,0024,0024
,24034,E E,214,,02,LOGIC CKTS,3.0,"M,W,F",15:10,,TODD,216,,0024,0022
,24042,E E,214,,03,LOGIC CKTS,3.0,"M,W,F",15:10,,TODD,216,,0024,0022
,24059,E E,214,,04,LOGIC CKTS,3.0,"M,W,F",15:10,,TODD,216,,0024,0026
,24067,E E,214,,05,LOGIC CKTS,3.0,"M,W,F",15:10,,TODD,216,,0024,0024
,24075,E E,214,,06,LOGIC CKTS,3.0,"M,W,F",15:10,,TODD,216,,0024,0024
,24091,E E,214,,07,LOGIC CKTS,3.0,"M,W,F",15:10,,TODD,216,COLE,0001,0000
,24133,E E,261,,01,CIRCUITS I,3.0,"M,W,F",11:10,,SLOA,169,WELLS,0072,0068
,24141,E E,262,,01,CIRCUITS LAB,1.0,TH,9:10,12,EME,34,FALLON,0024,0024
,12070,AGTM,481,,01,ADV TOPICS,V,,,,ARR,ARR,,0015,0000
,24158,E E,262,,02,CIRCUITS LAB,1.0,TH,14:10,17,EME,34,FALLON,0024,0028
,24166,E E,262,,03,CIRCUITS LAB,1.0,F,14:10,17,EME,34,FALLON,0024,0012
,24208,E E,304,,01,INTR EL CKTS,2.0,"W,F",9:10,,ALBR,210,KAVASSERI,0063,0059
,24216,E E,305,,01,INTR MICROPR,2.0,"TU,TH",11:10,,SLOA,169,OREJEL,0050,0017
,24224,E E,311,,01,ELECTRONICS,3.0,"M,W,F",9:10,,SLOA,9,RINGO,0064,0033
,24240,E E,314,,01,MICROPR SYST,3.0,"M,W,F",8:10,,SLOA,150,APPERSON,0018,0015
,24257,E E,314,,02,MICROPR SYST,3.0,"M,W,F",8:10,,SLOA,150,APPERSON,0018,0016
,24265,E E,314,,03,MICROPR SYST,3.0,"M,W,F",8:10,,SLOA,150,APPERSON,0018,0018
,24273,E E,314,,04,MICROPR SYST,3.0,"M,W,F",8:10,,SLOA,150,APPERSON,0018,0014
,24323,E E,321,,01,CIRCUITS II,3.0,"M,W,F",14:10,,SLOA,169,FISCHER,0065,0041
,12088,AGTM,495,,01,AGTM INTERN,V,,,,ARR,ARR,,0020,0001
,24356,E E,324,,01,FUND DIG SYS,4.0,"M,W,F",12:10,,SLOA,150,COLE,0024,0011
,24364,E E,324,,02,FUND DIG SYS,4.0,"M,W,F",12:10,,SLOA,150,,0024,0016
,24372,E E,331,,01,FLDS & WAVES,3.0,"M,W,F",10:10,,SLOA,150,BROSCHAT,0050,0022
,24398,E E,341,,01,SIG AND SYS,3.0,"M,W,F",13:10,,SLOA,169,BELZER,0050,0033
,24406,E E,351,,01,DIST PAR SYS,3.0,"M,W,F",8:10,,SLOA,9,OLSEN,0050,0030
Q,24422,E E,352,,01,E E LAB I,3.0,TU,11:10,,SLOA,7,FALLON,0014,0011
Q,24430,E E,352,,02,E E LAB I,3.0,TU,11:10,,SLOA,7,FALLON,0014,0012
,24463,E E,361,,01,ELEC PWR SYS,3.0,"M,W,F",16:10,,SLOA,150,PEDROW,0030,0022
Q,24471,E E,362,,01,[M] POWER LAB I,V,TH,10:10,,SLOA,169,VAZIRI,0012,0012
Q,24489,E E,362,,02,[M] POWER LAB I,V,TH,10:10,,SLOA,169,,0012,0012
,12096,AGTM,499,,01,SP PROBLEMS,V,,,,ARR,ARR,,0100,0004
,24521,E E,380,,01,PROF PRACTIC,1.0,W,12:10,,SLOA,169,WELLS,0002,0000
,74021,E E,415,,01,DSN PROJ MGT,2.0,TH,15:10,17,SLOA,175,OLSEN,0048,0042
,24539,E E,416,,01,[M] E E DESIGN,3.0,TU,13:10,,SLOA,5,HAGEMEISTER,0040,0023
,24596,E E,432,,01,RF ENGINEER,4.0,"M,W,F",13:10,,SLOA,161,HUDSON,0030,0031
Q,24604,E E,434,,01,VLSI SYST I,3.0,"M,W,F",14:10,,SLOA,7,COLE,0040,0012
,24646,E E,464,,01,DIG SIG PROC,3.0,"TU,TH",10:35,11:50,SLOA,9,SIVAKUMAR,0055,0013
Q,24711,E E,472,,01,POWER LAB II,2.0,,,,ARR,ARR,MOSHER,0010,0003
T,24729,E E,476,,01,ANLY INT CKT,3.0,"M,W,F",15:10,,SLOA,150,FETCHE,0030,0018
Q,24737,E E,477,,01,[M] AN INT CK L,2.0,TU,9:10,13,EME,230,FETCHE,0015,0009
,24810,E E,483,,01,TOPICS ECE,V,,,,ARR,ARR,,0001,0000
T,12104,ALCST,365,,01,PROB ALC ADD,3.0,"TU,TH",9:10,10:25,FSHN,T101,MOSHER,0025,0009
I,24836,E E,486,,01,POWER ELECTR,3.0,"M,W,F",16:30,,JEB,25,HESS,0010,0001
Q,24851,E E,489,,01,INTR CON SYS,3.0,"M,W,F",10:10,,SLOA,169,HSU,0050,0022
T,24877,E E,491,,01,PWR SYS PERF,3.0,"M,W",17:45,19,MURW,54,PHILIPP,0020,0001
,24885,E E,493,,01,PRT PWRSYS I,3.0,"M,W,F",14:10,,SLOA,38,PEREZ,0040,0006
,24893,E E,494,,01,PROT REL LAB,2.0,TU,14:10,17,EME,28,,0020,0003
,24901,E E,495,,01,INTERNSHIP,V,,,,ARR,ARR,,0100,0003
,24919,E E,496,,01,INT SEMI DEV,3.0,"M,W,F",9:10,,SLOA,46,OSMAN,0040,0015
,24927,E E,499,,01,SP PROBLEMS,V,,,,ARR,ARR,,0100,0004
,24935,E E,499,,02,SP PROBLEMS,V,,,,ARR,ARR,,0100,0003
,24943,E E,501,,01,LIN SYS TH,3.0,"M,W,F",15:10,,SLOA,161,HSU,0040,0019
,12112,ALCST,367,,01,SP TOPICS,3.0,"M,W,F",11:10,,JSNT,226,FOSCHINI-MILLER,0020,0010
,24968,E E,504,,01,MODRN OPTICS,3.0,"TU,TH",9:10,10:25,SLOA,161,SCHNEIDER,0025,0017
,24984,E E,507,,01,RANDOM PROC,3.0,"M,W,F",12:10,,SLOA,38,SABERI,0025,0008
,25015,E E,514,,01,OPTELECTRON1,V,,,,ARR,ARR,OSMAN,0020,0005
,25031,E E,518,,01,AD EL TH I,3.0,"TU,TH",13:25,14:40,MURE,242,SCHNEIDER,0015,0007
,25056,E E,521,,01,POW SYS ANLY,3.0,"M,W",13:25,14:40,SLOA,32,VENKATASUBRAMANIAN,0030,0005
,25122,E E,543,,01,SIGNAL THEOR,3.0,"M,W,F",9:10,,SLOA,32,FISCHER,0020,0010
T,25171,E E,555,,01,CPT COM NETW,3.0,"M,W",16:15,17:30,MURW,54,SIVALINGAM,0008,0006
T,25189,E E,564,,01,ADV SIG PROC,3.0,TH,19:15,22,MURW,54,MORTZ,0015,0004
,25254,E E,595,,01,DIRECTED ST,V,,,,ARR,ARR,,0020,0003
,25288,E E,600,,01,SP PR/IND ST,V,,,,ARR,ARR,,0100,0001
,12120,ALCST,444,,01,HELP SKILLS,2.0,,,,ARR,ARR,LUBOSKI,0012,0003
,25296,E E,700,,01,MAST TH EX,V,,,,ARR,ARR,,0100,0018
,25304,E E,702,,01,MAST DIR ST,V,,,,ARR,ARR,,0100,0000
,25312,E E,800,,01,DOCT DISS EX,V,,,,ARR,ARR,,0100,0032
Q,65375,E MIC,406,,01,MICROTECH,4.0,"M,W",8:10,,SCIE,133C,FRANCESCHI,0010,0002
,65425,E MIC,406,L,01,MICROTECH,,,,,SCIE,133,,0010,0002
Q,65391,E MIC,506,,01,MICROTECH,4.0,"M,W",8:10,,SCIE,133C,FRANCESCHI,0010,0001
,65433,E MIC,506,L,01,MICROTECH,,,,,SCIE,133,,0010,0001
Q,25387,E MIC,586,,01,SPEC PROJ EM,V,,,,ARR,ARR,FRANCESCHI,0040,0038
,25395,E MIC,587,,01,SP TOP EM,1.0,,,,ARR,ARR,FRANCESCHI,0040,0038
Q,26799,ENGL,100,,01,BASIC WRTG,3.0,"M,W,F",10:10,,COLL,138,,0021,0018
,12138,ALCST,444,,02,HELP SKILLS,2.0,,,,ARR,ARR,LUBOSKI,0012,0001
Q,26807,ENGL,100,,02,BASIC WRTG,3.0,"M,W,F",9:10,,TODD,121,,0021,0015
Q,26815,ENGL,101,,01,[W] INTRO WRTG,3.0,"M,W,F",13:10,,TODD,404,,0026,0026
Q,26823,ENGL,101,,02,[W] INTRO WRTG,3.0,"M,W,F",13:10,,TODD,201,,0026,0026
Q,26831,ENGL,101,,03,[W] INTRO WRTG,3.0,"TU,TH",13:25,14:40,SLOA,163,,0026,0026
Q,26849,ENGL,101,,04,[W] INTRO WRTG,3.0,"M,W,F",9:10,,WILS,5,,0026,0024
Q,26856,ENGL,101,,05,[W] INTRO WRTG,3.0,"M,W,F",9:10,,TODD,122,,0026,0025
Q,26864,ENGL,101,,06,[W] INTRO WRTG,3.0,"M,W,F",15:10,,AVER,8,,0026,0026
Q,26872,ENGL,101,,07,[W] INTRO WRTG,3.0,"TU,TH",12:00,13:15,TODD,122,,0025,0026
Q,26880,ENGL,101,,08,[W] INTRO WRTG,3.0,"M,W,F",10:10,,WILS,5,,0026,0025
Q,26898,ENGL,101,,09,[W] INTRO WRTG,3.0,"M,W,F",10:10,,TODD,226,,0026,0024
,12153,ALCST,447,,01,ALC COUNSEL,2.0,M,14:10,16,JSNT,226,FOSCHINI-MILLER,0005,0004
Q,26906,ENGL,101,,10,[W] INTRO WRTG,3.0,"M,W,F",14:10,,BRYN,402,,0026,0026
Q,26914,ENGL,101,,11,[W] INTRO WRTG,3.0,"TU,TH",12:00,13:15,TODD,226,,0026,0026
Q,26922,ENGL,101,,12,[W] INTRO WRTG,3.0,"M,W,F",15:10,,AVER,102,,0025,0025
Q,26930,ENGL,101,,13,[W] INTRO WRTG,3.0,"M,W,F",10:10,,TODD,127,,0026,0026
Q,26948,ENGL,101,,14,[W] INTRO WRTG,3.0,"M,W,F",11:10,,AVER,8,,0026,0025
Q,26955,ENGL,101,,15,[W] INTRO WRTG,3.0,"TU,TH",9:10,10:25,CLAR,147,,0026,0025
Q,26963,ENGL,101,,16,[W] INTRO WRTG,3.0,"M,W,F",13:10,,TODD,226,,0026,0026
Q,26971,ENGL,101,,17,[W] INTRO WRTG,3.0,"M,W,F",13:10,,WILS,5,,0026,0026
Q,26997,ENGL,101,,19,[W] INTRO WRTG,3.0,"TU,TH",9:10,10:25,VAND,3,,0026,0026
Q,27011,ENGL,101,,21,[W] INTRO WRTG,3.0,"M,W,F",14:10,,TODD,201,,0026,0026
,10793,ACCTG,330,,01,INT ACCT I,3.0,"TU,TH",9:10,10:25,TODD,411,SWEENEY,0045,0030
,12161,ALCST,499,,01,SP PROBLEMS,V,,,,ARR,ARR,,0100,0004
Q,27029,ENGL,101,,22,[W] INTRO WRTG,3.0,"M,W,F",14:10,,AVER,106,,0026,0026
Q,27037,ENGL,101,,23,[W] INTRO WRTG,3.0,"M,W,F",9:10,,TODD,201,,0026,0025
Q,27045,ENGL,101,,24,[W] INTRO WRTG,3.0,"TU,TH",14:50,16:05,AVER,106,,0026,0026
Q,27060,ENGL,101,,26,[W] INTRO WRTG,3.0,"TU,TH",9:10,10:25,AVER,104,,0026,0024
Q,27078,ENGL,101,,27,[W] INTRO WRTG,3.0,"TU,TH",13:25,14:40,COLL,235,,0026,0026
Q,27086,ENGL,101,,28,[W] INTRO WRTG,3.0,"TU,TH",10:35,11:50,TODD,127,,0026,0026
Q,27094,ENGL,101,,29,[W] INTRO WRTG,3.0,"TU,TH",10:35,11:50,SGYM,205,,0026,0026
Q,27102,ENGL,101,,30,[W] INTRO WRTG,3.0,"TU,TH",13:25,14:40,VAND,4,,0026,0026
Q,27110,ENGL,101,,31,[W] INTRO WRTG,3.0,"TU,TH",12:00,13:15,WILS,5,,0026,0026
Q,27128,ENGL,101,,32,[W] INTRO WRTG,3.0,"TU,TH",9:10,10:25,LJSM,260,,0026,0026
,12179,AM ST,216,,01,[H] AMER CULTURE,3.0,"M,W,F",14:10,,BRYN,324,,0020,0008
Q,27136,ENGL,101,,33,[W] INTRO WRTG,3.0,"TU,TH",10:35,11:50,SLOA,163,,0026,0026
Q,27144,ENGL,101,,34,[W] INTRO WRTG,3.0,"M,W,F",8:10,,AVER,12,,0026,0026
Q,27151,ENGL,101,,35,[W] INTRO WRTG,3.0,"TU,TH",12:00,13:15,WILS,3,,0026,0026
Q,27169,ENGL,101,,36,[W] INTRO WRTG,3.0,"M,W,F",10:10,,VAND,4,,0026,0026
Q,27177,ENGL,101,,37,[W] INTRO WRTG,3.0,"M,W,F",11:10,,TODD,122,,0026,0026
Q,27185,ENGL,101,,38,[W] INTRO WRTG,3.0,"TU,TH",10:35,11:50,THOM,215,,0026,0026
Q,27201,ENGL,101,,40,[W] INTRO WRTG,3.0,"TU,TH",13:25,14:40,MURE,229,,0026,0025
Q,27219,ENGL,101,,41,[W] INTRO WRTG,3.0,"M,W,F",9:10,,TODD,126,,0026,0026
Q,27227,ENGL,101,,42,[W] INTRO WRTG,3.0,"M,W,F",8:10,,AVER,106,,0026,0024
Q,27235,ENGL,101,,43,[W] INTRO WRTG,3.0,"M,W,F",11:10,,VAND,4,,0026,0026
,12195,AM ST,470,,01,WEST CULTURE,3.0,"TU,TH",10:35,11:50,AVER,106,KUO,0025,0005
Q,27250,ENGL,101,,45,[W] INTRO WRTG,3.0,"M,W,F",10:10,,DAGG,2,,0026,0025
Q,27268,ENGL,101,,46,[W] INTRO WRTG,3.0,"M,W,F",10:10,,VAND,3,,0026,0024
Q,27276,ENGL,101,,47,[W] INTRO WRTG,3.0,"M,W,F",9:10,,VAND,102,,0026,0024
Q,27284,ENGL,101,,48,[W] INTRO WRTG,3.0,"M,W,F",13:10,,VAND,102,,0026,0026
Q,27292,ENGL,101,,49,[W] INTRO WRTG,3.0,"M,W,F",14:10,,BRYN,406,,0026,0026
,27425,ENGL,102,,01,WRT TUTORIAL,V,,,,ARR,ARR,,0999,0527
Q,27458,ENGL,104,,01,INT GRAM ESL,3.0,"M,W,F",10:10,,AVER,104,SILER,0026,0026
Q,27474,ENGL,105,,01,[W] COMP FOR ESL,3.0,"M,W,F",14:10,,AVER,102,SILER,0021,0016
Q,27482,ENGL,105,,02,[W] COMP FOR ESL,3.0,"TU,TH",9:10,10:25,DAGG,226,,0021,0020
,27490,ENGL,106,,01,CONVERS ESL,1.0,"M,W",13:10,,WILS,4,,0015,0015
,12203,AM ST,471,,01,[H] CUL POLITICS,3.0,"TU,TH",13:25,14:40,AVER,106,REED,0020,0020
,27508,ENGL,108,,01,[H] INTRO TO LIT,3.0,"M,W,F",13:10,,VAND,4,EHRSTINE,0050,0047
