listing_id,City,County_Or_Parish,Elementary_School,High_School,High_School_District,Middle_Or_Junior_School,Subdivision_Name
1666819,Seattle,King,Buyer To Verify,Buyer To Verify,Seattle,Buyer To Verify,Broadview
1666919,Seattle,King,View Ridge,Roosevelt High,Seattle,Eckstein Mid,Sand Point
1667573,Seattle,King,Lafayette,West Seattle High,Seattle,Madison Mid,Pigeon Point
1667208,Seattle,King,Buyer To Verify,Buyer To Verify,Seattle,Buyer To Verify,Cedar Park
1669843,Seattle,King,Laurelhurst,Roosevelt High,Seattle,Eckstein Mid,Laurelhurst
1668664,Seattle,King,Buyer To Verify,Buyer To Verify,Seattle,Buyer To Verify,Central Area
1667195,Seattle,King,Arbor Heights,Sealth High,Seattle,Denny Mid,Fauntleroy
1670888,Seattle,King,,,Seattle,,West Seattle
1670617,Seattle,King,Olympic View,Nathan Hale High,Seattle,Jane Addams,Maple Leaf
1669022,Seattle,King,,,Seattle,,Capitol Hill
1669499,Seattle,King,Montlake,Garfield High,Seattle,Buyer To Verify,Montlake
1666484,Seattle,King,Greenwood,Ingraham High,Seattle,Robert Eagle Staff Middle School,Phinney Ridge
1669356,Seattle,King,,,Seattle,,Wedgwood
1669662,Seattle,King,,,Seattle,,Greenwood
1669857,Seattle,King,Highland Park,Sealth High,Seattle,Denny Mid,Highland Park
1669475,Seattle,King,Olympic Hills,Nathan Hale High,Seattle,Jane Addams,Olympic Hills
1670796,Seattle,King,,,Seattle,,Phinney Ridge
1671047,Seattle,King,,,Seattle,,Mt Baker
1662931,Seattle,King,John Hay Elementary,Lincolnhigh,Seattle,Mc Clure Mid,Queen Anne
1667434,Seattle,King,Buyer To Verify,Buyer To Verify,Seattle,Buyer To Verify,Seattle
1662387,Seattle,King,Seattle Public Sch,Seattle Public Sch,Seattle,Seattle Public Sch,Phinney Ridge
1666408,Seattle,King,,,Seattle,,Central Area
1658634,Seattle,King,Sand Point Elem,Roosevelt High,Seattle,Eckstein Mid,Belvedere Terrace
1666467,Seattle,King,Buyer To Verify,Buyer To Verify,Seattle,Buyer To Verify,Green Lake
1662438,Seattle,King,Buyer To Verify,Buyer To Verify,Seattle,Buyer To Verify,Phinney Ridge
1667507,Seattle,King,,,Seattle,,Olympic Hills
1663615,Seattle,King,Highland Park,Sealth High,Seattle,Denny Mid,Highland Park
1671057,Seattle,King,,,Seattle,,Ballard
1670824,Seattle,King,,,Highline,,Shorewood
1669457,Seattle,King,John Stanford Intl,Roosevelt High,Seattle,Hamilton Mid,Wallingford
1675987,Seattle,King,,,Seattle,,Seattle
1669711,Seattle,King,,,Seattle,,Queen Anne
1667070,Seattle,King,Buyer To Verify,Garfield High,Seattle,Buyer To Verify,Broadmoor
1669844,Seattle,King,,,Seattle,,Green Lake
1669532,Seattle,King,Buyer To Verify,Buyer To Verify,Seattle,Buyer To Verify,First Hill
1665400,Seattle,King,Buyer To Verify,Ballard High,Seattle,Buyer To Verify,Magnolia
1671107,Seattle,King,North Beach,Ingraham High,Seattle,Whitman Mid,Crown Hill
1668871,Seattle,King,,,Seattle,,Wallingford
1666693,Seattle,King,,,Seattle,,Beacon Hill
1662969,Seattle,King,Seattle Public Sch,Seattle Public Sch,Seattle,Seattle Public Sch,Madrona
1661261,Seattle,King,Buyer To Verify,Buyer To Verify,Seattle,Buyer To Verify,Gatewood
1661997,Seattle,King,Bryant,Roosevelt High,Seattle,Eckstein Mid,Bryant
1662710,Seattle,King,Maple,Franklin High,Seattle,Mercer Mid,Georgetown
1666495,Seattle,King,Buyer To Verify,Buyer To Verify,Seattle,Buyer To Verify,Westwood
1669385,Seattle,King,Viewlands,Ingraham High,Seattle,Robert Eagle Staff Middle School,Green Lake
1671065,Seattle,King,Daniel Bagley,Roosevelt High,Seattle,Whitman Mid,Green Lake
1664522,Seattle,King,Lowell,Garfield High,Seattle,Meany Mid,Capitol Hill
1669243,Seattle,King,,,Seattle,,Seaview
1669834,Seattle,King,Buyer To Verify,Buyer To Verify,Seattle,Buyer To Verify,Victory Heights
1666744,Seattle,King,John Rogers,Nathan Hale High,Seattle,Jane Addams,Cedar Park
1669893,Seattle,King,Broadview-thomson,Ingraham High,Seattle,Broadviewthomsonk8,Broadview
1615157,Seattle,King,Buyer To Verify,Buyer To Verify,Seattle,Buyer To Verify,First Hill
1669688,Seattle,King,View Ridge,Roosevelt High,Seattle,Eckstein Mid,View Ridge
1660707,Seattle,King,Buyer To Verify,Buyer To Verify,Seattle,Buyer To Verify,Upper Rainier Beach
1671183,Seattle,King,John Hay Elementary,Lincolnhigh,Seattle,Mc Clure Mid,Queen Anne
1670138,Seattle,King,Buyer To Verify,Buyer To Verify,Seattle,Buyer To Verify,First Hill
1666068,Seattle,King,,,Seattle,,Downtown
1664077,Seattle,King,Sand Point Elem,Roosevelt High,Seattle,Eckstein Mid,Sand Point
1665039,Seattle,King,Emerson,Rainier Beach High,Seattle,Aki Kurose,Upper Rainier Beach
1665018,Seattle,King,Gatewood,West Seattle High,Seattle,Madison Mid,Gatewood
1664751,Seattle,King,Buyer To Verify,Buyer To Verify,Seattle,Buyer To Verify,Seward Park
1666305,Seattle,King,,,Seattle,,Wallingford
1670128,Seattle,King,Buyer To Verify,Buyer To Verify,Seattle,Buyer To Verify,Wallingford
1671210,Seattle,King,,,Seattle,,Madrona
1661592,Seattle,King,,,Seattle,,Central Area
1669814,Seattle,King,Seattle Public Sch,Seattle Public Sch,Seattle,Seattle Public Sch,Northgate
1670286,Seattle,King,John Hay Elementary,Lincolnhigh,Seattle,Mc Clure Mid,Queen Anne
1670010,Seattle,King,,,Seattle,,Capitol Hill
1666847,Seattle,King,Mc Gilvra,Garfield High,Seattle,Meany Mid,Madison Valley
1670033,Seattle,King,,,Seattle,,Bryant
1661205,Seattle,King,Buyer To Verify,Buyer To Verify,Seattle,Buyer To Verify,Queen Anne
1671148,Seattle,King,Buyer To Verify,Buyer To Verify,Seattle,Buyer To Verify,Capitol Hill
1653401,Seattle,King,Coe,Lincolnhigh,Seattle,Mc Clure Mid,Queen Anne
1670981,Seattle,King,Daniel Bagley,,Seattle,,Greenwood
1664076,Seattle,King,,,Seattle,,Sand Point
1665920,Seattle,King,Buyer To Verify,Buyer To Verify,Seattle,Buyer To Verify,Fremont
1664400,Seattle,King,Seattle Public Sch,Seattle Public Sch,Seattle,Seattle Public Sch,Madrona
1664560,Seattle,King,Bf Day,Roosevelt High,Seattle,Hamilton Mid,Wallingford
1665537,Seattle,King,Catharine Blaine K-8,Ballard High,Seattle,Mc Clure Mid,Magnolia
1663331,Seattle,King,Lafayette,West Seattle High,Seattle,Denny Mid,Belvidere
1670964,Seattle,King,,,Seattle,,Green Lake
1671518,Seattle,King,Bf Day,Ballard High,Seattle,Hamilton Mid,Woodland Park
1671124,Seattle,King,Viewlands,Mid College High,Seattle,Whitman Mid,Greenwood
1661656,Seattle,King,Montlake,,Seattle,,Montlake
1670021,Seattle,King,,,Seattle,,First Hill
1656146,Seattle,King,,,Seattle,,First Hill
1655048,Seattle,King,,,Seattle,,Highland Park
1670454,Seattle,King,Coe,Ballard High,Seattle,Mc Clure Mid,Queen Anne
1670202,Seattle,King,Mc Gilvra,Buyer To Verify,Seattle,Buyer To Verify,Washington Park
1667837,Seattle,King,Buyer To Verify,Buyer To Verify,Seattle,Buyer To Verify,Seaview
1667811,Seattle,King,Roxhill,Sealth High,Seattle,Denny Mid,Gatewood
1670170,Seattle,King,Thurgood Marshall El,Garfield High,Seattle,Wash Mid,Central Area
1670423,Seattle,King,,,Seattle,,Capitol Hill
1671480,Seattle,King,,,Seattle,,Seattle
1670233,Seattle,King,Highland Park,Sealth High,Seattle,Denny Mid,Highland Park
1670469,Seattle,King,Bf Day,Lincolnhigh,Seattle,Hamilton Mid,Wallingford
1669763,Seattle,King,,,Seattle,,Dunlap
1667631,Seattle,King,Buyer To Verify,Buyer To Verify,Seattle,Buyer To Verify,Beacon Hill
1667642,Seattle,King,Buyer To Verify,Buyer To Verify,Seattle,Buyer To Verify,Capitol Hill
1669923,Seattle,King,Buyer To Verify,Buyer To Verify,Seattle,Buyer To Verify,Broadview
1670576,Seattle,King,,,Seattle,,Belltown
1670298,Seattle,King,Adams,Buyer To Verify,Seattle,Buyer To Verify,Sunset Hill
1670329,Seattle,King,Beacon Hill,Franklin High,Seattle,Mercer Mid,N Beacon Hill
1670377,Seattle,King,,,Seattle,,Ballard
1667060,Seattle,King,Mc Gilvra,Buyer To Verify,Seattle,Buyer To Verify,Broadmoor
1670514,Seattle,King,,,Seattle,,Capitol Hill
1670473,Seattle,King,Mc Donald Elem,Lincolnhigh,Seattle,Hamilton Mid,Green Lake
1666481,Seattle,King,,,Seattle,,Phinney Ridge
1670354,Seattle,King,Lowell,Garfield High,Seattle,Wash Mid,Capitol Hill
1670323,Seattle,King,Buyer To Verify,Buyer To Verify,Seattle,Buyer To Verify,Queen Anne
1675193,Seattle,King,Lowell,Garfield High,Seattle,Buyer To Verify,First Hill
1670303,Seattle,King,,,Seattle,,Upper Rainier Beach
1675193,Seattle,King,Lowell,Garfield High,Seattle,Buyer To Verify,First Hill
1667144,Seattle,King,Buyer To Verify,Buyer To Verify,Seattle,Buyer To Verify,University District
1667466,Seattle,King,,,Seattle,,Belltown
1671384,Seattle,King,Buyer To Verify,Buyer To Verify,Seattle,Buyer To Verify,Rainier Valley
1670305,Seattle,King,,,Seattle,,Fremont
1670353,Seattle,King,,,Seattle,,Capitol Hill
