listing_id,listing_detail,price,bedrooms,total_baths,full_baths,square_feet,acres,year_built,status,MLS
1670866,"Welcome to this beautiful home in the heart of Magnolia! Enjoy sipping morning coffee from the
        private patio surrounded by lush greenery. With 1,941 square feet it feels like a spacious home! The chef's
        kitchen awaits with cherry cabinets, slab granite, adjoining family room, glass-walled formal dining room, huge
        living room with fireplace, master with amazing dressing room, custom tile, utility room & tons of storage.
        Updated appliances, hardwood floors & windows. 4 parking spaces is a bonus!
    ","$749,950",2,,1,"1,941",—,,Active,1670866
1671280,"A wonderful new place to call home with nearly 3,000sq ft, 4 beds, flex room, bonus room, workspace
        & even offers creative potential for MIL w/ separate entrance. This spacious, light filled house welcomes
        you with hardwood floors, expansive windows, new carpet, AC & storage galore. Live large on this 10,000+ sq
        ft lot perfect for gardening, play & backyard barbecues on the patio. New roof, 24x34' insulated garage,
        convenient location, meticulously maintained & ready for the next lucky owners .
    ","$699,000",4,,1,"2,960",0.25,,Active,1671280
1670408,"The Bolero is just heartbeat from all the activity that Downtown and Capitol Hill has to offer. This
        updated studio has hard-surface flooring throughout and comes with one parking space. This unit includes it's
        own washer/dryer, plenty of storage, and an attached deck. For entertaining, retreat to the amazing rooftop deck
        with BBQ and views of Lake Union, Puget Sound and City skyline. Fitness center and entertainment room onsite.
        This unit is a great investment to come home to. NO RENTAL CAP!
    ","$269,950",—,,1,375,0.33,,Pending,1670408
1669023,"At the end of SW Admiral Way, find this spacious gem on a quiet street just steps to the beach. The
        main level provides large cook's kitchen, open living/dining space, half bath, + sizable flex/office space.
        Upper level features a large primary w/ensuite bath + private deck, 2 ample size beds + full bath. Private
        driveway w/2car garage + shop area. Lush landscaping surrounds the home providing a feeling of privacy despite
        being a quick walk to the many amenities Alki has to offer!
    ","$1,049,000",3,,2,"2,100",0.18,,Pending,1669023
1668723,"Spacious unit faces south, has peek-a-boo water view and no adjoining walls! The Complex has had
        major renovations including new Hardie Plank siding, new windows, doors & decks. A fob access system has
        been installed; the elevators refurbished, & a new community building built. Located mins to the Burke
        Gilman Trail & Magnuson Park with EZ access to Children’s Hospital, UW & U Village. No rental cap.
        1 garage parking, pets allowed. Well run HOA with great reserves!
    ","$374,000",2,,1,985,—,,Pending,1668723
1652024,"Sparkling City lights, Sound and mountain views from this rare NW corner home at Olive 8! 10'
        ceilings, Marble baths, Pedini kitchen. World-class hotel amenities: 24-hour concierge, room service, gym,
        saline lap pool & spa. Residents-only club w/ BBQ terrace, dog run & grooming station, entertainment
        room & caterer's kitchen. Walk to shopping, theaters, restaurants, Amazon and Whole Foods. Easy access to
        I-5, light rail & SLU streetcar. Experience the best that city life has to offer!
    ","$1,875,000",2,,2,"1,534",—,,Pending,1652024
1671051,"Beautifully designed view townhome in excellent lower Queen Anne location. Each floor is spacious,
        bright, and flowing. The master level features privacy with its large en suite bath and plenty of closet space.
        WFH in your spacious and comfortable office. Upper level living room with expansive views and deck for
        relaxation, gourmet kitchen, large dining room, cozy gas fireplace. Lower level bonus room expands to private
        patio. Secure garage with 2 parking spaces and large storage locker.
    ","$1,125,000",3,,2,"1,948",0.31,,Active,1671051
1670807,"Amazing location where First Hill, Capitol Hill & Downtown meet! Close to light rail &
        freeway. Sunny Southeast corner unit with huge floor-to-ceiling windows, den and gas fireplace. Cook's kitchen
        with granite slab counters, maple cabinetry, tile backsplash and stainless steel appliances. Private view deck,
        AC, garage parking and storage. Excellent amenities: guest suite, 24-hr concierge, fitness/spa, hot tub,
        billiards lounge & theater.
    ","$499,950",1,,1,751,—,,Active,1670807
1675193,"Now's the time! LAST CHANCE to snag the best priced view condo in Seattle. Our deadline is here =
        your gain! Expansive 2 bedroom + office/3rd bedroom unit. Unparalleled views of city, South Lake Union &
        Olympics! This bright & stylish home is highlighted by maple floors, floor-to-ceiling windows,
        well-appointed kitchen w/newer appliances, built-in custom storage & new carpet. Secured building, 2
        reserved parking, 3 storage units, sunny decks, well managed HOA & building amenities. Pre-inspected!
    ","$799,999",2,,2,"1,310",—,,Active,1675193
1670668,"Welcome to Magnolia large sunny end unit townhouse, new laminate flooring on main and new carpet on
        upper level, all windows resealed, upstairs find two bedrms + bedroom or Den, bath& laundry. main level
        features living room w/gas fireplace, ½ bath, kitchen & dining. The kitchen features granite counters,
        gas stove, island with bar seating, & ss appliances, walk outside to patio perfect for easy entertaining.
        lower level with third room, office, or rec rm on w/new carpet, spacious 2 car garage.
    ","$755,000",3,,2,"1,770",0.04,,Active,1670668
1669984,"Absolutely darling craftsman in Rainier Valley is ready for next owners. Gorgeous hardwoods, period
        details, updated kitchen & two clawfoot tubs! Large lot is zoned for higher density- start your compound
        now! Fabulous garden space with mature plantings, large deck & off street parking. Detached garage has
        wonderful storage. Located only 1/2 mile to light rail & on one of Seattle's Stay Healthy Streets-only
        locals can drive here- plenty of walkers, runners, bikers & community pride abounds!
    ","$525,000",2,,2,"1,150",0.11,,Pending,1669984
1669252,"Opportunity awaits with this charming home situated smack dab in the middle of all the vibrant North
        Beacon Hill area has to offer. Enjoy the space as-is, with a gorgeously updated kitchen and bathroom, or
        capitalize on the unfinished basement with separate exterior entrance to add MIL or additional finished living
        space. Updated plumbing, gas fireplace, inlay oak hardwoods, sunny eating nook off kitchen, detached garage and
        fabulous location with convenient amenities & light rail within steps.
    ","$650,000",2,,1,"1,060",0.09,,Pending,1669252
1668401,"Stunningly remodeled N Beacon Hill townhome just a short walk to trendy restaurants, shops &
        light rail station. Over 1,800 SF, 3 bedrooms & 2 bathrooms. Chef's kitchen leads to your inviting living
        room w/ custom Mendota gas fireplace & expansive deck w/ cable railing. New hardscaping & fence added to
        back patio. Spacious master suite w/ vaulted ceilings & walk-in closet. Luxuriously remodeled master
        bathroom w/ heated floors, soaking tub, & solar skylight. This is not your typical townhome!
    ","$799,000",3,,2,"1,830",0.04,,Active,1668401
1668438,"Presenting the best of both worlds! A beautiful home w/contemporary architecture, layout, &
        finishes in Ravenna-Bryant,one of Seattle's most coveted classic neighborhoods! Open layout w/ chef's kitchen,
        dining space, & living room facing east.Master suite w/luxurious bath facing west with sunset views.
        Brazilian hardwood floors, granite, stainless,skylights, & incredible 930 sqft tandem garage w/ huge extra
        storage/shop. Fully fence low-maintenance lot, lush backyard, irrigation & private patio.
    ","$1,000,000",3,,1,"1,827",0.06,,Active,1668438
1669352,"Welcome to The Bellora - an upscale boutique building that offers concierge service, secured lobby
        entrance, full-size gym, and common areas for entertaining with Sound & mountain views. All this within
        moments of the Olympic Sculpture Park, Pike Place Market, and waterfront shops/piers. This chic jewel box condo
        features A/C, floor to ceiling windows, a gas range, stainless steel backsplash, and gleaming new kitchen
        countertops. Deeded garage parking space and storage unit. No rental cap!
    ","$419,950",1,,1,516,—,,Active,1669352
1670003,"Well-maintained 4 bed home in fantastic Magnolia location on corner lot w/city,mountain,& sound
        views.Main level features large liv rm w/gas frplc,din rm,updated gourmet kit w/eating space,2 beds &
        bth.Private master suite up w/walk-in closet.Lower level has huge media rm complete w/projector, screen, &
        gas frplc,4th bed/office,¾ bth,laundry & extra storage.Tons of natural light,hdwds,sprinkler
        sys.Charming front patio plus great back patio & salt water hot tub.2 car garage.Close to Mag Village.
    ","$1,495,000",4,,1,"3,360",0.09,,Active,1670003
1670725,"Incredible sun filled home in sought after location w/show stopping views of Mt. Rainier &
        Cascades. Spacious guest suite, large family rm, & laundry are on the entry level. 2nd level open floor plan
        living, dining, & kitchen w/grand entertaining view deck. Pantry, 2 bdrms & a bath complete this floor.
        Top floor sanctuary Master suite w/walk in closet, spa bath & private view deck. AC, Oak & Maple floors,
        tons of off-street parking, & large storage shed. Home/Sewer Inspections available.
    ","$1,188,000",4,,2,"2,410",0.07,,Pending,1670725
1671384,"Don't miss this S. Seattle gem! The open kitchen feat. stainless steel/granite, flows to the living
        room - fantastic for entertaining or quiet nights. 2 beds up w/ vaulted ceilings give tons of natural light.
        Bonus room on the lower level is ideal for a home office or creative space. Deck, yard, fruit trees and garden
        space! New boiler for radiant heating system, a $7K upgrade! Just minutes to Seward Park and light rail. 5 mins
        to food & drink in Columbia/Hillman City. Easy access to I-5. NO HOA
    ","$450,000",2,,1,"1,280",0.04,,Pending,1671384
1663117,"A charming home on a huge corner lot with room for expansion to the existing home or a second home.
        Newer solid foundation and systems. Beautiful territorial sunrise skyline and all day sunlight. Just blocks to
        restaurants or Lake Washington and Seward Park. Lounge in the secluded hot tub surrounded by lush gardens and
        feel like you have gotten away from it all. Possible lot boundary adjustment for a second lot. Buyer to verify.
    ","$510,000",1,,—,680,0.16,,Pending,1663117
1671280,"A wonderful new place to call home with nearly 3,000sq ft, 4 beds, flex room, bonus room, workspace
        & even offers creative potential for MIL w/ separate entrance. This spacious, light filled house welcomes
        you with hardwood floors, expansive windows, new carpet, AC & storage galore. Live large on this 10,000+ sq
        ft lot perfect for gardening, play & backyard barbecues on the patio. New roof, 24x34' insulated garage,
        convenient location, meticulously maintained & ready for the next lucky owners .
    ","$699,000",4,,1,"2,960",0.25,,Active,1671280
1670608,"A wonderful new place to call home with nearly 3,000sq ft, 4 beds, flex room, bonus room, workspace
        & even offers creative potential for MIL w/ separate entrance. This spacious, light filled house welcomes
        you with hardwood floors, expansive windows, new carpet, AC & storage galore. Live large on this 10,000+ sq
        ft lot perfect for gardening, play & backyard barbecues on the patio. New roof, 24x34' insulated garage,
        convenient location, meticulously maintained & ready for the next lucky owners .
    ","$699,000",4,,1,"2,960",0.25,,Active,1670608
1669759,"Sited across the street from Lincoln Park, you’ll count yourself lucky to have one of the
        loveliest parks in the city as your extended playground & yard! This solid & spacious home has all the
        spaces you desire & offers you the opportunity to design it w/the finishes you’ve always wanted. 1980s
        remodel opened the kitchen to the living & dining room - a flor plan we still love today! Enjoy 3 bdrms on
        the main & a family room downstairs + an office w a bath. Huge garage & beautiful flat back yard.
    ","$675,000",3,,1,"2,100",0.14,,Active,1669759
1647122,"Classic craftsman home with legal Accessory Dwelling Unit has the design & space you desire!
        Renovated in 2004 with a new ADU in 2014, the main house has A/C, updated plumbing, wiring, windows, & opens
        to the landscaped backyard and spacious deck & patio. Basement is full height for ample storage or future
        renovation. Airbnb revenue income Easy access to the amenities in the Wallingford commercial district. Walk
        Score 84, Transit Score 76 & Bike Score 74 - ultimate urban oasis!
    ","$1,099,000",3,,2,"2,370",0.08,,Active,1647122
1670219,"Just a few short strides to everything. This Homesite represents the culmination of quality design,
        thoughtful BIG layouts, and tasteful finishes. The heart of this fabulous community is Capitol Hill, but the
        feeling of community comes from the well-appointed and whimsical
        common courtyard. Secured garage for every home! Extra parking and some of the best decks ANYWHERE. All homes
        are well-appointed, expertly crafted, and come with the peace of mind only available in new construction.
    ","$1,125,950",3,,2,"1,829",0.02,,Active,1670219
1669599,"Looking for that perfect home or rental that's ready to move in and enjoy? Owner put time and care
        into reimagining this immaculate no HOA large/bright townhome. 3 good sized BDRMs w/3.25 baths! Both upstairs
        vaulted ceiling bedrooms are en-suite! Lower BR has its own 3/4 bath. New stainless: fridge, DW, microwave &
        gas range. New W/D, quartz counters & refinished oak floors in kitchen. Freshly painted/new carpet
        throughout. WalkScore=85! Front patio is your outdoor oasis.
    ","$659,990",3,,2,"1,600",0.02,,Pending,1669599
1670595,"Don't miss this S. Seattle gem! The open kitchen feat. stainless steel/granite, flows to the living
        room - fantastic for entertaining or quiet nights. 2 beds up w/ vaulted ceilings give tons of natural light.
        Bonus room on the lower level is ideal for a home office or creative space. Deck, yard, fruit trees and garden
        space! New boiler for radiant heating system, a $7K upgrade! Just minutes to Seward Park and light rail. 5 mins
        to food & drink in Columbia/Hillman City. Easy access to I-5. NO HOA
    ","$450,000",2,,1,"1,280",0.04,,Pending,1670595
1671051,"Beautifully designed view townhome in excellent lower Queen Anne location. Each floor is spacious,
        bright, and flowing. The master level features privacy with its large en suite bath and plenty of closet space.
        WFH in your spacious and comfortable office. Upper level living room with expansive views and deck for
        relaxation, gourmet kitchen, large dining room, cozy gas fireplace. Lower level bonus room expands to private
        patio. Secure garage with 2 parking spaces and large storage locker.
    ","$1,125,000",3,,2,"1,948",0.31,,Active,1671051
1660777,"East facing 4th floor unit,1bed/1bath+den.948 SF w/covered balcony@ Insignia's south tower. Walls of
        windows,hardwood floors and luxuries bathroom & kitchen w/high end appliances. Insignia offers the best
        amenities in town, 41st floor sky retreat, w/indoor & outdoor spaces, 7th floor 2 story fitness center
        w/yoga/Pilates &pool/spa that opens to beautiful park above town. 24 hour concierge,car wash,dog run &
        theater. Located at the heart of Seattle,this is Seattle's most sought after building.
    ","$639,000",1,,1,948,—,,Active,1660777
1669674,"This is an opportunity that only comes around once every decade or two! This is a sprawling 55 Feet
        of Beach Drive Waterfront zoned LR2, with 180 degrees of water, mountains, ships and sunsets. Build your dream
        house on this generous lot or explore the options of multiple units, either way this property is an absolute
        gem!
    ","$1,200,000",,,,,0.35,,Active,1669674
1663117,"A charming home on a huge corner lot with room for expansion to the existing home or a second home.
        Newer solid foundation and systems. Beautiful territorial sunrise skyline and all day sunlight. Just blocks to
        restaurants or Lake Washington and Seward Park. Lounge in the secluded hot tub surrounded by lush gardens and
        feel like you have gotten away from it all. Possible lot boundary adjustment for a second lot. Buyer to verify.
    ","$510,000",1,,—,680,0.16,,Pending,1663117
1653981,"Custom Built in 2001, this home delivers a delightful, smart layout. Master suite with sweeping
        views of the sound, an office nook off the master- perfect for working from home, 2 more bedrooms/1 bath down
        the hall and a large laundry room. The main floor has a chef's kitchen for entertaining year round. Lower level
        has the media room/workout room and large 2 car garage with 1/2 bath. Bonus: Heat Pump for efficiency year
        round. Great location! Overall, a smart home for today's world.
    ","$1,185,000",3,,2,"3,100",0.09,,Pending,1653981
1659998,"Move-in ready townhome in one of Seattle's most vibrant, walkable, and bikeable neighborhoods.
        Located in the heart of the U-District, conveniently located near UW, downtown, shopping, dining, entertainment,
        and transit. Great condo alternative or investment property. Features include hardwood floors, vaulted ceilings,
        granite counters, stainless steel appliances, gas range, deck off living room, new carpet & paint, attached
        garage, and no HOA dues. Blocks from Light Rail station to open in 2021
    ","$499,950",2,,1,980,0.02,,Pending,1659998
1671493,"Charming Craftsman delightfully updated inside & out! Relax on the front porch with a glass of
        wine. Sit on your new patio under the lights in the peaceful & private backyard w/raised bed gardens &
        Italian plum trees! Enjoy the lovely entry hall, nice sized liv room with corner Mt Rainier views, & the
        spacious kitchen with sunny eating area! New gas furnace, new electrical panel, double paned windows & solid
        roof! 10 min walk to Othello Station, Columbia City & close to Seward Park!
    ","$461,500",3,,1,920,0.09,,Pending,1671493
1670552,"Soaring ceilings and walls of windows invite you into this breezy great room space that flows easily
        outdoors to a sunny deck overlooking the private back yard gardens. The livability gets even better, your main
        suite with stylish new bath, walk in closet and mantled fireplace are on this same level. Upstairs a view loft
        space, w/another bath, is ideal for a home office, den or bedroom. Sunrises over the snow capped Cascades are a
        must for early risers. Perfect from top to bottom. 3 car garage.
    ","$1,275,000",4,,1,"3,110",0.15,,Pending,1670552
1670934,"Cute move in ready bungalow right next to Green Lake ! Smaller home but boasts 2bd & 2 baths -
        perfect for roommates or condo alternative. Small side room for home office, large living room & smaller
        kitchen. Hardwood flooring throughout, double pain windows, recent bath & kitchen updates. Fenced, covered
        & gated yard area, L3 zoning - don't miss !
    ","$475,000",2,,—,892,0.04,,Active,1670934
1667539,"STUNNING, protected west facing water views from every room! Elite, private and Secure. Like new
        this 2 bedroom 2 bath with rare Den/poss 3rd bdr. is secluded above Pike Place Market with views of Elliott Bay
        and Olympic Mountains. 1723 sf, gourmet kitchen w/ custom cabinets, pantry, wine cooler & office. Only four
        other homes on this floor. Close to South Lake Union, retail, theater & stadiums, 24/hr concierge, rooftop
        terrace, BBQ's, gym, yoga, boardroom. To many other features to list!
    ","$2,950,000",2,,1,"1,723",—,,Active,1667539
1669869,"Rare N-Beacon Hill Built Green townhome. 2 Bedroom and 2.5 Bathroom and attach-garage, in the
        popular N-Beacon Hill neighborhood. near to Beacon Hill Light Rail Station and to shopping, restaurants, and
        Jefferson Park. Hardwood floor, spacious kitchen w/high-end appliances & open floor plan, Gas range,
        Tank-less hot water, A/C each room, generous master bedroom, and private decks. NO HOA due.
    ","$712,900",2,,1,"1,070",0.03,,Active,1669869
1665232,"Gorgeous remodel in kitchen, + new bath & mudroom. Fresh paint, wood floors, chocolate marble, Portuguese limestone, claw foot tub in new master bath. New gas frplc in LR. Fresh landscaping + patio in rear fenced yard. Near all that Phinney + Greenlake have to offer. More updates than we can list. Artist's 'hideaway' - very private! Beautifully maintained + designed for privacy in an urban setting! High walk & bike scores. 1.5 blocks to lake. Cool + central location near shopping + cafes.","$850,000",3,,2,"1,830",0.07,,Pending,1665232
1667025,"Post & Beam tree house exemplifies PNW living with spectacular Lk Wash & Cascade mountain views. Living rm, kitchen & dining areas are open concept with soaring 35 ft. high ceilings for a much larger home feeling. Gas fireplace & energy efficient hydronic heated slate & bamboo flooring make for year-round comfort. Kitchen features concrete countertops, bamboo cabinets, huge central island, SS appliances, dual fuel range & garden views. Low maintenance yard. This house is an entertainers dream!","$1,500,000",2,,2,"1,900",0.15,,Pending,1667025
1667889,"This is a gem — Seattle living at its finest. This 4 bed/2.75 bath, recently remodeled 1938 Craftsman, enjoys bright light from western exposure & a peek-a-boo view of city. Custom detail, cool design, & open flow deliver an awesome vibe. Hardwood floors throughout, tankless H2O, AC, new plumbing, electrical, windows, security system & roof. Chef's kitchen opens up to large, sunny deck perfect for entertaining. Walking distance to park, bus line, shops/restaurants, & light rail someday soon.","$799,000",4,,2,"2,340",0.09,,Pending,1667889
1665188,"Spacious & light-filled, this Magnolia condo will delight! 3 bedrooms + lanai; a
        perfect set up for working from home & extra lounge space! Enjoy a wall of windows w/views of Cascades.
        Upgrades throughout include: new flooring, paint & doors. Kitchen updated w/quartz counters & tile
        backsplash. Master bedrm w/en suite bath + heated floors. Abundant storage with 3 large spaces + 2 PARKING
        SPOTS in private garage. Access to clubhouse, pool & exercise room. Easy access to SLU, Expedia &
        Downtown.
    ","$575,000",3,,1,"1,548",—,,Active,1665188
1665667,"Wow, this house has it all: too many features to list. This open-concept home in the desirable Queen
        Anne neighborhood has incredible views from all three west-facing decks. Extensive updates include main-floor
        remodeling, new carpets, doors, paint, flooring, and lighting throughout. Wine cellar, plentiful storage, air
        conditioning, sound system, heated bathroom floor, and the list goes on. Rare on QA, two-car attached garage
        plus four outdoor parking spaces. Must see.
    ","$1,599,000",4,,2,"2,950",0.14,,Active,1665667
1667745,"Sensational townhouse in the heart of Madison Park! Just steps from beaches & downtown, live the dream! Enter through your private front yard into your large and fabulous living room which includes a fireplace. This home is renovated top to bottom with updated kitchen and beautiful half bath on the main, brand new flooring and upgraded paint throughout. Upstairs find a gorgeous full bathroom and two large bedrooms, one with walk in closet. Private outdoor spaces in front and back yards. Lovely!","$724,950",2,,1,"1,300",0.26,,Pending,1667745
1666990,"Working from home causing a bit of stress? Here’s a home with room to work in privacy & end your day on your deck enjoying the Sound & Sunsets, all with city living! Upper level w/bar, entertainment system & deck. Enjoy the open floor plan w/steel fireplace, designer kitchen & truly unique dining room. 2 levels provide 2 BRs on each floor + room for live-in Nanny & separate space for TV & play. Control 4 Home automation, A/C, security system & wine cellar. 2 car garage plus add'l parking.","$3,200,000",5,,2,"4,636",0.08,,Active,1666990
1665045,"Capitol Hill Craftsman // An exemplary 1906 classic, masterfully renovated with respect architectural integrity, period detail, and historic charm, yet contemporary throughout with updates to all systems and structure, this turn-key residence is ideally located in Seattle's North Capitol Hill neighborhood - just two blocks from 15th Ave high street shops and three blocks to Volunteer Park. High quality outdoor space and an open floorplan afford ideal three-season casual indoor/outdoor lifestyle.","$1,947,000",3,,2,"2,740",0.13,,Active,1665045
1669986,"Stunning & spacious mid-century beauty nestled on a quiet & private street in Arbor Heights.
        This refreshed charmer offers ample room to spread out, both inside & out. Main floor hardwoods, updated BA
        & stunning kitchen w/ new appliances & sunny breakfast nook. Massive rec room downstairs, laundry room,
        3rd BR, ¾ BA, tons of storage, & separate entrance to outside. New wrap-around deck, newer roof, &
        gorgeous new driveway for up to 5 cars. Close to Lincoln Park, Fauntleroy Ferry, DT and airport.
    ","$915,000",3,,1,"3,040",0.15,,Active,1669986
1667739,"Incredible Sweeping VIEWS of the City from this sweet TOP FLOOR condo and Tons of natural light,
        this SW facing CORNER unit keeps things bright even on a gray day. Originally built in 1926, The Novell Building
        was refurbished preserving the vintage charm. Unit #305 features refinished hardwood floors and original hexagon
        tile in bathroom. With UW & Light Rail 2 blocks away, Portage Bay and Trader Joe’s close by, Living in
        the U District is not just for students! Walk Score 96, Bike Score 87.
    ","$399,000",1,,1,495,0.22,,Active,1667739
1670931,"Cozy Beacon Hill rambler features 2 bedrooms and 1 full bath. Great location near bus lines light
        rail. Steps away for Chief Sealth hiking trail. Perfect starter home or rental property. Spacious living room.
        Kitchen features plenty of counter and cabinet spaces. Low maintenance landscaping. Private backyard. Plenty of
        exterior parking on driveway.
        Walk to nearby elementary school and park.
    ","$479,000",2,,1,830,0.13,,Active,1670931
1670538,"This home is nothing short of amazing! Located on a private street, this home has all the space you
        need. Main Floor Offers: Beautiful Living room with hardwood floors, dining room & kitchen. 3 bedrooms and 1
        full bath. Master offers half bath. Lower Level Offers: 1 bedroom and 3/4 bath with radiant floor heat. Large
        rec room and tons of storage space. 1 car garage. Newer windows & roof. This home is not dependant on the WS
        Bridge. Quick drive downtown & minutes to Seatac Airport.
    ","$699,995",4,,1,"2,280",0.22,,Active,1670538
1671330,"Beautiful Craftsman Townhome in Boutique Community. No HOA dues or rental cap! Three bedroom suites,
        include a master w/walk in closet. Large family room or 4th bedroom with view off of upper deck. Designer
        kitchen with cherry cabinetry, gas range & breakfast bar. New carpeting & fresh paint throughout. High
        tech wiring, alarm system, 2 decks, private 2-car garage & front yard for in-city gardening! Enjoy great
        access to U-Village, Ravenna, UW campus, trails, shops, restaurants & city living.
    ","$849,000",3,,2,"1,970",0.02,,Active,1671330
1667022,"Price to sell! WOW $591 price per sq ft! Step into penthouse-style luxury-modern steel &concrete
        condo at 5th & Madison. Come home to stunning views of the twinkling lights of the city and the
        awe-inspiring architecture of the Seattle Library.Enjoy 10.5ft floor to ceiling windows. European-style kitchen
        is an entertainer’s dream, huge slab granite island, walk in closet Convenient location-sleek &
        sophisticated Condo.24/7 concierge, owners lounge,fitness cntr, guest suite, 1pk, 1stg NO RENT CAP.
    ","$715,000",1,,1,"1,208",—,,Active,1667022
1659750,"Boutique townhome complex of 6 residential units. Located squarely between Alaska and Morgan
        Junctions, and one quiet block off California Ave. This is THE PERFECT home for remote workers, as it has a den,
        a “tech” nook, and a flex room on the lower level that can be a second work space, hobby room, or
        even a small bedroom. Upscale hickory floors and cabinets; stainless steel kitchen package, and brand new
        carpets & interior paint. **Extra-deep garage w/storage area. No rental cap; pets allowed.
    ","$495,000",2,,1,"1,055",—,,Pending,1659750
