house_id,overview
3874726,"Rare Landmark District offering by Vari Architects, exceptional newly rehabbed historic row home in the heart of the Tri-Taylor/Medical District neighborhood is a must see! It is a brick Victorian row home with all the modern finishes of new construction without losing any of the original historic charm the neighborhood is known to have. Built in the 1880s this row home is a legal 2 flat comprised of a 3 bed/2.5 bath duplex-up owner's unit and a generous 1 bed/1 bath garden rental unit. The owner's unit features soaring ceiling heights, exposed brick in the large living room, a fireplace, beautiful hardwood floors throughout, large front bay windows looking over the quiet tree lined street and ample closet space, in-unit washer and dryer and the original arched entry door and window details. The modern kitchen has ample quartz countertop space, shaker cabinets offering abundant storage, stainless steel Whirlpool appliances, and a large island with bar seating. The kitchen leads into a light filled and expansive sunroom/mudroom, rear deck and then out into the private garden. The back garden is a beautiful, low maintenance space with a large tree, flower bed, artificial turf and pavers for relaxing and entertaining with friends and family. The baths are bright and modern, offering a large walk in shower, soaker tub, quartz counters and beautiful tile. The garden unit's style and high-end finishes reflect that of the owner's unit. Modern kitchen with flat panel cabinets, quartz counter tops, Whirlpool appliances, large living room space with a fireplace, wood grain flooring throughout, in-unit laundry, mud room and separate mechanicals. The rental unit has great rental income potential, but can also be used as an in-law suite for family, housing for nanny/care givers, private quarantine office space, or as an Airbnb. So many great options! The home includes two parking spots for everyone's parking needs. This home is just steps to the Blue Line and CTA stop, quick access to I-290 to get downtown or the western suburbs, walking distance of the Medical District, excellent dining and shopping, public parks and so much more! Everything inside and out shows quality workmanship and the love of historic details combined with all the modern comforts. Sale includes HWA 1-year home warranty.Read more"
295357473,"Opportunity to purchase a duplex on a corner lot. The (2)Bd/1ba has washer/dryer hookups, separate backyard, ample parking. The 1Bd/1Ba has separate backyard and ample parking. Zoned R3. Property offers great potential to a purchaser seeking to add value. LOWEST PRICED DUPLEX in Lemon Grove.Read more"
27323931,"BEAUTIFUL 1 STORY 4-2 HOME PERFECTLY LOCATED FOR NORTH DALLAS COMMUTERS. 5-10 MINS FROM PGBT,DNT AND I-35. HUGE FAMILY ROOM WITH HIGH CEILING, WET BAR. Masterr SUITE INCLUDES CUSTOM SHOWER. Don't wait on this one!!Read more"
29333056,"Built from cream and gray Texas Hill Country limestone in the style of a European mansion house and set in the sunny hills of Barton Creek with views over the OMNI hotel and country club at the rear, while the front garden offers privacy from the road and features many trees, a stocked carp pond and fountain and a small boules or pétanque piste that leads down to the third hole of Fazio Hills golf course.
                
                Floors are 3/4"" solid mahogany throughout except the second kitchen, bathrooms and laundry. Windows and doors all from Andersen except the purpose-built, castle-style wrought front doors.
                
                At the rear, the pool deck and entertainment area is built from Mexican marble and limestone, with the well-fed pool 9' at the deepest with a waterspout feature and a separate large spa. The deck is sealed by gates and is finished off with a shaded lounging area above it and a full sized sunken boules piste with a music system and small bar & grill.
                
                The outdoor space continues below the pool deck to a relatively flat area that opens out to the third hole of the Fazio Hills golf course, so close, a quick hole or two in the morning or evening is not out of the question. 
                
                The land is large enough for a tennis court to be built, or sports hall, bunkhouse, etc due to the lifting of a building-line restriction a few years ago. 
                
                It then flows down fairly steeply to a small dry creek that is the property boundary. Lots of wildlife and lost golf balls.
                
                The first floors of the house are covered with oriental rugs and traditional-to-modern furniture, mostly sourced from eg Louis Shanks.
                
                The main kitchen is a recent addition fitted with an oversize sink, two dishwashers, a hidden sink, and appliances from Miele and Thermador. It moves through to a mirrored dining area that itself gives way to a full wet bar, True ice-maker, wine fridges, beer fridges, and seating for 18 or so.
                
                There is a whole-house music system and an additional Sonos system in Library, Bar, Kitchen, and lounge. Cable supplies all connectivity via Spectrum (house wired for cable TV but not used).Read more"
43708313,"This home is vacant and ready to move into.  Pure privacy in Fleming Island, no CDD fees or HOA fees.  This listing includes the property to the right as you cross the bridge, the lot that Residence sets on and the .28 acre lot to far side of the residence. So in total there are 3 parcels. Vinyl flooring in kitchen, breakfast nook, laundry and hall has been replaced.  The dishwasher is also new.Very open floor plan with Screened patio overlooking the woods and wildlife. More pictures of vacant land coming.Read more"
7512091,"I am so excited for the new owners of this home!  It is fully renovated and, the finishes and the upgrades are very tastefully done.  This is practically brand new!  New roof, complete electrical rewire. A/C, drywall, flooring, bathrooms and kitchen, windows and many more.  This has a tankless water heater and indoor laundry.  You really need to see it.  It's close to downtown Phoenix and easy access to pretty much everything.  Make your appointment today.Read more"
121073218,"Right down the street from West Loop, this 3bed/2bath Westhaven Park condo offers an impressive list of upgrades! The bright, open layout includes a gas fireplace and a sizeable balcony, all enhanced by new light fixtures and fresh paint throughout. Enjoy a spacious dining area overlooking the kitchen with granite countertops and brand new stainless steel appliances. Hardwood floors in the main living space with new carpet in the generous-size bedrooms, along with in-unit washer/dryer. Also included are 2 parking spaces- one garage/one outdoor. This pet-friendly building is just a few blocks from the United Center and 2 blocks to the Green line el stop!Read more"
102959965,"Enjoy bold modern architecture/design in combination w/the hottest location in downtown Madison! This impressive 2bd/1ba corner unit at Capitol West makes a statement! Open concept FP offers a stunning kitchen w/custom cross cut cabinetry, walnut trim/accents, quartz ctrs, kohler/grohe fixtures, contemporary lighting & SS appliances w/gas range & vent hood. Add features & upgrades include wood/tile flooring, FP w/tile surround, custom built-ins, high ceilings, lovely color palette/paint accents, large bathroom w/double vanity, laundry & big walk in shower, large balcony w/pretty views, on-floor storage & underground parking. Guest room has built-in murphy bed & shelving. Great amenities (onsite mgt, fit & biz ctrs) & superb DT Madison location! SF per orig FP (NAHB ANANSI Z765 std)Read more"
26819039,"This gorgeous two story home located on a huge corner lot in the St. Augustine Park Estates. As soon as you walk in you are presented the charming first floor living and dining area, with luxury tile floors throughout, granite countertops, wooden kitchen cabinets with a breakfast bar & gas stove with pot filler, & a beautiful staircase. This home is 4 bedrooms, 3 baths, includes a master bedroom with a walk in closet, a stand up shower with extravagant tile work showcased in all showers, a study & a huge 2nd floor living space. Need a big backyard with easy access to bring any big trailers or park multiple cars, this property is ideal for that or just a nice private place to enjoy in your down time.Read more"
15072751,"Welcome to this bright 1 bed 1 bath home with floor to ceiling windows in one of Pacific Heights most prestigious full service buildings. This home features an open floorplan with a large dining/living room that leads to a sunroom with views of our gorgeous San Francisco Bay and Marin! Amenities include a walk-in closet, a generous parking space in a secure garage, deeded storage, elevators, doorman service and a spectacular shared roof deck with iconic views of the Bay, the Golden Gate Bridge and San Francisco. Walking distance to Union Street, Fillmore Street, Polk Street and three blocks from Lafayette Park.Read more"
26818496,"Fresh everything, just remodeled, fresh flooring, paint and more, 4 bedroom, kitchen has new appliances, and huge Island, open to living and dining area, corner lot, bedrooms split for privacy.Read more"
36730425,"Impeccably maintained is what defines Cygnet Drive.   Move right into this home, located in a well established community, just minutes from shopping, dining, grocery stores and more!!  Natural gas welcomes you in and the real hardwood floors greet you at the front door, following you back into your kitchen that comes with SO much cabinet space. Gorgeous granite counters, stainless steel appliances and a beautiful window that gives you a view of your relaxing backyard. This backyard has the perfect set up for any homeowner: an in-ground pool, deck, awning and still so much usable space for more activities of your liking! The master suite is one that you have been waiting for...a huge closet, a bathroom with 2 sinks, a large soaking tub and ceiling height that you dream of! Carpets have just been cleaned and are ready for its new owner. Don't wait on this one!!Read more"
60136219,"Fantastic 2-story home in sought after Travis Country West. 3 bedrooms + 1 office/bedroom, upstairs game-room, magazine worthy kitchen, and private backyard. Wonderful neighborhood with community pool, playground, basketball court, and hike & bike trails! Homes are selling quickly in Travis Country West - don't miss out on this gem!Read more"
19607297,"Crisp 1950s ranch-style home with tons of curb appeal! Situated on a fully manicured park-like property, this 1,511sf 3-bed/2-bath charmer is updated inside and out with no loss to its original mid-century appeal. A bright formal living room w/newly finished hardwood floors accentuate the rooms original brick fireplace and diamond muntin windows. The formal living room and large family room are connected by a central dining area w/large pass-through kitchen. When the weathers nice, throw a party that flows seamlessly out to the immaculate backyard where theres space to play on the lush lawn, grill on the brick patio, or simply sit and relax. Theres even a place to plant your favorite veggies and herbs! Mature trees surround the yard.The home boasts 2 fresh spa-like bathrooms with subway tile, an HVAC, 2 original brick fireplaces, stainless steel appliances, and new kitchen countertops. Close to Valley Fair, Santana Row, and major freeways.Move right in and make this home your own!Read more"
2077554927,"Live the Eagle Harbor resort lifestyle in this impeccably maintained home on a large, beautifully manicured corner lot. With high ceilings and lots of natural light, this nicely appointed home features a new roof, plantation shutters, crown molding and new bamboo flooring. The updated kitchen features granite countertops, subway tile and stainless steel appliances. Master bedroom boasts dual closets, dual vanities, soaker tub and walk in shower, with the second bedroom featuring an ensuite bath. All this with award winning schools and Eagle Harbor amenities. Enjoy numerous recreation options including swimming in three pools, (one with a water slide and high dive), join a tennis league, play 18 holes at Eagle Harbor Golf Club, or enjoy a day on the water on Doctors Lake. Welcome home!Read more"
7515311,"Hard to find 3 bed-2 bath-rehabbed home on large R5 lot in area of growth and new construction. Property is leased month to month at $1,150 and tenant pays utilities. Versatile property as an investment, owner occupied or value add with room for additional units. Property is close to downtown amenities and easy access to the 17. List of upgrades in Documents. No Lockbox..24hr noticeRead more"
29331251,"Truly magnificent French Château on 1.5+ acres backs to Fazio Foothills in gated pocket within Barton Creek. Exquisitely designed with distinguished taste: French antique marble fireplaces, Turkish travertine, Brazilian Ipe floors, Mahogany doors, Lueders Limestone, antico marble counters, Phylrich, Schonbek & more! Spacious secondary bedrooms, fitness + sauna, elevator, den/formal living, wet bar + wine cellar. Immaculate grounds w/cabana, summer kitchen, & pool bath w/steam shower. Sensationnel!Restrictions: Yes  Sprinkler Sys:YesRead more"
17112435,"Buy this foreclosure deal the right way. Visit us at Auction.com, then login or create a free account to save this property and receive important alerts. We'll let you know if the Est. Credit Bid has posted, when the property has cleared for sale, is postponed or canceled, and the property's winning bid amount if it sells. Auction.com is your source for 30,000+* discounted foreclosure and bank-owned properties and auction events nationwide. Find the best deals in your market now. *Based on data from August 2019.Read more"
20788262,"This 2789 square foot multi family home has 5 bedrooms and 4.0 bathrooms. This home is located at 1205 N Orange Grove Ave, West Hollywood, CA 90046.Read more"
81944512,"Welcome to the Nolen Shore Townhomes. 3 story living w/ private entrance! Great office space, full bath, laundry & access to the underground parking garage on the entry level. 2nd floor features an open floor plan w/ open kitchen featuring s/s appliances & ample dining space. Living room includes surround sound, awesome windows providing abundant natural light & the outdoor patio which opens up to the Nolen Shore courtyard. 3rd level has 2 bedrooms both en suite style w/ their own bath. Perfect for guests when they come to visit. Amenities w/ the building are a guest suite for overnight guests instead of using a hotel, fitness room and a conference room overlooking Lake Monona. All within just a few blocks of Capitol Square, downtown dog park, & Lake Monona. Downtown living at its finest!Read more"
449003,"Arguably the best offering in the building, this unit features the largest floor-plan! This sun-drenched home shines with modern and thoughtful updates throughout. Highlights include hardwood floors, updated bath and kitchen, custom closet system, light fixtures, fans, hardware, and updated windows to enhance energy efficiency. The kitchen features granite counter-tops, stainless steel appliances, and designed to maximize space and functionality. Separately deeded parking space included in the sales price!  Pet-friendly building. All utilities included in low condo fees only pay for the internet! Exclusive location! Within a close walk  to Safeway, Starbucks, restaurants, shopping, entertainment, and the best of Chevy Chase and Friendship Heights, less than a mile to Friendship Heights metro! See Virtual Tour to appreciate the floorplan.Read more"
101377273,"This Modern two bedroom, two bathroom condo features an open floor plan, granite counters, two full bathrooms, one of which is part of an expansive En-suite master bedroom with walk in closet. More features include - in unit washer dryer, central HVAC system, balcony, storage room, & heated garage parking. One Park Place is a newer modern condo complex quality built less than 13 years ago, this property features clean modern common areas with secured front entrance, surveillance cameras, storage, & indoor heated garage parking. Prime location near O'Hare airport, major Interstates of course, & Less than a five minute walk to the Schiller Park Metra station. This condo community is already home to many airport professionals & service providers. Park One Place can not be beat for location! & Price per sqft on a modern building with today's standards of living. Book your private tour today.Read more"
83813569,"Captivating and private 2.25-acre lot with incredible, dramatic views of a 1000+ acre nature preserve as the setting in the exclusive gated community of Verano, Barton Creek. Designed with a nod to elegant French design by world renowned architect Dan Sater, this estate features a well-appointed kitchen, study, media, and wine room. Private guest apartment with separate entrance includes a full kitchen, bath, bedroom and living area. Pool, fire-pit, screened-in summer kitchen and dining area, air conditioned 4 car garage for car enthusiasts.Read more"
15078068,"With modern style and a generous floor plan, this recently remodeled 2 bedroom 2 bathroom corner condo is a spacious and light-filled retreat. Top floor w/ south-west exposure, vaulted ceilings & open liv/din area w/ wood-burning fplc. Remod kit w/ skylight, breakfast bar, sleek cabinetry, ssl appls & custom tile. Bright & spacious principal BD w/ lg closet & ensuite tiled BA w/ glass-enclosed shower. 2nd BD w/ lg closet & south-facing windows. 2nd BA w/ shower over tub, decorative tile & sleek matte black finishes. In-unit w/d, storage & garage park. Shared garden & roof deck w/ stunning City views. 1 block from Alamo Square w/ a walk score of 95. Near transit & restaurants, shops & nightlife in Hayes Valley, Nopa, Lower Haight & Fillmore/Divisadero. With ample space & light, sophisticated finishes, plentiful amenities & a convenient location, this contemporary condo is ideal for enjoying the City & the comforts of home. HOA dues inc. earthquake insurance & bldg/condo insurance.Read more"
82785788,"Exceptional Inner Mission 1 bedroom, 1 bath contemporary condominium with designer finishes. This serene courtyard facing home in a newer boutique elevator building with great light and sophisticated modern features. Spacious living/dining with large south facing windows, gas fireplace, recessed lighting and 55 TV. New hardwood floors. Modern kitchen with quartz stone counters, under counter lighting, stainless gas stove, hood and microwave oven, Bosch dishwasher and Fisher & Paykel stainless refrigerator. Spacious private bedroom with Elfa closet. Large bath with shower over tub, new lighted mirror and in- unit washer/dryer. One car deed independent parking. Common areas include roof deck with pano city views and a large rear patio with dining area, citrus grove and lawn area. Excellent location in one of San Francisco's hottest neighborhoods. Close to all the wonderful amenities on the Valencia and Mission street corridors, public transportation including BART, and tech shuttleRead more"
110721756,"Great rehab in Ravenswood location ! Bring some skill and updates! Awesome location, Wauwatosa schools, 1792 square feet!  Expandable Attic Space for Bonus Room !Read more"
64778753,"Beautiful Courtyard home provides ideal environment to Work, Live & Play. It flows easily from Open interior & bar area then out to pool & outdoor living. Large & doors windows keep everything visible from all living spaces. Master on one side of home w/nice privacy. Downstairs bed (also great office option) w/ bath that feeds directly to the pool area. Upstairs has 2 bedrooms w/ ensuite baths & large closets. The game room has a wet bar, balcony overlooking pool & another over living area. 4 Big Ass FansRestrictions: Yes  Sprinkler Sys:YesRead more"
19600868,"***Call or text (408) 688-2528  for an exclusive showing*** 

*** Tours available every day! Go to 550losolivos.jamisonteamhomes.com to schedule your tour now. *** 

*Do not get stuck owning two homes. BUY THIS HOME, WE WILL BUY YOURS! If you are looking to buy a home but have one to sell, you are finding yourself in the same dilemma that most homeowners find themselves in. We can help! To discuss the details of this incredible option, call or text The Jamison Team® directly at (408) 688-2528.
************************************************** 

Contemporary End Unit with best location in the complex located at the end of a cul-de-sac with views over the golf course. This modernized unit benefits from lots of natural light and a balcony off the master facing the golf course. The home has been updated with new kitchen, bathrooms, flooring, walls, fixtures and more. Light, bright and super clean. You won't want to miss this stylish unit and all it has to offer.

************************************************** 

BUY ANY HOME FROM US AND IF YOU ARE NOT COMPLETELY SATISFIED WE WILL BUY IT BACK OR SELL IT FOR FREE YOUR CHOICE. For more information on this Peace of Mind Guarantee call The Jamison Team® directly at (408) 688-2528 . The Jamison Team® * Tuscana Properties® * DRE: 01845393 *Some Conditions Apply.*Read more"
15080658,"Spectacular view home! Located on a prime block in Pacific Heights this stately light-filled mansion-style residence has grand scale public rms w/high ceilings & exquisite detail & spans 4 lvls (connected by elevator) each w/views of the Bay & w/GG Bridge views from the upper floors. With roots dating back to 1906 this exceptional home has been renovated w/incredible luxury while still retaining its heritage & architectural integrity. Exquisite moldings, leaded & stained glass windows, & 7 FP's all w/elaborate surrounds recall the home's original grandeur. Main lvl w/banquette-sized living & dining rms, renovated eat-in kitchen, library/office, & bedrm suite. 2nd lvl w/master suite w/2 full baths & exceptional closet space, additional bedrm, & family/media rm. 3rd lvl w/recreation rm, game rm, large terrace, & an all-glass solarium w/spa. Lower lvl w/fitness ctr, bedrm suite, wine cellar, & direct access to a private & serene walk-out garden. Oversized 1 car garage + driveway parking.Read more"
7514179,"What a great opportunity right here! Tri-plex that offers 2 bedroom 1bath, 1 bedroom 1 bath and 1-studio units, close to down town Phoenix, freeways, and has a park across the street.  You can buy this, live in one and rent out the other two making residual income. This place will pay for itself.  Exterior has fresh paint.**NOT A FORECLOSURE** Read more"
15077575,"Remarkable mid-century townhouse condo at Opera Plaza. The personal residence of noted architect Lois Davidson Gottlieb, a student and colleague of Frank Lloyd Wright, this home exudes the finest in mid-century modern design and craftsmanship. Custom walnut woodwork throughout with architectural details at every turn. Unique and clever storage solutions that enhance the usable space, including shelves for collectors of artwork and books. Tranquil location with bright and sunny south facing outlooks with fabulous views of City Hall and Twin Peaks. Exquisite fireplace hearth. Wood flooring and stainless kitchen with skylight. In unit w/d hookups. Opera Plaza is a full service complex with many amenities including 24 hour security staff, concierge, on site management, heated pool and spa, fitness, racquetball court and more. Amazing central San Francisco location is close to Symphony, Ballet, Opera and City Hall. Leased parking available on site.Read more"
7515266,"Budget priced duplex that has been in the same family for many years. Both units are 2 bed/1 bath with 715 SF. Rents are well below market on month-to-month leases. One AC unit is new, the other has a new compressor per owner. Value-add needing some cosmetics, etc. Nice upside with raising rents to market. Unit showings in escrow, please do not disturb tenants. Buyer to complete and rely on own due diligence.Read more"
19579447,"Corner-lot home walking distance to Santa Clara University, close to fortune 500 companies, Levis Stadium & CalTrain. Great commuter location minutes from 101 and 880. Close to San Jose Airport. 1040 square feet remodeled home, 2 Bedrooms, 1 Bath.  Lot size approx. 5250 square feet. Bathroom remodel: high-end fixtures and tub: Hans Grohe faucets and showerhead, Maxx tub, high-end tile, new plumbing in the bathroom, updated electrical. New main plumbing pipe. Custom build shelving unit in the living room. Refinished original flooring throughout. Updated electrical in bedrooms. New HVAC, Backyard: electric remote opening gate, established fruit trees (orange, avocado, prickly pear). New trees (apple, plum, pomegranate, peach, white peach, plum). New pavement (garage, driveway). Organic garden. Painted inside & out. Back and front yard landscaping with sprinklers. HUGE basement. Fence all around. Backyard patio - pavers. Schools: Westwood Elementary, Buchser Middle, Santa Clara High.Read more"
20690599,"You will immediately appreciate the charming curb appeal this home offers that is centered around the gorgeous city of El Sereno. This custom-built craftsman design has an open floor living space, perfect for a large modern family. Upon entry, you're welcomed by ample of natural light streaming from the beautiful natural light with engineered wood floor, a sizable living and dining area that can comfortably accommodate a large family and their guest hat defines the meaning of ""home sweet home"". Upgraded 2 bedrooms and 2 bathrooms down stairs and 3 bedrooms and 2 bathrooms upstairs for the maximum privacy. A den/office space on the second floor is perfect space to work at home or a study and an enclosed entertainer's dream patio with double pane. This home also features generously sized bedrooms that can easily fit a king-size bed. This house simply offers unlimited space and opportunities for multiple uses. The kitchen boasts with new counter tops, stainless steel appliances, a capacious laundry room, and an abundant storage room and space. The master bathroom has a custom-built glass door shower with custom tiles and a waterfall shower head. Spacious backyard will entertain all your guests and offer peaceful retreat. The neighborhood of El Sereno has become the most popular it has ever been and this is an unbelievable opportunity to become part of the culture here. Near phenomenal local shopping, dining, and events just minutes away.Read more"
2119576321,"This 1664 square foot single family home has 4 bedrooms and 2.0 bathrooms. This home is located at 2656 Schult Pl, Waldorf, MD 20601.Read more"
61618491,"This 945 square foot condo home has 2 bedrooms and 2.0 bathrooms. This home is located at 5315 Connecticut Ave NW APT 108, Washington, DC 20015.Read more"
110721151,"Positioned in one of Wauwatosa's most convenient neighborhoods, providing easy access to brand new Underwood Elementary, Froedtert & Medical College, shopping & freeways. This adorable cape cod pulls off feeling new while showcasing tons of great character. Slightly perched from the street, enter via a spacious screen porch into bright and airy open concept living space. Tons of natural light, beautiful hardwood floors, neutral decor and a view to the white eat-in KIT. KIT overlooks a super large and fully fenced backyard with large patio and shed.  2 bedrooms and full bath are located on the main floor. Upstairs find another two nicely sized bedrooms. The lower level is nicely finished, in a fashion that matches the craftsmanship of the main floor.  A tremendous opportunity - call today!Read more"
110711045,"Adorable Mickelson Colonial perfectly situated in the premier Swan Park Neighborhood. Charm personified in this updated and well thought out home. Well-appointed front living room with an abundance of natural light - hardwood flooring and beautiful crown moldings. Adjacent dining room, touched by tradition with warm inviting hospitality. Semi open concept kitchen!! Updated with wood cabinetry, ample storage and stainless appliances! W/out question this home presents functionality and efficiency for everyday living.  Amazingly spacious bedrooms, a true recipe for comfort and relaxation. Allow yourself to enjoy the extra spacious and private backyard with more than enough room to spread out, entertain and enjoy! This home will capture you before stepping inside!Read more"
