listing_id,Appliances,Bedrooms_Total,Bathrooms_Total,Bathrooms_Full,Bathrooms_Half,Living_Area,Flooring,Bathrooms_Three_Quarter
1659750,"Dishwasher, Dryer, Disposal, Range/Oven, Refrigerator, Washer",2,2,1,1,"1,055 SqFt.","Ceramic Tile, Hardwood, Carpet",
1660777,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",1,1,1,,948 SqFt.,"Ceramic Tile, Hardwood, Carpet",
1669661,"Dishwasher, Microwave, Range/Oven, Refrigerator",3,2,1,,"1,940 SqFt.",Hardwood,1
1670042,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",2,2,1,,"1,070 SqFt.","See Remarks, Carpet",1
1671480,"Dishwasher, Dryer, Microwave, Range/Oven, Refrigerator, See Remarks, Washer",1,1,1,,608 SqFt.,"Bamboo/Cork, See Remarks, Vinyl, Carpet",
1669367,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",4,2,1,,"2,010 SqFt.","Ceramic Tile, Hardwood, Carpet",1
1668998,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",3,2,2,,"1,930 SqFt.","Bamboo/Cork, Ceramic Tile, Carpet",
1661070,"Dishwasher, Disposal, Microwave, Range/Oven, Refrigerator",4,5,2,1,"4,500 SqFt.","Ceramic Tile, Hardwood, Carpet",2
1670942,"Dishwasher, Double Oven, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer
            ",2,2,1,,"1,170 SqFt.","Ceramic Tile, Concrete, Carpet",1
1670553,"Dishwasher, Dryer, Disposal, Range/Oven, Refrigerator, Washer",3,2,1,1,"2,160 SqFt.","Ceramic Tile, Concrete, Hardwood, Other, Carpet",
1669867,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",2,2,1,,"1,338 SqFt.","Ceramic Tile, Engineered Hardwood, See Remarks",1
1667468,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",2,3,2,1,"1,410 SqFt.","Ceramic Tile, Concrete, Engineered Hardwood",
1666467,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",2,2,1,,"1,000 SqFt.","Bamboo/Cork, Ceramic Tile, Carpet",1
1667149,"Dishwasher, Double Oven, Dryer, Disposal, Microwave, Refrigerator, Washer",2,2,1,,905 SqFt.,"Ceramic Tile, Hardwood",1
1667160,"Dishwasher, Dryer, Disposal, Range/Oven, Refrigerator, Washer",3,2,1,1,"1,180 SqFt.","Ceramic Tile, Hardwood, Carpet",
1667225,,,,,,,,
1669860,"Dishwasher, Dryer, Microwave, Range/Oven, Refrigerator, Washer",2,2,1,,902 SqFt.,"Laminate, Vinyl, Carpet",1
1670563,"Dishwasher, Dryer, Disposal, Range/Oven, Refrigerator, Washer",3,2,2,,"1,600 SqFt.","Ceramic Tile, Concrete, Hardwood",
1670961,"Dishwasher, Double Oven, Dryer, Disposal, Microwave, Refrigerator, Washer",2,3,1,1,"2,570 SqFt.","Ceramic Tile, Hardwood, Stone, Carpet",1
1660195,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",2,3,1,1,"1,737 SqFt.","Ceramic Tile, Hardwood, Stone, Vinyl, Carpet",1
1668735,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",3,2,1,,"1,190 SqFt.",Engineered Hardwood,1
1669640,"Dryer, Range/Oven, Refrigerator, Washer",2,1,1,,770 SqFt.,"Vinyl, Carpet",
1655048,"Microwave, Range/Oven, Refrigerator, Washer",2,1,,,780 SqFt.,"Ceramic Tile, Hardwood, Laminate",1
1670105,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",2,2,2,,641 SqFt.,"Laminate, Stone, Carpet",
1665864,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",3,3,2,1,"1,686 SqFt.","Ceramic Tile, Hardwood, Carpet",
1669191,"Dishwasher, Microwave, Range/Oven, Refrigerator, Washer",2,2,,1,"1,010 SqFt.","Ceramic Tile, Hardwood, Slate, Carpet",1
1669768,"Dishwasher, Disposal, Range/Oven, Refrigerator",5,5,3,2,"4,277 SqFt.","Ceramic Tile, Engineered Hardwood, Carpet",
1669205,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",2,2,1,,"1,042 SqFt.","Ceramic Tile, Engineered Hardwood, Carpet",1
1669557,"Dishwasher, Disposal, Range/Oven, Refrigerator",3,3,2,,"1,575 SqFt.","Ceramic Tile, Engineered Hardwood",1
1670926,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",2,2,1,,"1,205 SqFt.","Ceramic Tile, Engineered Hardwood",1
1670720,"Dishwasher, Double Oven, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer
            ",4,3,2,,"2,180 SqFt.","Ceramic Tile, Engineered Hardwood, Vinyl, Carpet",1
1669498,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",,1,1,,562 SqFt.,"Ceramic Tile, Laminate",
1667978,"Dishwasher, Double Oven, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, See Remarks,
                Washer
            ",3,3,2,1,"2,944 SqFt.","Laminate, Vinyl, Carpet",
1667646,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",3,3,1,1,"1,350 SqFt.","Ceramic Tile, Hardwood, Carpet",1
1667349,"Dishwasher, Double Oven, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",3,3,1,1,"2,910 SqFt.","Hardwood, Laminate, Carpet",1
1667334,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",2,2,1,,"1,084 SqFt.","Ceramic Tile, Laminate",1
1667619,"Dishwasher, Disposal, Range/Oven, Refrigerator",4,3,2,,"1,568 SqFt.","Ceramic Tile, Hardwood, Carpet",1
1668004,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",3,4,2,1,"1,730 SqFt.","Ceramic Tile, Hardwood, Carpet",1
1669653,"Dishwasher, Dryer, Disposal, Range/Oven, Refrigerator, Washer",4,3,,,"2,430 SqFt.","Ceramic Tile, Concrete, Hardwood, Carpet",3
1670641,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",3,3,2,1,"1,770 SqFt.","Ceramic Tile, Hardwood, Carpet",
1670895,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",4,3,2,1,"2,293 SqFt.","Laminate, Carpet",
1669618,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",1,1,1,,606 SqFt.,"Laminate, Carpet",
1669404,"Dishwasher, Double Oven, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, See Remarks,
                Washer
            ",3,4,2,1,"4,017 SqFt.","Concrete, Hardwood, See Remarks, Carpet",1
1669727,"Dishwasher, Double Oven, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Trash Compactor,
                Washer
            ",2,2,2,,,"Ceramic Tile, Granite, Carpet",
1668624,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",2,2,2,,"1,103 SqFt.","Hardwood, Slate, Carpet",
1665005,"Dishwasher, Dryer, Microwave, Range/Oven, Refrigerator, Washer",3,1,1,,"1,250 SqFt.","Ceramic Tile, Hardwood, Laminate, Carpet",
1669291,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",1,1,1,,"1,091 SqFt.","Bamboo/Cork, Ceramic Tile, Slate, Carpet",
1666343,"Dishwasher, Dryer, Range/Oven, Refrigerator, Washer",2,2,1,,"1,490 SqFt.","Bamboo/Cork, Ceramic Tile, Softwood, Hardwood",1
1669507,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",2,1,1,,918 SqFt.,"Ceramic Tile, Laminate",
1669185,"Dishwasher, Dryer, Range/Oven, Refrigerator, Washer",3,2,1,,"1,370 SqFt.","Softwood, Carpet",1
1670615,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",1,1,1,,643 SqFt.,"Laminate, Carpet",
1670830,"Dishwasher, Disposal, Microwave, Range/Oven, Refrigerator",3,2,2,,"1,958 SqFt.","Ceramic Tile, Hardwood, Carpet",
1666518,"Dishwasher, Double Oven, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer
            ",5,5,1,1,"4,120 SqFt.","Ceramic Tile, Softwood, Hardwood",3
1668809,"Dryer, Range/Oven, Refrigerator, Washer",3,2,2,,"1,530 SqFt.","Hardwood, Vinyl",
1669853,"Dishwasher, Dryer, Range/Oven, Refrigerator, Washer",1,1,1,,750 SqFt.,"Hardwood, Vinyl",
1667187,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",3,2,2,,"1,500 SqFt.","Ceramic Tile, Hardwood",
1667569,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",2,2,2,,907 SqFt.,"Engineered Hardwood, Vinyl, Carpet",
1666819,"Dishwasher, Dryer, Microwave, Range/Oven, Refrigerator, Washer",3,3,1,1,"2,540 SqFt.","Ceramic Tile, Hardwood, Other, Carpet",1
1666919,"Double Oven, Disposal, Microwave, Range/Oven, Refrigerator",1,1,1,,624 SqFt.,"Engineered Hardwood, Carpet",
1667573,"Dishwasher, Dryer, Range/Oven, Refrigerator, Washer",3,3,1,,"2,280 SqFt.","Laminate, Carpet",2
1667208,"Dryer, Range/Oven, Refrigerator, Washer",3,1,1,,940 SqFt.,"Hardwood, Laminate, Carpet",
1669843,"Dishwasher, Dryer, Disposal, Range/Oven, Refrigerator, See Remarks, Washer",3,4,1,1,"2,788 SqFt.","Ceramic Tile, Hardwood, Stone, Carpet",2
1668664,"Dishwasher, Range/Oven, Refrigerator",2,2,2,,"1,280 SqFt.",,
1667195,"Dishwasher, Dryer, Disposal, Range/Oven, Refrigerator, Washer",4,3,1,,"2,830 SqFt.","Ceramic Tile, Vinyl, Carpet",2
1670888,"Dishwasher, Disposal, Microwave, Range/Oven, Refrigerator",2,1,1,,798 SqFt.,"Ceramic Tile, Laminate, Vinyl, Carpet",
1670617,"Dishwasher, Dryer, Range/Oven, Refrigerator, Washer",5,3,2,,"2,420 SqFt.","Ceramic Tile, Hardwood, Vinyl, Carpet",1
1669022,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",2,3,1,1,"1,188 SqFt.","Hardwood, Travertine",1
1669499,"Dryer, Range/Oven, Refrigerator, Washer",1,1,1,,450 SqFt.,"Softwood, Vinyl",
1666484,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",3,4,2,1,"2,873 SqFt.","Ceramic Tile, Hardwood, Carpet",1
1669356,"Dishwasher, Dryer, Disposal, Range/Oven, Refrigerator, Washer",3,2,1,,"1,250 SqFt.","Ceramic Tile, Hardwood, Laminate",1
1669662,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",2,2,1,,983 SqFt.,"Ceramic Tile, Laminate, Carpet",1
1669857,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",2,3,1,1,"2,010 SqFt.","Ceramic Tile, Hardwood, Laminate, Stone, Carpet",1
1669475,"Dishwasher, Disposal, Microwave, Range/Oven, Refrigerator",3,1,1,,"1,060 SqFt.","Ceramic Tile, Laminate",
1670796,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",5,4,2,1,"2,080 SqFt.","Ceramic Tile, Engineered Hardwood, Carpet",1
1671047,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",5,3,2,,"1,920 SqFt.","Ceramic Tile, Concrete, Softwood, Hardwood",1
1662931,"Dishwasher, Dryer, Disposal, Range/Oven, Refrigerator, Washer",2,2,1,,"1,031 SqFt.","Ceramic Tile, Hardwood, Laminate, Carpet",1
1667434,"Dishwasher, Disposal, Microwave",4,3,1,1,"2,020 SqFt.","Concrete, Laminate, Carpet",1
1662387,"Dishwasher, Dryer, Range/Oven, Refrigerator, Washer",3,3,2,,"2,060 SqFt.","Ceramic Tile, Engineered Hardwood, Vinyl, Carpet",1
1666408,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",2,3,2,1,"1,260 SqFt.","Ceramic Tile, Hardwood, Carpet",
1658634,"Dishwasher, Disposal, Microwave, Range/Oven, Refrigerator",4,3,2,1,"3,650 SqFt.","Ceramic Tile, Hardwood, Carpet",
1666467,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",2,2,1,,"1,000 SqFt.","Bamboo/Cork, Ceramic Tile, Carpet",1
1662438,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",3,2,1,,"1,610 SqFt.","Ceramic Tile, Hardwood, Vinyl",1
1667507,"Dishwasher, Dryer, Range/Oven, Refrigerator, Washer",2,1,1,,"1,140 SqFt.","Ceramic Tile, Hardwood, Vinyl",
1663615,"Dishwasher, Disposal, Microwave, Range/Oven, Refrigerator",3,3,2,1,"1,647 SqFt.","Ceramic Tile, Hardwood, Carpet",
1671057,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",2,3,1,,"1,268 SqFt.","Bamboo/Cork, Softwood",2
1670824,"Dishwasher, Dryer, Microwave, Range/Oven, Refrigerator, Washer",3,2,1,1,"1,380 SqFt.","Ceramic Tile, Hardwood, Vinyl, Carpet",
1669457,"Dishwasher, Dryer, Microwave, Range/Oven, Refrigerator, Washer",3,4,3,,"1,780 SqFt.","Laminate, Vinyl, Carpet",1
1675987,"Dishwasher, Double Oven, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer
            ",3,2,,,"1,319 SqFt.","Ceramic Tile, Engineered Hardwood, Hardwood, Carpet",2
1669711,"Dishwasher, Disposal, Microwave, Range/Oven, Refrigerator",2,2,1,,"1,071 SqFt.",Carpet,1
1667070,"Dishwasher, Double Oven, Dryer, Range/Oven, Refrigerator, Washer",3,3,2,1,"2,670 SqFt.","Ceramic Tile, Hardwood",
1669844,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, See Remarks, Washer
            ",4,3,3,,"3,128 SqFt.","Ceramic Tile, Softwood, See Remarks",
1669532,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",,1,1,,375 SqFt.,"Ceramic Tile, Laminate",
1665400,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",2,2,1,,"1,970 SqFt.","Ceramic Tile, Hardwood, Carpet",1
1671107,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",2,2,1,1,"1,020 SqFt.","Ceramic Tile, Hardwood, Carpet",
1668871,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",2,2,2,,"1,877 SqFt.","Ceramic Tile, Hardwood, Slate, Carpet",
1666693,"Dishwasher, Double Oven, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",4,3,1,1,"2,740 SqFt.","Concrete, Hardwood, Slate",1
1662969,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",4,4,2,,"2,450 SqFt.","Hardwood, Carpet",2
1661261,Dishwasher,4,2,1,1,"1,920 SqFt.","Ceramic Tile, Concrete, Hardwood, Laminate",
1661997,"Dishwasher, Dryer, Microwave, Range/Oven, Refrigerator, Washer",3,2,2,,"1,570 SqFt.","Ceramic Tile, Hardwood, Vinyl, Carpet",
1662710,"Dishwasher, Dryer, Range/Oven, Refrigerator, See Remarks, Washer",3,3,2,1,"2,310 SqFt.","Ceramic Tile, Softwood, Carpet",
1666495,"Dishwasher, Dryer, Microwave, Range/Oven, Refrigerator, Washer",3,2,1,,"1,230 SqFt.","Ceramic Tile, Concrete, Hardwood, Vinyl, Carpet",1
1669385,"Dishwasher, Dryer, Disposal, Range/Oven, Refrigerator, Washer",3,2,2,,"2,270 SqFt.",Hardwood,
1671065,"Dishwasher, Dryer, Disposal, Range/Oven, Refrigerator, See Remarks, Washer",3,2,2,,"2,060 SqFt.","Hardwood, Carpet",
1664522,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",1,1,1,,654 SqFt.,"Engineered Hardwood, Other, Carpet",
1669243,"Dishwasher, Range/Oven, Refrigerator",3,2,2,,"1,720 SqFt.","Softwood, Carpet",
1669834,"Dishwasher, Dryer, Range/Oven, Refrigerator, Washer",3,2,1,,"2,120 SqFt.","Ceramic Tile, Hardwood, Carpet",1
1666744,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",4,3,2,,"3,340 SqFt.","Ceramic Tile, Hardwood, Carpet",1
1669893,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",4,3,1,2,"2,870 SqFt.","Ceramic Tile, Hardwood, Vinyl, Carpet",
1615157,"Dishwasher, Range/Oven, Refrigerator",1,1,1,,610 SqFt.,"Ceramic Tile, Laminate, Carpet",
1669688,"Dishwasher, Double Oven, Dryer, Disposal, Range/Oven, Refrigerator, Washer",4,4,3,,"3,860 SqFt.","Ceramic Tile, Hardwood, Carpet",1
1660707,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",4,2,1,,"2,200 SqFt.","Ceramic Tile, Concrete, Hardwood, Laminate, Carpet",1
1671183,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Washer",4,3,1,,"2,990 SqFt.","Hardwood, Stone, Carpet",2
1670138,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",1,1,1,,751 SqFt.,"Ceramic Tile, Carpet",
1666068,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",1,1,1,,808 SqFt.,"Ceramic Tile, Hardwood",
1664077,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",3,2,2,,"1,530 SqFt.","Hardwood, Carpet",
1665039,"Dryer, Range/Oven, Refrigerator, Washer",2,1,,,960 SqFt.,"Softwood, Laminate",1
