house_id,sun_score,rent_control
19557393,Great solar potentialSun Number™,
7505448,Great solar potentialSun Number™,
246025291,Great solar potentialSun Number™,
284859871,,
70465543,Candidate for a community solar programSun Number™,
26951537,Great solar potentialSun Number™,
7519505,Great solar potentialSun Number™,
448457,Great solar potentialSun Number™,
29334463,Great solar potentialSun Number™,
29331269,Great solar potentialSun Number™,
29334477,Great solar potentialSun Number™,
459564,Candidate for a community solar programSun Number™,
95632851,Great solar potentialSun Number™,
20788058,Great solar potentialSun Number™,
3592202,Great solar potentialSun Number™,
121066995,,
81921171,Great solar potentialSun Number™,
87724167,,
29333052,Great solar potentialSun Number™,
19594537,Great solar potentialSun Number™,
448535,Great solar potentialSun Number™,
2078389959,,
306645920,,
26860844,Candidate for a community solar programSun Number™,
61962938,Great solar potentialSun Number™,
20797583,Limited solar potentialSun Number™,
19607696,Great solar potentialSun Number™,
158778443,Great solar potentialSun Number™,
27290268,Great solar potentialSun Number™,
458486,Great solar potentialSun Number™,
36744362,Great solar potentialSun Number™,
55396371,Limited solar potentialSun Number™,
27263280,Great solar potentialSun Number™,
55397047,Great solar potentialSun Number™,
15181623,Great solar potentialSun Number™,
17112626,Great solar potentialSun Number™,
19599402,Great solar potentialSun Number™,
7506397,Great solar potentialSun Number™,
2077871631,,
20802252,Great solar potentialSun Number™,
26817089,Great solar potentialSun Number™,
20802736,Great solar potentialSun Number™,
20690665,Great solar potentialSun Number™,
125235199,,
19599061,Great solar potentialSun Number™,
110717469,Great solar potentialSun Number™,
3591619,Great solar potentialSun Number™,
61122245,Great solar potentialSun Number™,
26816793,Limited solar potentialSun Number™,
83239335,Great solar potentialSun Number™,
17044002,Great solar potentialSun Number™,
36721173,Great solar potentialSun Number™,
61122536,Great solar potentialSun Number™,
27263190,Good solar potentialSun Number™,
110714834,Great solar potentialSun Number™,
7515762,Great solar potentialSun Number™,
110745460,Great solar potentialSun Number™,
111710774,Great solar potentialSun Number™,
43693622,Great solar potentialSun Number™,
89028797,Great solar potentialSun Number™,
96794753,Limited solar potentialSun Number™,
20641954,Great solar potentialSun Number™,
7500794,Great solar potentialSun Number™,
26798388,Candidate for a community solar programSun Number™,
17017506,Great solar potentialSun Number™,
110701630,Great solar potentialSun Number™,
64969813,Great solar potentialSun Number™,
442860,Great solar potentialSun Number™,
89923337,Great solar potentialSun Number™,
99356274,Great solar potentialSun Number™,
55420773,Great solar potentialSun Number™,
110755705,Good solar potentialSun Number™,
19557451,Great solar potentialSun Number™,
20784175,Great solar potentialSun Number™,
43700869,Great solar potentialSun Number™,
80823358,Great solar potentialSun Number™,
3592461,Great solar potentialSun Number™,
36729707,Great solar potentialSun Number™,
3591197,Great solar potentialSun Number™,
80778341,Great solar potentialSun Number™,
26936483,Great solar potentialSun Number™,
2077565351,,
19580903,Great solar potentialSun Number™,
29329522,Good solar potentialSun Number™,
7512973,Great solar potentialSun Number™,
84642661,Great solar potentialSun Number™,
63790404,Great solar potentialSun Number™,
60977467,Great solar potentialSun Number™,
20794415,Great solar potentialSun Number™,
17115104,Great solar potentialSun Number™,
442861,Great solar potentialSun Number™,
110724472,Great solar potentialSun Number™,
20795290,Great solar potentialSun Number™,
101240330,Great solar potentialSun Number™,
26802135,Candidate for a community solar programSun Number™,
26800911,Good solar potentialSun Number™,
99356271,,
43693023,Great solar potentialSun Number™,
60347400,Great solar potentialSun Number™,
2077681491,,
82295911,Great solar potentialSun Number™,
89977213,Great solar potentialSun Number™,
20795082,Great solar potentialSun Number™,
20690529,Great solar potentialSun Number™,
43692923,Great solar potentialSun Number™,
29334576,Great solar potentialSun Number™,
17044038,Great solar potentialSun Number™,
246025806,Great solar potentialSun Number™,
53153596,Great solar potentialSun Number™,
104458538,Great solar potentialSun Number™,
19599072,Great solar potentialSun Number™,
20801358,Good solar potentialSun Number™,
82950285,Great solar potentialSun Number™,
40472907,Great solar potentialSun Number™,
36725918,Great solar potentialSun Number™,
7505371,Great solar potentialSun Number™,
452861,Candidate for a community solar programSun Number™,
20642095,Great solar potentialSun Number™,
55144589,Great solar potentialSun Number™,
2077641307,,
83124292,,
43691351,Great solar potentialSun Number™,
7511689,Great solar potentialSun Number™,
82300060,Great solar potentialSun Number™,
36726977,Great solar potentialSun Number™,
2078363717,,
3591973,Great solar potentialSun Number™,
26994346,Great solar potentialSun Number™,
20802121,Great solar potentialSun Number™,
110709652,Great solar potentialSun Number™,
29336613,Great solar potentialSun Number™,
3593209,Great solar potentialSun Number™,
2091594414,,
81991571,Great solar potentialSun Number™,
27338350,Great solar potentialSun Number™,
53737274,Great solar potentialSun Number™,
26802279,Great solar potentialSun Number™,
17016580,Great solar potentialSun Number™,
60200173,Candidate for a community solar programSun Number™,
69669981,Great solar potentialSun Number™,
26816620,Great solar potentialSun Number™,
20793195,Great solar potentialSun Number™,
70465537,Candidate for a community solar programSun Number™,
20643834,Great solar potentialSun Number™,
110750322,Great solar potentialSun Number™,
55406002,Great solar potentialSun Number™,
7511108,Great solar potentialSun Number™,
50903650,Great solar potentialSun Number™,
20691214,Great solar potentialSun Number™,
15143256,Great solar potentialSun Number™,
251031652,,
55398332,Great solar potentialSun Number™,
110700901,Good solar potentialSun Number™,
70747509,Great solar potentialSun Number™,
20642448,Great solar potentialSun Number™,
63703850,Great solar potentialSun Number™,
19557711,Great solar potentialSun Number™,
458775,Great solar potentialSun Number™,
118189181,Limited solar potentialSun Number™,
27323556,Great solar potentialSun Number™,
110704145,Great solar potentialSun Number™,
61122517,Great solar potentialSun Number™,
71481806,Great solar potentialSun Number™,
27329279,Candidate for a community solar programSun Number™,
20793210,Great solar potentialSun Number™,
2104378637,,
3591765,Great solar potentialSun Number™,
19600792,Great solar potentialSun Number™,
3860868,Great solar potentialSun Number™,
17043835,Great solar potentialSun Number™,
241585966,Great solar potentialSun Number™,
55398319,Great solar potentialSun Number™,
15160498,Great solar potentialSun Number™,
36741277,Great solar potentialSun Number™,
15084939,Great solar potentialSun Number™,
53737326,Great solar potentialSun Number™,
7511296,Great solar potentialSun Number™,
104452024,Great solar potentialSun Number™,
63012913,Great solar potentialSun Number™,
81928071,Great solar potentialSun Number™,
173560724,Great solar potentialSun Number™,
20639953,Great solar potentialSun Number™,
43701149,Good solar potentialSun Number™,
36731431,Great solar potentialSun Number™,
92355228,Great solar potentialSun Number™,
110749091,Candidate for a community solar programSun Number™,
110747725,Great solar potentialSun Number™,
110709853,Great solar potentialSun Number™,
20795689,Great solar potentialSun Number™,
62847505,Good solar potentialSun Number™,
70474031,,
26946434,Great solar potentialSun Number™,
26906776,Great solar potentialSun Number™,
26802262,Great solar potentialSun Number™,
19557511,Great solar potentialSun Number™,
122064249,Great solar potentialSun Number™,
17017652,Great solar potentialSun Number™,
2077681488,,
110722988,Great solar potentialSun Number™,
36718840,Great solar potentialSun Number™,
153249613,Great solar potentialSun Number™,
84001081,Great solar potentialSun Number™,
65562967,Great solar potentialSun Number™,
110717248,Good solar potentialSun Number™,
241585552,Great solar potentialSun Number™,
125257061,,
110718999,Good solar potentialSun Number™,
79843055,Great solar potentialSun Number™,
17016010,Great solar potentialSun Number™,
448548,Great solar potentialSun Number™,
17016789,Great solar potentialSun Number™,
7514658,Great solar potentialSun Number™,
2078089792,,
20639002,Great solar potentialSun Number™,
7519355,Great solar potentialSun Number™,
19580714,Great solar potentialSun Number™,
453141,Candidate for a community solar programSun Number™,
20797716,Great solar potentialSun Number™,
20794223,Great solar potentialSun Number™,
110729370,Limited solar potentialSun Number™,
27324149,Great solar potentialSun Number™,
63012888,Great solar potentialSun Number™,
55397006,Candidate for a community solar programSun Number™,
158776765,Great solar potentialSun Number™,
17010299,Great solar potentialSun Number™,
104454096,Great solar potentialSun Number™,
81968055,Great solar potentialSun Number™,
2077819232,,
15086469,Great solar potentialSun Number™,
111435637,Great solar potentialSun Number™,
27325725,Great solar potentialSun Number™,
2077915350,,
66134507,Great solar potentialSun Number™,
7515343,Great solar potentialSun Number™,
15069492,Great solar potentialSun Number™,
26802339,Great solar potentialSun Number™,
2078664523,,
113950920,,
69669976,Great solar potentialSun Number™,
449292,Great solar potentialSun Number™,
70447588,Great solar potentialSun Number™,
60529017,Great solar potentialSun Number™,
27324765,Great solar potentialSun Number™,
19581408,Great solar potentialSun Number™,
26819446,Good solar potentialSun Number™,
20796184,Great solar potentialSun Number™,
104453117,Great solar potentialSun Number™,
3591199,,
3591833,Great solar potentialSun Number™,
89148047,Great solar potentialSun Number™,
19579826,Great solar potentialSun Number™,
70336895,Great solar potentialSun Number™,
92352811,Great solar potentialSun Number™,
7515356,Great solar potentialSun Number™,
26906412,Great solar potentialSun Number™,
26947300,Great solar potentialSun Number™,
36731224,Great solar potentialSun Number™,
26817292,Great solar potentialSun Number™,
306141859,,
20784322,Great solar potentialSun Number™,
58297288,Great solar potentialSun Number™,
7515443,Great solar potentialSun Number™,
20785955,Great solar potentialSun Number™,
82294487,Great solar potentialSun Number™,
55421174,Candidate for a community solar programSun Number™,
27326048,Great solar potentialSun Number™,
70747556,Great solar potentialSun Number™,
7514205,Great solar potentialSun Number™,
65546308,Great solar potentialSun Number™,
110737102,Great solar potentialSun Number™,
69302229,Great solar potentialSun Number™,
60261285,,
29333062,Great solar potentialSun Number™,
26794863,Great solar potentialSun Number™,
19556691,Great solar potentialSun Number™,
27327034,Great solar potentialSun Number™,
26795771,Great solar potentialSun Number™,
36721864,Great solar potentialSun Number™,
43695007,Great solar potentialSun Number™,
71488699,Great solar potentialSun Number™,
15072610,Great solar potentialSun Number™,
29333077,Good solar potentialSun Number™,
29323270,Good solar potentialSun Number™,
29333063,Good solar potentialSun Number™,
95060776,Great solar potentialSun Number™,
3591114,Great solar potentialSun Number™,
15131932,Candidate for a community solar programSun Number™,
63509948,Great solar potentialSun Number™,
26949149,Candidate for a community solar programSun Number™,
29475480,Great solar potentialSun Number™,
68978645,Great solar potentialSun Number™,
2136248651,,
121067648,,
89667847,Great solar potentialSun Number™,
246025934,Great solar potentialSun Number™,
7512449,Great solar potentialSun Number™,
55397049,Limited solar potentialSun Number™,
458477,Candidate for a community solar programSun Number™,
448664,Great solar potentialSun Number™,
110738232,Great solar potentialSun Number™,
125230936,,
3593067,Great solar potentialSun Number™,
26947748,Good solar potentialSun Number™,
87691710,,
27327976,Great solar potentialSun Number™,
63698345,,
2078005094,Great solar potentialSun Number™,
26818503,Great solar potentialSun Number™,
113979252,Great solar potentialSun Number™,
65544482,Candidate for a community solar programSun Number™,
125313917,,
40472968,Great solar potentialSun Number™,
26946279,Great solar potentialSun Number™,
26994303,Great solar potentialSun Number™,
7505336,Great solar potentialSun Number™,
2079567485,,
43669888,Good solar potentialSun Number™,
55405981,Great solar potentialSun Number™,
110753479,Great solar potentialSun Number™,
15080532,Great solar potentialSun Number™,
247164329,Great solar potentialSun Number™,
20641726,Great solar potentialSun Number™,
2126801952,,
55406095,Great solar potentialSun Number™,
36730417,Great solar potentialSun Number™,
36743599,Candidate for a community solar programSun Number™,
110707602,Great solar potentialSun Number™,
63692490,Great solar potentialSun Number™,
62847238,Great solar potentialSun Number™,
29331303,Great solar potentialSun Number™,
19600870,Great solar potentialSun Number™,
29334535,Great solar potentialSun Number™,
60270629,,
20794916,Great solar potentialSun Number™,
2121238192,,
54906867,Great solar potentialSun Number™,
26799818,Great solar potentialSun Number™,
2077913807,,
299125344,Good solar potentialSun Number™,
448700,Great solar potentialSun Number™,
26944325,Great solar potentialSun Number™,
61325138,Great solar potentialSun Number™,
26995971,Candidate for a community solar programSun Number™,
19556721,Great solar potentialSun Number™,
3580631,Great solar potentialSun Number™,
110751900,Candidate for a community solar programSun Number™,
40473124,Good solar potentialSun Number™,
53735967,Great solar potentialSun Number™,
20688535,Great solar potentialSun Number™,
2077987889,Great solar potentialSun Number™,
110701338,Great solar potentialSun Number™,
17044483,Great solar potentialSun Number™,
27330607,Great solar potentialSun Number™,
20794256,Great solar potentialSun Number™,
125231582,,
19579887,Great solar potentialSun Number™,
20801682,Good solar potentialSun Number™,
7515527,Great solar potentialSun Number™,
60270617,,
63703823,Great solar potentialSun Number™,
20788332,Great solar potentialSun Number™,
61122203,Great solar potentialSun Number™,
82291316,Great solar potentialSun Number™,
94702669,Great solar potentialSun Number™,
62007666,Great solar potentialSun Number™,
7510715,Great solar potentialSun Number™,
2093019920,,
110755026,Great solar potentialSun Number™,
26802165,Great solar potentialSun Number™,
36744633,Great solar potentialSun Number™,
43710140,Great solar potentialSun Number™,
72652295,Great solar potentialSun Number™,
49911608,,
96031440,Great solar potentialSun Number™,
