AcctKey,ParentAcctKey,AcctCodeAltKey,ParentAcctCodeAltKey,AcctDesc,AcctType,DAOperator,CustomMem,ValType,CustMemOpt
53,50.0,4130,4100.0,Returns and Adjustments,Expenditures,-,,Currency,
54,50.0,4140,4100.0,Discounts,Expenditures,-,,Currency,
55,49.0,5000,400.0,Total Cost of Sales,Expenditures,-,,Currency,
56,55.0,5020,5000.0,Standard Cost of Sales,Expenditures,+,,Currency,
57,55.0,5050,5000.0,Variances,Expenditures,+,,Currency,
58,48.0,60,40.0,Operating Expenses,Expenditures,-,,Currency,
59,58.0,600,60.0,Labor Expenses,Expenditures,+,,Currency,
60,59.0,6000,600.0,Salaries,Expenditures,+,,Currency,
61,59.0,6020,600.0,Payroll Taxes,Expenditures,+,,Currency,
62,59.0,6040,600.0,Employee Benefits,Expenditures,+,,Currency,
63,58.0,6100,60.0,Commissions,Expenditures,+,,Currency,
64,58.0,620,60.0,Travel Expenses,Expenditures,+,,Currency,
65,64.0,6200,620.0,Travel Transportation,Expenditures,+,,Currency,
66,64.0,6210,620.0,Travel Lodging,Expenditures,+,,Currency,
67,64.0,6220,620.0,Meals,Expenditures,+,,Currency,
68,64.0,6230,620.0,Entertainment,Expenditures,+,,Currency,
69,64.0,6240,620.0,Other Travel Related,Expenditures,+,,Currency,
70,58.0,630,60.0,Marketing,Expenditures,+,,Currency,
71,70.0,6300,630.0,Conferences,Expenditures,+,,Currency,
72,70.0,6310,630.0,Marketing Collateral,Expenditures,+,,Currency,
73,58.0,6400,60.0,Office Supplies,Expenditures,+,,Currency,
74,58.0,6500,60.0,Professional Services,Expenditures,+,,Currency,
75,58.0,660,60.0,Telephone and Utilities,Expenditures,+,,Currency,
76,75.0,6610,660.0,Telephone,Expenditures,+,,Currency,
77,75.0,6620,660.0,Utilities,Expenditures,+,,Currency,
78,58.0,6700,60.0,Other Expenses,Expenditures,+,,Currency,
79,58.0,680,60.0,Depreciation,Expenditures,+,,Currency,
80,79.0,6810,680.0,Building Leasehold,Expenditures,+,,Currency,
81,79.0,6820,680.0,Vehicles,Expenditures,+,,Currency,
82,79.0,6830,680.0,Equipment,Expenditures,+,,Currency,
83,79.0,6840,680.0,Furniture and Fixtures,Expenditures,+,,Currency,
84,79.0,6850,680.0,Other Assets,Expenditures,+,,Currency,
85,79.0,6860,680.0,Amortization of Goodwill,Expenditures,+,,Currency,
87,58.0,6920,60.0,Rent,Expenditures,+,,Currency,
88,47.0,80,4.0,Other Income and Expense,Revenue,+,,Currency,
89,88.0,8000,80.0,Interest Income,Revenue,+,,Currency,
90,88.0,8010,80.0,Interest Expense,Expenditures,-,,Currency,
91,88.0,8020,80.0,Gain/Loss on Sales of Asset,Revenue,+,,Currency,
92,88.0,8030,80.0,Other Income,Revenue,+,,Currency,
93,88.0,8040,80.0,Curr Xchg Gain/(Loss),Revenue,+,,Currency,
94,47.0,8500,4.0,Taxes,Expenditures,-,,Currency,
95,,9500,,Statistical Accounts,Statistical,~,,Units,
96,95.0,9510,9500.0,Headcount,Balances,~,,Units,
97,95.0,9520,9500.0,Units,Flow,~,,Units,
98,95.0,9530,9500.0,Average Unit Price,Balances,~,[Account].[Accounts].[Account Level 04].&[50]/[Account].[Accounts].[Account Level 02].&[97],Currency,
99,95.0,9540,9500.0,Square Footage,Balances,~,,Units,
100,27.0,2220,2200.0,Current Installments of Long-term Debt,Liabilities,+,,Currency,
101,51.0,4200,4110.0,Trade Sales,Revenue,+,,Currency,
