Dataset,Column,Label,Reference,Domain,Sample
homeseekers.csv,rooms,rooms_29,,,"['Master Bedroom', 'Family Room, Master Bedroom', 'Family Room, Master Bedroom', 'Master Bedroom', 'Dining Room, Family Room']"
homeseekers.csv,spa,spa_51,,,"['No', 'Yes', 'No', 'Yes', 'No']"
homeseekers.csv,residential_listing_-_additional_features,highlights_21,,,"['Home Warranty', 'Elevator', 'Foyer, Walk-In Closet(s)', 'Elevator', 'Attic, Attic Fan, Cable TV, Ceiling Fan(s), Fenced, Foyer, Pantry']"
homeseekers.csv,direct,agent_phone_direct,,PhoneNumber,"['305-631-8866', '520-918-5739', '858-457-4687', '520-906-2157', '303-980-7870']"
homeseekers.csv,fax,firm_fax_110,,PhoneNumber,"['520-296-7639', '323-254-4783', '520-797-4221', '520-296-6093', '305-551-4965']"
homeseekers.csv,garage,garage_53,,,"[3.0, 2.0, 1.0, 2.0, 2.0]"
homeseekers.csv,lot_size,lot_size_25,,,"['165X264', '65 X 120', '233 X 150 X 150', 'X', '160 X 320']"
homeseekers.csv,view,views_83,,,"['Mountain View', 'Mountain View', 'Mountain View', 'Water View', 'City Lights View, Mountain View']"
homeseekers.csv,neighborhood,neighborhood_name_88,,,"['Hampton On Washington Av', 'Nine Island Avenue Condo', 'Miami Shores Condo', 'Versailles Hotel Condo', 'Blue Diamond']"
homeseekers.csv,style,architectural_style_12,,,"['Townhouse', 'Contemporary', 'Ranch', 'Colonial', 'Hi Rise']"
homeseekers.csv,email,agent_email_121,,Email,"['BillJones@SellingTucson.com', 'BERGI4@AOL.COM', 'Eleanor@EleanorBalaban.com', 'thomascorcoran@realtor.com', 'Rob@roblamb.com']"
homeseekers.csv,residential_listing_-_feature_details,,,,[]
nky.csv,house_location,house_address_3,,Address,"['4285 LEMON NORTHCUT', '721 GARRARD', '2560 KEEFER', '11 CRANBERRY', '401 WEXFORD']"
nky.csv,price,price_15,,,"['$29,500', '$184,921', '$200,000', '$100,000', '$174,900']"
nky.csv,rooms,number_of_rooms_30,,,"[6, 4, 6, 8, 5]"
nky.csv,bedrooms,beds_19,,,"[4, 3, 2, 4, 1]"
nky.csv,baths,baths_11,,,"['1-0', '3-0', '2-1', '1-0', '1-0']"
nky.csv,levels,number_of_stories_15,,,"['1 Story', '2 Story', '1 Story', '1 Story', '1 Story']"
nky.csv,basement,basement_26,,,"['Part', 'Full', 'Full', 'Full', 'Crawl']"
nky.csv,garage,garage_53,,,"['2 Cars (Attached,Front)', '2 Cars (Builtin,Front)', '2 Cars (Builtin)', 'None', '2 Cars (Attached)']"
nky.csv,suburb,suburb,,,"['CRITTENDEN', 'ERLANGER', 'TAYLOR MILL', 'TAYLOR MILL', 'ALEXANDRIA']"
nky.csv,school_dist,school_94,,,"['GRANT', 'KENTON', 'BOONE CO', 'WALTON VERO', 'KENTON']"
nky.csv,mls,mls_34,,,"[250234.0, 247348.0, 246487.0, 249246.0, 250136.0]"
nky.csv,house_type,home_style_7,,,"['Single Family', 'Single Family', 'Single Family', 'Single Family', 'Single Family']"
nky.csv,firm,firm_name_107,,,"['HUFF REALTY', 'T.H.-1 REALTY L.L.C.', 'HUFF REALTY', 'RE/MAX RESULTS', 'CENTURY 21 WHITEHORSE REALTY']"
nky.csv,firm_phone,firm_phone_109,,PhoneNumber,"['(606) 525-6777', '(606) 341-9000', '(606) 341-9000', '(606) 781-5100', '(606) 525-7900']"
nky.csv,agent,agent_name_19,,PersonName,"['LAURA SANDERS', 'MATTHEW TITTLE', 'JOHN VINCE', 'JENNIFER ONEY', 'GERRI JONES']"
nky.csv,agent_phone,agent_phone_117,,PhoneNumber,"['(606) 341-7400', '(606) 578-4200', '(606) 372-6000', '(606) 525-7900', '(606) 525-7900']"
nky.csv,house_description,description_21,,,"[""BETTER THAN NEW-1ST FLOOR MBR-EXTENDED 2 STORY GREAT ROOM. BEAUTIFUL\r\nMAPLE HARDWOOD FLR & CABINETS. $4000-LANDSCAPING $5000-DECK\r\n$4000-CUSTOM BLINDS. SIDE ENTRY GARAGE.LOCATED IN KY'S #1 COMMUNITY\r\nW/POOL/TENNIS/WALKING TRAILS"", ""WHAT A DEAL! THIS COZY COTTAGE IS A GREAT STARTER HOME WITH SPACIOUS\r\nROOMS AND OFF STREET PARKING. IT'S NOT GOING TO LAST! COME SEE IT NOW!"", 'MOST CONVENIENT LOCATION WALK TO DOWNTOWN CINCY/LG MASTER/LR-DR COMBO/\r\nBALCONY OVERLOOKS POOL/ALL APPLIANCES STAY/SECURE ENTRY/1C UNDERGROUND\r\nPARKING/FURNITURE ALSO FOR SALE.', '* 2 BR 2 STORY LOCATED IN W. COVINGTON * FULL BASEMENT * DECK OFF BACK\r\n* * NEEDS A LITTLE TLC * GREAT INVESTMENT * MUST SEE *', 'BRAND NEW 3 BR/2.5 BA HOME IN ONE OF THE GRANT COUNTIES NEWEST\r\nDEVELOPMENTS THIS HOME OFFERS LOTS OF LIVING SPACE FOR THE GROWING\r\nFAMILY WITH THE FINISHED FAMILY ROOM ON THELOWER LEVEL! CALL JIM\r\nSIMPSON AT 606-824-4308!']"
nky.csv,construction,construction_materials_21,,,"['Brick', 'Vinyl', 'Brick', 'Wood,Vinyl', 'Brick']"
nky.csv,heating,heating_57,,,"['Gas,Forced Air', 'Electric,Forced Air', 'Hot Water', 'Gas,Forced Air', 'Gas,Forced Air']"
nky.csv,cooling,cooling_58,,,"['Central Air', 'Central Air', 'Central Air', 'None', 'None']"
nky.csv,fireplace,fireplace_27,,,"['None', 'None', 'None', 'None', 'None']"
nky.csv,gas,gas_59,,,"['None', 'None', 'Natural', 'Natural', 'Natural']"
nky.csv,water,water_61,,,"['Public', 'Public', 'Public', 'Public', 'Cistern']"
nky.csv,sewer,sewer_60,,,"['Septic', 'Public', 'Public', 'Public', 'Public']"
nky.csv,lot_dimensions,lot_dimensions_77,,,"['IRREGULAR', 'IRREG LOT', '20x90', '50x250', '00']"
nky.csv,condo_level,which_floor_69,,,"['3', '0', '1', '2', '2']"
nky.csv,hoa_fee,hoa_fees_27,,,"[0, 0, 0, 0, 0]"
nky.csv,semiannual_taxes,tax_semiannual,,,"['$00000', '$.', '$.', '$0', '$00']"
nky.csv,bath_1_dimension,,,,"['FULL', 'FULL', 'FULL', 'FULL', 'FULL']"
nky.csv,bath_1_level,,,,"['2', '2', '1', '1', '2']"
nky.csv,bath_2_dimension,,,,"['FULL', 'FULL', 'FULL', 'FULL', 'FULL']"
nky.csv,bath_2_level,,,,"['1', '2', '1', '1', '2']"
nky.csv,bedroom_2_dimension,,,,"['14 X 12', '12 X 12', '10 X 9', '12 X 11', '15 X 12']"
nky.csv,bedroom_2_level,,,,"['2', '2', '1', 'X', '2']"
nky.csv,bedroom_3_dimension,,,,"['10 X 10', '16 X 8', '11 X 9', '12 X 12', '10 X 9']"
nky.csv,bedroom_3_level,,,,"['1', '1', '1', 'L', '2']"
nky.csv,dining_dimension,,,,"['10 X 12', '11 X 10', '12 X 11', '17 X 10', '13 X 11']"
nky.csv,dining_level,,,,"['1', '1', '1', '1', '1']"
nky.csv,family_dimension,,,,"['14 X 10', '16 X 15', '18 X 19', '19 X 13', '18 X 13']"
nky.csv,family_level,,,,"['1', 'L', 'L', '1', '1']"
nky.csv,kitchen_dimension,,,,"['11 X 10', '11 X 15', '11 X 8', '9 X 8', '14 X 12']"
nky.csv,kitchen_level,,,,"['2', '1', '1', '1', '1']"
nky.csv,laundry_dimension,,,,"['4 X 8', '10 X 6', '10 X 4', '8 X 11', '10 X 13']"
nky.csv,laundry_level,,,,"['1', '1', '1', 'L', '1']"
nky.csv,living_dimension,,,,"['15 X 16', '15 X 14', '11 X 12', '14 X 15', '23 X 18']"
nky.csv,living_level,,,,"['1', '1', '1', '1', '1']"
nky.csv,master_dimension,,,,"['17 X 10', '13 X 12', '10 X 7', '12 X 14', '14 X 12']"
nky.csv,master_level,,,,"['2', '2', '1', '1', '1']"
nky.csv,directions,directions_24,,,"['US 42S TO THE DOWNS @ HICKS PIKE (ON LEFT IMMED\r\nPAST RYLE HS) TO L BRIDLE PATH', 'RTE 17 PAST HANDS PIKE TO LEFT ON GRIBBLE DR, IN\r\nFOWLERS RIDGE', 'MADISON TO E 26TH', 'DECOURSEY TO E. 29TH BEHIND SHELL GAS STATION', 'BUTTERMILK R ON WESTERN RESERVE R ON ENID L ON\r\nJEFFERSON']"
nky.csv,breakfast_dimension,,,,"['12 X 8', '9 X 11', '12 X 11', '11 X 9', '14 X 11']"
nky.csv,breakfast_level,,,,"['1', '1', '1', '1', '1']"
nky.csv,bath_3_dimension,,,,"['PART', 'FULL', 'FULL', 'FULL', 'PART']"
nky.csv,bath_3_level,,,,"['L', '2', '1', '1', 'L']"
nky.csv,study_dimension,,,,"['21 X 13', '11 X 8', '28 X 27', '13 X 11', '11 X 9']"
nky.csv,study_level,,,,"['2', '1', '1', '1', 'L']"
nky.csv,bedroom_4_dimension,,,,"['12 X 9', '14 X 14', '13 X 9', '18 X 13', '13 X 13']"
nky.csv,bedroom_4_level,,,,"['2', '2', '2', '1', '2']"
nky.csv,bedroom_5_dimension,,,,"['13 X 14', '10 X 14', '14 X 7', '11 X 11', '15 X 19']"
nky.csv,bedroom_5_level,,,,"['2', '2', '2', '2', '3']"
nky.csv,bath_4_dimension,,,,"['PART', 'PART', 'FULL', 'FULL', 'PART']"
nky.csv,bath_4_level,,,,"['1', 'B', '1', 'L', '0']"
nky.csv,recreation_room_dimension,,,,"['20 X 24', '8 X 6', '16 X 13', '15 X 18', '32 X 11']"
nky.csv,recreation_room_level,,,,"['L', '1', 'L', '2', 'L']"
texas.csv,firm_information_name,firm_name_107,,OrgName,"['CENTURY 21 Jim Duncan, Inc.', 'Century 21 Manor', 'CENTURY 21 A-One Realty', 'CENTURY 21 1st Choice', 'Wimberley Land Company']"
texas.csv,firm_information_location,firm_address_108,,Address,"['124 W. McLeroy Blvd. Fort Worth, TX 76179', '704 Second Street Marble Falls, TX 78654', '611 Highway 67 Glen Rose, TX 76043', '902 Coronado Blvd. Universal City, TX 78148', '157 S. Manse Giddings, TX 78942']"
texas.csv,firm_information_office,firm_phone_office,,PhoneNumber,"['(254)542-1800', '(254)897-2416', '(956)425-3333', '(409)588-1177', '(361)853-2121']"
texas.csv,firm_information_toll_free,firm_phone_toll_free,,PhoneNumber,"['(800)395-2663', '(888)627-2121', '(800)275-1609', '(888)886-7806', '(800)726-4956']"
texas.csv,firm_information_fax,firm_fax_110,,PhoneNumber,"['(512)834-2234', '(361)853-9095', '(817)558-8199', '(210)658-2025', '(830)693-4494']"
texas.csv,firm_information_email,firm_email_112,,Email,"['bojac@mailexcite.com', 'javcom@javcom.com', 'info@hsbay.com', 'teamwheat@aol.com', 'office@remax-hot-aus-tx.com']"
texas.csv,agent_information_name,agent_name_19,,PersonName,"['Ginny Vann', 'John Pruitt', 'Peggy Jones', 'Cindi Darragh', 'Page Herring Findley']"
texas.csv,agent_information_office,agent_phone_office,,PhoneNumber,"['(800)300-8763', '(915)247-5782', '(800)300-8763', '(713)686-6090', '(830)598-2553']"
texas.csv,agent_information_fax,agent_fax_120,,PhoneNumber,"['(512)847-3547', '(512)448-0467', '(817)232-1199', '(281)444-0717', '(512)446-4273']"
texas.csv,agent_information_email,agent_email_121,,Email,"['cece@totalaccess.net', 'jeanine@realtyworldaustin.com', 'michele@hsbay.com', 'eprowell@century21jduncan.com', 'C21HgnTX@aol.com']"
texas.csv,type,home_style_main,,,"['Residential', 'Residential', 'Residential', 'Residential', 'Residential']"
texas.csv,id,listing_id_1,,,"[20943, 19568, 21387, 21193, 15768]"
texas.csv,mls,mls_34,,,"['14837', '9095488', '46699', '05-057-98', '9117267']"
texas.csv,house_location,house_address_3,,Address,"['6105 Jessica\r\nCorpus Christi, TEXAS 78414', '100 Algarita\r\nSan Marcos, TEXAS 78666', '146A Shore Acres\r\nLaguna Park, TEXAS 76634', '104 Summerwood Cove\r\nSan Marcos, TEXAS 78666', '137 Commanche Ridge\r\nSmithville, TEXAS']"
texas.csv,county,county_8,,,"['Galveston', 'Hays', 'Bastrop', 'Williamson', 'Caldwell']"
texas.csv,price,price_15,,,"['$63,900', '$88,500', '$76,500', '$202,900', '$379,000']"
texas.csv,bedrooms,beds_19,,,"[3.0, 3.0, 3.0, 3.0, 3.0]"
texas.csv,full_baths,baths_full,,,"[2.0, 2.0, 2.0, 3.0, 1.0]"
texas.csv,living_rooms,living_room_32,,,"[2.0, 1.0, 2.0, 1.0, 1.0]"
texas.csv,dining_rooms,dining_room_33,,,"[2.0, 1.0, 2.0, 1.0, 2.0]"
texas.csv,garage_spaces,garage_53,,,"[2.0, 2.0, 2.0, 2.0, 2.0]"
texas.csv,house_description,description_21,,,"['Great Lake Lot For Your Perfect Weekend Getaway!! A steal at $6,000.00!', 'LIGHT AND BRIGHT FEE SIMPLE HOME SHOWS BEAUTIFULY. LARGE ROOMS, BUILT INS, HIGH CEILINGS, NICE MASTER BATH. THREE PATIOS, ATRIUM, HOT UTB. BE SURE TO SEE LOVELY SWIMMING POOL AREA AND GROUNDS. NOTE LOW MAINTENANCE FEE IN THIS DESIRABLE PRIVATE SUBDIVISION.', 'End of Street--Nice size lot, Ceramic Tile in spacious den, kitchen, baths and downstairs hallway, Master is down, 3 bedrooms up, Roof is approx. 4 yrs. new. Home has siding for easy care, large backyard, nice fireplace.', 'Immaculate 3 bedroom, 2 bath brock home located on a corner lot in quiet, newer subdivision.  Home features a nice large kitchen, extra large utility room, split bedroom arrangement, fireplace, wooden blinds, 10 foot ceilings and many more features too numerous to mention.  Extra clean, ready to move right in!  Convenient to schools, shopping and I-20 access.  Call today to see this lovely home.', 'Prestigious Morse Valley.  Tile entry way.  Kitchen connects to both eating areas.  Large kitchen to cook in with plenty of cabinets, huge walk in pantry & built in desk.  Master bedroom is downstairs with a garden tub, separate shower and huge walk in closet. Upstairs loft makes a great family room. Plenty of room for everyone. $1.00 move in.']"
texas.csv,school_district,school_94,,,"['Round Rock', 'Arlington I S D', 'Hico', 'Gisd', 'Giddings']"
texas.csv,master_bedroom,master_bedroom_41,,,"['Downstairs', 'Upstairs', 'Downstairs', 'Downstairs', 'Downstairs']"
texas.csv,carport_spaces,carport_54,,,"[1.0, 2.0, 2.0, 2.0, 2.0]"
texas.csv,electricity,electricity_62,,,"['Yes', 'Yes', 'Yes', 'Yes', 'Yes']"
texas.csv,water_coop,,,,"['Yes', 'Yes', 'Yes', 'Yes', 'Yes']"
texas.csv,septic_tank,,,,"['Yes', 'Yes', 'Yes', 'Yes', 'Yes']"
texas.csv,highlights,highlights_21,,,"['FACES EAST, VIEW OF MAIN LAKE, IN GOOD CONDITION, OWNER MOTIVATED', 'IN PARK AREA, LOTS OF PINES, FULLY FENCED, QUALITY HOME', 'Financing Available, Wooded Lots, View', 'Majectic Log Home, Exceptional Pool Area, Incredible Hill Country Views, Guest Home', 'Near three Lockhart Schools, Recently renovated']"
texas.csv,firm_information_voice_mail,firm_voice_mail_111,,PhoneNumber,"['(512)448-5962', '(512)303-4441', '(512)448-5962', '(512)303-4441', '(512)303-4441']"
texas.csv,agent_information_mobile,agent_cell_phone_118,,PhoneNumber,"['(254)602-2222', '(713)824-0228', '(361)946-0753', '(512)422-2792', '(512)496-0432']"
texas.csv,sub-division,subdivision_94,,,"['Circle D', 'Walden', 'Cottonwood', 'Oakridge', 'Horseshoe Bay']"
texas.csv,financing_options_item,financing_options_99,,,"['Conventional', 'Conventional', 'Conventional', 'Conventional', 'Conventional']"
texas.csv,approx_size_sqft,sqft_28,,,"[903.0, 1402.0, 2500.0, 1641.0, 1148.0]"
texas.csv,stories,number_of_stories_15,,,"[2.0, 1.0, 1.0, 2.0, 1.0]"
texas.csv,approx_acres,acres_25,,,"[4.46, 1.0, 0.62, 40.0, 0.2]"
texas.csv,year_built,year_built_14,,,"[1998.0, 1995.0, 1998.0, 1986.0, 1985.0]"
texas.csv,fire_places,fireplace_27,,,"[1.0, 1.0, 1.0, 1.0, 1.0]"
texas.csv,pool,swimming_pool_49,,,"['Yes', 'Yes', 'Yes', 'Yes', 'Yes']"
texas.csv,hot_tub,,,,"['Yes', 'Yes', 'Yes', 'Yes', 'Yes']"
texas.csv,financing_options,,,,"['Conventional, VA Loan, FHA Loan', 'Conventional, VA Loan, FHA Loan, Texas Vet', 'Conventional, FHA Loan', 'Conventional, VA Loan, FHA Loan, Texas Vet', 'Conventional, Owner Financed']"
texas.csv,approx_lot_size,lot_size_25,,,"['121X193', '108x141', '50X125', '90x110', '7705']"
texas.csv,city_water,water_61,,,"['Yes', 'Yes', 'Yes', 'Yes', 'Yes']"
texas.csv,city_sewer,sewer_60,,,"['Yes', 'Yes', 'Yes', 'Yes', 'Yes']"
texas.csv,agent_information_voice_mail,,,PhoneNumber,"['(956)565-9242', '(512)757-0707', '(281)444-0551 26', '(361)853-6777 137', '(409)588-1177 223']"
texas.csv,well,,,,"['Yes', 'Yes', 'Yes', 'Yes', 'Yes']"
texas.csv,new_home,new_home_16,,,"['Yes', 'Yes', 'Yes', 'Yes', 'Yes']"
texas.csv,half_baths,baths_half,,,"[1.0, 1.0, 1.0, 1.0, 1.0]"
texas.csv,move-in_date,availability_18,,,"['9/8/99', '1/21/99', '11/30/99', '4/22/99', '7/21/99']"
texas.csv,waterfront,waterfront_lot_80,,,"['Yes', 'Yes', 'Yes', 'Yes', 'Yes']"
texas.csv,restrictions,,,,"['Yes', 'Yes', 'Yes', 'Yes', 'Yes']"
texas.csv,resort_property,,,,"['Yes', 'Yes', 'Yes', 'Yes', 'Yes']"
texas.csv,to_be_built,,,,"['Yes', 'Yes', 'Yes', 'Yes', 'Yes']"
texas.csv,golf_course,golf_course_91,,,"['Yes', 'Yes', 'Yes', 'Yes', 'Yes']"
texas.csv,highlights_item,highlights_21,,,"['Walk to Country Club & the POOL!', 'UNDER CONTRACT', '1 YEAR HOME WARRANTY', 'Extra Clean', 'UPDATED WITH EXTRA STORAGE']"
texas.csv,handicapped_equipped,,,,"['Yes', 'Yes', 'Yes', 'Yes', 'Yes']"
windermere.csv,price,price_15,,,"['$159,000', '$135,500', '$244,000', '$335,000', '$99,999']"
windermere.csv,mls_id_number,mls_34,,,"['364880', '145580', '135651', '163382', '164043']"
windermere.csv,address,house_address_3,,Address,"['124 Kathleen Terace', '2590 Bunker Hill Rd', '388 Hudspeth Ln.', '3626 SW 10TH AVE', '168 Pine Street']"
windermere.csv,city,locality_3,,,"['PORTLAND', 'SHERWOOD', 'Salem', 'ROSEBURG', 'Salem']"
windermere.csv,st,region_4,,,"['OR', 'OR', 'OR', 'OR', 'OR']"
windermere.csv,bedrooms,beds_19,,,"[4.0, 4.0, 3.0, 3.0, 3.0]"
windermere.csv,bathrooms,baths_11,,,"[3.0, 3.0, 2.5, 1.0, 1.0]"
windermere.csv,sqft,sqft_28,,,"['1238', '1460', '2322', '4556', '1383']"
windermere.csv,year_built,year_built_14,,,"[1959.0, 1996.0, 2000.0, 1910.0, 1950.0]"
windermere.csv,heat,heating_57,,,"['Gas Forced Air', 'Gas Forced Air', 'Electric Forced Air', 'Not Listed', 'Gas Forced Air']"
windermere.csv,ac,,,,"['Not Listed', 'yes', 'Not Listed', 'Not Listed', 'Not Listed']"
windermere.csv,waterfront,waterfront_lot_80,,,"['No', 'No', 'No', 'No', 'No']"
windermere.csv,views,views_83,,,"['No', 'No', 'No', 'Yes', 'Yes']"
windermere.csv,roof,roof_48,,,"['COMP', 'SHAKE', 'Comp Shingle', 'COMP', 'COMP']"
windermere.csv,garage,garage_53,,,"['Parking for 0 Car(s)', 'Parking for 2 Car(s)', 'Attached', 'Parking for 1 Car(s)', 'Parking for 0 Car(s)']"
windermere.csv,lot_size,lot_size_25,,,"['0.23        Acres', '0.11        Acres', '0.00        SQFT', '0.00        SQFT', '2.90        Acres']"
windermere.csv,lot_description,lot_features_74,,,"['96X100', '5611SF', '82X110 APPROX.', '10000', '6,144']"
windermere.csv,fireplace,fireplace_27,,,"['2', '1', '1', '1', '0']"
windermere.csv,taxes,tax_9,,,"['$1,615', '$0', '$979', '$0', '$0']"
windermere.csv,features,,,,"[""OVER 165' OF RIVER, MANY UPGRADES IN HOME, OVER 1500 s.f. DECKING, GREAT FISHING WATER, SECLUDED"", 'Convenient yet secluded, Modern, spacious home, Large pasture suited for horses, Meadows, trees, mountain views, 10 minutes to Sandpoint', '3.64 Acres, 2-Story Home, Shop, RV Parking, Only 20 Minutes to Town', 'Double Attached Garage, Patio, Landscaped, Room For RV, Fenced Yard', 'Nicely updated, Beautiful yard, Single car garage']"
windermere.csv,elementary,elementary_school_95,,,"['ROCK CREEK', 'HUCREST', 'SMITH', 'SWEET BRIAR ELE', 'TROUTDALE']"
windermere.csv,middle_school,middle_school_96,,,"['FREMONT', 'CHECKING', 'OTT', 'JACKSON', 'JACKSON']"
windermere.csv,high_school,high_school_97,,,"['ROSEBURG', 'PORTLAND', 'PARKROSE', 'ROOSEVELT', 'ROOSEVELT']"
windermere.csv,comments,description_comments,,,"['If you love the country but want to be close to the city this is thehome for you!top quality construction throughout.House cannot be seenfrom the road,please make appt to see-private drive.', 'Great starter home, close to schools, golf & shopping.  Huge yard with mature trees.  Built in shelving in livingroom.  New water heater. R.V. parking, garden space , dog run and fully fenced.', '1 of 2 units, exellent location for home business, amenities toonumerous to mention in home. A/c, 1/2 bath, hardwood floors, and bonusroom are custom options and will increase price.', 'Grades. Exterior siding is complimented w/shaker town/brick. Thetrim detail is absolutely fabulous w/bead board wainscoatting, mouldingsthat are exceptional upstairs and down. This is a must-see!', ""50's charm in englewood! on one level huge master suite with wall incloset & access to large covered deck. Spacious living room with gasfireplace. Formal andinformal dining-oak cabnetry price includes all app""]"
windermere.csv,agent_name,agent_name_19,,PersonName,"['Skeet Shepherd', 'Virginia James', 'Bruce Peeples', 'Carl Brenden', 'Barbara Calkum']"
windermere.csv,firm_name,firm_name_107,,OrgName,"['Windermere Pacific West Properties, Inc.', 'Windermere/Torrance Real Estate', 'Windermere Real Estate/Caldwell', ""Windermere/Coeur d'Alene, Inc."", 'Windermere/Cronin & Caplan Realty Group, Inc.']"
windermere.csv,firm_location,firm_address_108,,Address,"['519 S Columbia River Hwy.\r\nSt. Helens, OR', '137 Thain Road\r\nLewiston, ID', '1411 NE Broadway\r\nPortland, OR', '1607 NE 41 Ave.\r\nPortland, OR', '2900 Cleveland Blvd.\r\nCaldwell, ID']"
windermere.csv,office_phone,firm_phone_office,,PhoneNumber,"['503-284-7755', '503/694-1011 or 800-335-3446', '503/694-1011 or 800-335-3446', '503-391-1350', '503-391-1350']"
windermere.csv,fax,agent_fax_120,,PhoneNumber,"['541-878-2699', '503/694-1021', '208-265-6328', '503-220-5788', '503- 226-6227']"
windermere.csv,e-mail,agent_email_121,,Email,"['vondas@windermere.com', 'pjones@lewiston.com', 'nwirving@windermere.com', 'salem@windermere.com', 'salem@windermere.com']"
windermere.csv,cell_phone,agent_cell_phone_118,,PhoneNumber,"['(208)791-5663', '208-791-3082', '503-201-7465', '541/521-3861', '780-4124']"
windermere.csv,floors,flooring_17,,,"['Hardwood Floors,', 'Wall to Wall Carpet,', 'Wall to Wall Carpet,', 'Wall to Wall Carpet,', 'Wall to Wall Carpet,']"
windermere.csv,interior,interior_features_25,,,"['Not Listed', 'Not Listed', 'Not Listed', 'Not Listed', 'Gas Fireplace, Security System']"
windermere.csv,exterior,exterior_features_47,,,"['Deck, RV-Park,', 'Not Listed', 'Fendced, RV Area', 'Not Listed', 'Deck, Garden, Patio, Porch, RV-Park,']"
windermere.csv,site,utilities_56,,,"['Water: PUBLIC Sewer: PUBLIC', 'Water: PUBLIC Sewer: PUBLIC', 'Water: PUBLIC Sewer: PUBLIC', 'Water: PUBLIC Sewer: CONECTD', 'Water: PUBLIC Sewer: PUBLIC']"
windermere.csv,pager,agent_pager_119,,PhoneNumber,"['541/710-4536', '208-769-8043', '208-299-6371', '(503)243-0311', '370-1922']"
windermere.csv,item,highlights_21,,,"['View 3 mountains', 'Close to Deschutes River']"
windermere.csv,for_more_information_contact,,,Email,"['randimax@windermere.com, randimax@windermere.com', 'coverts@nehalemtel.net, coverts@nehalemtel.net', 'bande@windermere.com, bande@windermere.com', 'becki@saltzman.net, fross@hevanet.com', 'lorettar@gte.net, windermere@cdarealty.com']"
