price_per_sqft,property_type,property_year,home_style,description,beds,bath,sqft,lotsize,property_id
$294,Single Family Home,1944,1944,"Come see this beautiful, updated home. Brand new kitchen w/ granite counters and SS
            appliances. Refinished wood floors throughout, beautiful trim and doors add to the charming character of the
            home. The bathroom has been beautifully redone with new tile flooring, and a newly tiled shower. New washer,
            dryer, air conditioning and furnace are other great updates that you'll love. Enjoy the backyard with mature
            trees as you relax on the brand new concrete patio with fire pit. The walkability of the neighborhood is a
            huge bonus. You're within walking distance to Eken Park, as well as tons of great restaurants, bars, coffee
            shops, and Pick 'n Save. Updated electrical, plumbing, flashing, gutters, and downspouts. This
            ready-to-move-in home will sell quickly!
        ",2,1,834,"5,227",11
$327,Condo/Townhome/Row Home/Co-Op,2008,2008,"Enjoy bold modern architecture/design in combination w/the hottest location in downtown
            Madison! This impressive 2bd/1ba corner unit at Capitol West makes a statement! Open concept FP offers a
            stunning kitchen w/custom cross cut cabinetry, walnut trim/accents, quartz ctrs, kohler/grohe fixtures,
            contemporary lighting & SS appliances w/gas range & vent hood. Add features & upgrades include
            wood/tile flooring, FP w/tile surround, custom built-ins, high ceilings, lovely color palette/paint accents,
            large bathroom w/double vanity, laundry & big walk in shower, large balcony w/pretty views, on-floor
            storage & underground parking. Guest room has built-in murphy bed & shelving. Great amenities
            (onsite mgt, fit & biz ctrs) & superb DT Madison location! SF per orig FP (NAHB ANANSI Z765 std)
        ",2,1,"1,123",,12
$119,Multi-Family Home,1992,1992,"Beautifully maintained duplex on private ct. Unit #11 freshly renovated and left vacant for
            owner occupant. Unit # 9 is a unique 1bed + den with full bar and family rm on lower level. Current tenant
            has been there for 3 years. Multi-level decking.
        ",4,6,"3,600",0.38,13
$183,Single Family Home,2004,2004,"Inviting 3-bed, 2.5 bath home on sizable lot in sought after Quarry Cove. Main lvl features
            Ash wood flooring, a beautiful kitchen w/ corian solid surface counter tops, hickory cabinets & large
            island. Under & upper cabinet lighting. Gas fireplace on main floor, as well as access to deck which
            oversees beautiful landscaped yard and swing-set. 3 bedrooms upstairs to include large master w/ a private
            bath. Natural light floods the upstairs bedrooms making it so sunny and enjoyable. Extra living space in the
            LL, and large workspace area with full exposure egress windows. Rough-in for future bathroom. Walking
            distance to shops, restaurants, schools, and parks! Can't beat the location. Carpet new '19.
        ",3,2.5,"1,806","6,970",14
$168,Single Family Home,2012,2012,"Showings start Sept 18th. Get ready to move into the popular Grandview Commons neighborhood
            - this home is walking distance to the Great Dane, Twisted Grounds coffee shop (with ice cream!), Metro
            Market and several parks including a dog park that just opened a few blocks away! Open floor plan with
            kitchen island, solid surface countertops and stainless steel appliances. Convenient first floor laundry.
            Owner's Suite has walk-in closet and private full bathroom. Walk out lower level has tall ceilings with a
            finished family room plus a bathroom rough-in for more potential.
        ",3,2.5,"1,788","5,227",15
$217,Single Family Home,2020,2020,"Ready 11/30/2020! Get the peace of mind that comes with award-winning, quality craftsmanship
            & energy efficiency that can only be found in a Veridian home. On average, a Focus On Energy & Green
            Built certified Veridian home is 70% more energy efficient than a typical used home! Even more, all Veridian
            homes come fully loaded with custom features & the best brands, like Auburn Ridge cabinetry & Kohler
            plumbing fixtures. To top it off, they even come with a comprehensive warranty backed by a full service
            team.
        ",3,2.5,"1,520","3,920",16
$76,Single Family Home,1959,1959,"Fire damaged house. Selling as is. No electricity or running water. Extreme care should be
            taken during showings. Garage is not damaged. Good project for the experienced remodeler.
        ",3,2,"1,642",0.24,17
$193,Single Family Home,2019,2019,"Better than new! You could not rebuild this home with the current cost of building materials
            and these upgrades for this price! Sellers have installed extensive landscaping, stained the deck, added
            recessed lighting in the oversized 2 car garage, added additional lighting to the basement, installed
            InstaHot at the kitchen sink, added $4000 in appliance upgrades beyond original appliance allowance, added
            dog wash station in the basement and installed coded deadlock and alarm system which is also included.
            Convenient location with green space behind the lot. Veridian's comprehensive home warranty is transferable
            to new owner and valid through May 2021.
        ",4,2.5,"2,482","6,534",18
$252,Single Family Home,2001,2001,"Showings to start with open house Sunday 9/27/2020 at noon. Open house will be managed
            safely to assure distancing. METICULOUSLY MAINTAINED ranch style home with Main level offering 3 bedrooms,
            including a full bath in owner's suite. Step outside right from your kitchen to a flat nicely landscaped,
            spacious backyard with large, gorgeous low maintenance stone patio. Beautiful yard has plenty of room to
            grill, have a firepit and enjoy the outdoors. Egress windows in LL will allow you to put your remodeling
            touches to work. Wonderful location in a quiet neighborhood on Madison's southwest side w/in walking
            distance to parks, shopping, dining & entertainment. Minutes from Fitchburg!
        ",3,2,"1,245","6,970",19
$240,Single Family Home,2017,2017,"Wonderful ranch home features open floorplan, vaulted ceilings & hardwood floors
            throughout the living areas. Beautiful gourmet kitchen includes enormous island with breakfast bar seating,
            quartz counters, tile backsplash, stainless appliances with gas range & exterior vented hood. Bright
            living room is accented by a cozy gas fireplace with stacked stone surround. Dining area can accommodate
            large family gatherings. Huge master suite with walk-in closet & private bath with double sinks &
            custom tile shower. Main level laundry area with storage cubbies. Maintenance free deck overlooks the
            wonderful yard backing up to 1000 Oaks Park. Gain instant equity by finishing the spacious lower level.
            Plans include large rec area with bar, full bathroom & fourth bedroom.
        ",3,2,"1,980","7,405",20
$267,Condo/Townhome/Row Home/Co-Op,2000,2000,"Showing start 8/26. Welcome home to this beautiful renovated condo in the desired
            Tenney-Lapham neighborhood! Walking distance to everything, Festival Foods, restaurants, Lake Monona and
            Mendota, best venues in town and our great capital where our popular farmers market is held. The appealing
            open concept condo has a private entry and is filled with natural sunlight that shows off the gorgeous
            wooden floors and kitchen with updated quartz countertops & stainless steel appliances. Owner's suit is
            spacious and has a full walk-in closet. Relaxing balcony is located off the owner's suite with a view of the
            capital. Laundry room in the unit has a full size washer and dryer! One dedicated parking stall is located
            outside and a storage unit big enough to store a bike. UHP basic warranty included.
        ",1,1,824,,21
$368,Condo/Townhome/Row Home/Co-Op,2017,2017,"Immaculate & impressive ground lvl 2 BR, 2 bath w/private entry! This condo is like
            brand new & a must see if you are looking to be close to everything dtown! Live concerts/pro soccer
            literally outside your front door at Breese Stevens Field, Festival Foods, Sylvee, Vintage Brewing Co. &
            more just a block away! The interior is open & spacious w/ hardwood floors throughout, lg windows w/
            roller shades & drapery for privacy, tall ceilings & owner suite w/ walk in closet & huge full
            bath w/ double vanity. Kitchen is ideal for entertaining & has SS appliances, granite counters, lg
            island & pantry.
        ",2,2,"1,194",,22
$176,Single Family Home,1956,1956,"Gorgeous, totally updated ranch home in Hill Farms & Van Hise school district! Enjoy
            spacious, open concept living w/expansive updated windows & hardwood flooring. Large open kitchen
            w/sparkling quartz countertops, Schrock Cabinetry, crown molding, island with stovetop, stainless steel
            appliances and vented hood. Off the kitchen, step right outside the French doors to a large deck with
            wrap-around bench and private fenced in backyard. Extensive owner's suite boasts private bathroom w/
            gorgeous tiled shower and seat, and attached laundry. Huge basement with rec room, 4th bedroom, full bath,
            and space for a home gym. 3rd or 4th bedroom could easily be a great home office. New water softener, and
            newer furnace, water heater, and roof! See VR tour and list for all updates/features!
        ",4,3,"2,446",0.27,23
$190,Multi-Family Home,1964,1964,"Remarkable CASH FLOWING INVESTMENT OPPORTUNITY to own 2 adjacent 4 unit townhouse bldgs w/
            courtyard, patios & long term tenants. Fair market rents are $1000-$1100+/mo/2Bd &
            $1100-$1200+/mo/3Bd. Additional improvements will result in even greater net income.Well maintained bldgs
            are adjacent to single family homes, Meadowood park, Community Gardens, playground & at end of street w/
            free parking. Seller updates include: newer appliances, flooring, windows, mechanicals, 12'x14' outdoor
            patios in courtyard. All 4 units leased till 2021; great opportunity for immediate owner occupancy. Perfect
            location on Westside; just minutes from EPIC, Exact Sciences, Promega, Downtown, UW hospitals, EPIC,
            Middleton & Verona.Own 8 units: Easy maintenance, long term investment, cash flow & tax deductions.
        ",,,"5,252",0.44,24
$100,Multi-Family Home,1964,1964,"Remarkable CASH FLOWING INVESTMENT OPPORTUNITY to own 2 adjacent 4 unit townhouse bldgs w/
            courtyard, patios & long term tenants. Fair market rents are $1000-$1100+/mo/2Bd &
            $1100-$1200+/mo/3Bd. Additional improvements will result in even greater net income.Well maintained bldgs
            are adjacent to single family homes, Meadowood park, Community Gardens, playground & at end of street w/
            free parking. Seller updates include: newer appliances, flooring, windows, mechanicals, 12'x14' outdoor
            patios in courtyard. All 4 units leased till 2021; great opportunity for immediate owner occupancy. Perfect
            location on Westside; just minutes from EPIC, Exact Sciences, Promega, Downtown, UW hospitals, EPIC,
            Middleton & Verona.Own 8 units: Easy maintenance, long term investment, cash flow & tax deductions.
        ",10,8,"5,252","9,583",25
$143,Condo/Townhome/Row Home/Co-Op,2004,2004,"COMPLETELY UPDATED!!! This amazing 3 bed 2 full bath has been completely updated and has not
            been lived in since updates were completed. All brand new stainless appliances. Brand new luxury vinyl plank
            in the kitchen and dining area. Beautiful back splash just installed. All new light fixtures. Both full
            bathrooms updated. Fresh paint in every room of the home. Private view overlooking thick large mature trees,
            spacious bedroom, huge walk in closet, extra storage unit and underground heated parking. Condo amenities
            include access to beautiful club house, gym, tanning booth, theater room, pool and hot tub!! Easy access to
            interstate, Woodman's, Costco, Cabela's, East Towne Mall, Target, Marcus Movie Theater and countless
            restaurants!!! Call today for a private showing!!!
        ",3,2,"1,328",,26
$213,Single Family Home,1946,1946,"Show 9/24. Adorable bungalow charmer that offers tons of updates, an oversized fenced-in
            yard that is perfect for Fido & friends & gardening. Located directly across from Worthington Park
            & down the street from future Public Market, this home has a cute covered front porch, a sunny living rm
            w/new picture window (2018) & engineered hardwood floors. Clean kitchen boasts white cabinetry, tiled
            backsplash, ss appliances & breakfast bar. Back sun room is perfect for a home office, a formal dining
            room or green house. Updates include freshly painted exterior and interior, new roof (2020), furnace (2019),
            water heater (2016), water softener (2017), remodeled bathroom (2018), remodeled kitchen/dining/appliances
            (2012), washer/dryer (2014), bedroom carpet (2020), & newer windows
        ",2,1,890,"8,712",27
$170,Single Family Home,2004,2004,"Great New Price ! This custom 4-bdrm has all the space you are looking for with not less
            than 3 separate workspaces plus an exercise room. Get ready for winter: 2-sided fireplace on main level,
            radiant floor heat downstairs and a sauna. Top of the line appliances incl Wolf, Viking and SubZero.
            Terrific views from hilltop site Lengthy list of recent updates: Roof (2018) water heater for radiant floor
            heat (2020), porch re-screen, windows, washer/dryer. Pre-inspected, appraised for $590, 000 7/2020. Short
            term ownership due to non-Covid change in Seller's health. Preferred Close Date: November 16, 2020
        ",4,3.5,"3,413",0.31,28
$166,Single Family Home,1965,1965,"It's hard not to gush over this meticulously updated & move-in ready ranch home! Located
            on a corner lot on a tree-lined street you will be awestruck at the attention to detail put into this home.
            Updated kitchen with new cabinetry, stainless appliances, flooring & granite counter-tops, remodeled
            light-filled lower level with gas fireplace & full bathroom plus a 2-car garage with bonus space. So
            close to the Heritage Sanctuary and the Capital City Trail system. Near Monona so head on over to the
            Olbrich Bier Garten & meet friends or walk around Atwood Avenue and enjoy the many eateries &
            attractions. Or you can always relax at home on the new deck overlooking the backyard or shoot some hoops in
            the large driveway before dinner. This home has it all and is just waiting for it's new owners!
        ",3,2,"1,600",0.24,29
$159,Single Family Home,2003,2003,"OPEN FOR ADMIRATION! From the moment you enter the neighborhood you will feel at home.
            Inside you will love the warm details and updates, including a brand new Wolf range, Cove dishwasher, and
            beautiful waterfall quartz countertops adorning the kitchen, lovely tile, quality laminate wood floors, and
            the awesome wet bar in the basement. Outside you will enjoy quiet tree lined streets, clean alley driveways,
            easy walk-able shopping, dining, and errands as well as quiet parks in the sought after Grandview Commons
            neighborhood. This house has been well maintained and loved for many years and now it's time to MAKE IT
            YOURS!
        ",3,2.5+,"1,788","3,920",30
$122,Condo/Townhome/Row Home/Co-Op,1988,1988,"This is the epitome of why rent when you can own! At this price and low condo fees you're
            saving money while building equity. This clean and well maintained loft style condo has stainless steel
            appliances, brand new carpet and a great wooded park like view. Enjoy a morning coffee on your private
            balcony while listening to the birds. A five minute drive to downtown or a ten minute bike ride as you are
            adjacent to the Capital City Bike trail and Baxter Park. Don't have a car? The bus line is 2 blocks away!
            Don't forget to see the enormous walk in closet and the vaulted ceilings.
        ",1,1,736,,31
$161,Condo/Townhome/Row Home/Co-Op,1989,1989,"SHOWINGS START FRIDAY OCTOBER 2ND AT 5PM. FHA and VA approved! Don't miss this recently
            updated - cute as can be - condo! This two bedroom one bath main level unit has new floors, newer stainless
            steel kitchen appliances and solid surface counters, new windows in the main bedroom, newer washer and dryer
            in unit and has been freshly painted through out! Sip your morning coffee on the balcony or relax with a
            good book by the fireplace in the large living room. Low condo fee! The association amenities include an
            outdoor pool/hot tub/sauna, a fitness center, tennis court, sand volleyball court, basketball courts,
            community room, and plenty of guest parking! Close to all the west side shopping and dining! Hop on a bus at
            the nearby stop and go downtown or catch a class at UW.
        ",2,1,987,,32
$237,Condo/Townhome/Row Home/Co-Op,2020,2020,"New condo project in Middleton School District. Spacious floor plans, walk in closets, wood
            flooring, fireplaces, stainless appliances, Hand Made Amish Cabinets, Quartz and or Granite Sills and
            Counter tops, 2+ car attached garage, GREAT LOCATION. Floor plan style is town-home with vertically stacked
            units. Condos are Warrantable and Conventional Financing is possible. Listing Broker has interest in
            development. Seller will require Addendum BCTH with all offers. Builder Warranty Included.
        ",2,2.5,"1,477",,33
$190,Multi-Family Home,1964,1964,"Remarkable CASH FLOWING INVESTMENT OPPORTUNITY to own 2 adjacent 4 unit townhouse bldgs w/
            courtyard, patios & long term tenants. Fair market rents are $1000-$1100+/mo/2Bd &
            $1100-$1200+/mo/3Bd. Additional improvements will result in even greater net income.Well maintained bldgs
            are adjacent to single family homes, Meadowood park, Community Gardens, playground & at end of street w/
            free parking. Seller updates include: newer appliances, flooring, windows, mechanicals, 12'x14' outdoor
            patios in courtyard. All 4 units leased till 2021; great opportunity for immediate owner occupancy. Perfect
            location on Westside; just minutes from EPIC, Exact Sciences, Promega, Downtown, UW hospitals, EPIC,
            Middleton & Verona.Own 8 units: Easy maintenance, long term investment, cash flow & tax deductions.
        ",,,"5,252",0.44,34
$176,Single Family Home,1956,1956,"Gorgeous, totally updated ranch home in Hill Farms & Van Hise school district! Enjoy
            spacious, open concept living w/expansive updated windows & hardwood flooring. Large open kitchen
            w/sparkling quartz countertops, Schrock Cabinetry, crown molding, island with stovetop, stainless steel
            appliances and vented hood. Off the kitchen, step right outside the French doors to a large deck with
            wrap-around bench and private fenced in backyard. Extensive owner's suite boasts private bathroom w/
            gorgeous tiled shower and seat, and attached laundry. Huge basement with rec room, 4th bedroom, full bath,
            and space for a home gym. 3rd or 4th bedroom could easily be a great home office. New water softener, and
            newer furnace, water heater, and roof! See VR tour and list for all updates/features!
        ",4,3,"2,446",0.27,35
$256,Single Family Home,1924,1924,"Accepted Offer with Bump Clause.Welcome home to a charming, well-loved bungalow in Emerson
            East. Gleaming hardwood floors, updated windows in living room/kitchen and white farmhouse cabinets (moved
            from the family's actual farm!) in kitchen to add to the charm. Enjoy your morning coffee, or set up a
            hammock on your spacious front porch and watch sunsets from your back deck. Loads of storage in garage/shed
            and basement and a fenced in yard for Fido. Bonus finished room in basement. Close to downtown, schools and
            parks. Home is being sold as-is by personal rep.
        ",2,1,724,"5,663",36
$99,Condo/Townhome/Row Home/Co-Op,1980,1980,"WELCOME TO YOUR HAPPY PLACE! Exciting 3 Bedroom, 1.5 Bath end unit Townhouse condo that
            boasts a bright & cheery living rm w/wood floors, impressive fireplace and windows that have a modern
            feel, large kitchen with tons of cabinets and pantry with extra freezer. Owner's Suite with private balcony
            to enjoy your coffee on! Great upstairs loft area for extra space, office, toy room etc. Lower level rec
            room is the perfect man cave or exercise rm, great laundry space & tons of storage too. 2 Car attached
            garage. Fresh paint throughout, new carpet, new light fixtures & so much more! Close easy access to
            Downtown & UW!
        ",3,1.5,"1,708",,37
$300,Condo/Townhome/Row Home/Co-Op,2002,2002,"Popular Blair House Condo - Comfortable Downtown Living. Walking distance to everything
            including steps away from the Lake, Capital Square, Farmer's Market, Restaurants & Shops. One master
            bedroom suite w/full bath, double sinks, & walk-in closet - plus additional half bath for guests. Washer
            & Dryer in unit. Nine-foot ceilings, wood & tile flooring, Living Room, w/gas fireplace. Unit has a
            NEST thermostat & August system controlled by phone if desired. South-facing unit w/private sunny screen
            porch & patio. Inside heated parking space & storage unit. Also, additional plus is a community
            patio for grilling. LOW CONDO FEES that include many extras: Internet, Hot Water, Water & Sewer, Trash,
            Common area maintenance, insurance, snow removal & reserve funds.
        ",1,1.5,900,,38
$185,Single Family Home,1955,1955,"Great west side 3 bed ranch that backs to a park, with brand new granite counters,
            stainlesssteel appliances in tiled kitchen, newly stained 20x20 deck, and both a dinette and formal dining.
            Wood burning fireplace in living room, and seller says hardwoods are under main area carpet and in bedrooms.
            Corian counters inupstairs bath, washer/dryer included. Basement has rec room, a 3/4 bath, a sump with
            battery backup, and softener.
        ",3,2,"1,761",0.34,39
$170,Single Family Home,2004,2004,"Great New Price ! This custom 4-bdrm has all the space you are looking for with not less
            than 3 separate workspaces plus an exercise room. Get ready for winter: 2-sided fireplace on main level,
            radiant floor heat downstairs and a sauna. Top of the line appliances incl Wolf, Viking and SubZero.
            Terrific views from hilltop site Lengthy list of recent updates: Roof (2018) water heater for radiant floor
            heat (2020), porch re-screen, windows, washer/dryer. Pre-inspected, appraised for $590, 000 7/2020. Short
            term ownership due to non-Covid change in Seller's health. Preferred Close Date: November 16, 2020
        ",4,3.5,"3,413",0.31,40
$161,Condo/Townhome/Row Home/Co-Op,1989,1989,"SHOWINGS START FRIDAY OCTOBER 2ND AT 5PM. FHA and VA approved! Don't miss this recently
            updated - cute as can be - condo! This two bedroom one bath main level unit has new floors, newer stainless
            steel kitchen appliances and solid surface counters, new windows in the main bedroom, newer washer and dryer
            in unit and has been freshly painted through out! Sip your morning coffee on the balcony or relax with a
            good book by the fireplace in the large living room. Low condo fee! The association amenities include an
            outdoor pool/hot tub/sauna, a fitness center, tennis court, sand volleyball court, basketball courts,
            community room, and plenty of guest parking! Close to all the west side shopping and dining! Hop on a bus at
            the nearby stop and go downtown or catch a class at UW.
        ",2,1,987,,41
$170,Multi-Family Home,1904,1904,"OPPORTUNITY AWAITS! Become a homeowner AND landlord in the popular Vilas/Greenbush
            neighborhood! This easily rented 2 flat is conveniently located close to the zoo, campus and the hospitals!
            The rented upper unit features a functional space with private deck, private entry, a great view and a 1
            year lease! The lower level is just waiting for a new tenant or for YOU to move right in. You will love the
            spacious and bright open eat-in kitchen, screen porch on main level, and private entry. Check out this
            amazing home today!
        ",3,2,"1,705","3,049",42
$148,Single Family Home,1960,1960,"Newly finished hardwood floor s and an abundance of natural light make this 3 bedroom 2 bath
            east side ranch home a must see. Private backyard makes an amazing sanctuary for morning coffee or evening
            gatherings around a fire. You are walking distance to many shops and restaurants including Willy Street
            Co-op. On bus line and just a short ride to downtown. Two large cedar closets and lots of other storage.
            Home is being sold as is .
        ",3,2,"1,516","8,276",43
$119,Single Family Home,2006,2006,"This beautiful home, located in a great neighborhood, within walking distance to a park,
            Great Dane East, Metro Market, and coffee shops is an incredible ownership opportunity you will not want to
            miss! Upon entering, you will instantly be greeted by all the natural light filtering through the windows
            helping to create an inviting atmosphere you will love coming home to! Let your inner chef shine in the open
            concept kitchen and dining room, perfect for entertaining your guests. The finished basement offers you a
            spacious family room, full bathroom, and additional private rec room that could easily be used as a home
            office space. The second floor features all bedrooms including your spacious master with a walk-in closet
            and en-suite. Come see all the potential this home offers you, today!
        ",3,3.5,"2,554","5,227",44
$147,Condo/Townhome/Row Home/Co-Op,1949,1949,,2,1,852,,45
$310,Single Family Home,1918,1918,"Showings begin Wed 9/16. Offers presented Sun 9/20. This beautiful bungalow is filled with
            charm. Original woodwork and hardwood floors throughout. Gorgeous chef's kitchen with stainless steel
            appliances and an open flow to dining and living areas. Wave to your neighbors from your cozy front porch or
            enjoy the sunrise from your covered back porch and spacious new deck. Lovely landscaping and private, full
            backyard with shed. Easily add 1 car garage. 3 sunny bedrooms upstairs with a full bath plus an additional
            full bath on the main level. Updates include water heater and Aprilaire, washer/dryer, dishwasher, some new
            windows. New roof in 2015. Unbeatable location! Walking distance to neighborhood amentities, Atwood,
            Olbrich, Lake Monona, near bike path and close to downtown.
        ",3,2,"1,209","4,356",46
$130,Condo/Townhome/Row Home/Co-Op,2002,2002,"Stop renting and Start Building equity! Don't miss this sun-filled, spacious 3 bedroom, 2-
            1/2 bath End Unit condo in the Valley Ridge neighborhood. Your living room features 9' ceilings, wood
            flooring, a gas fireplace, and a large bay window to allow tons of natural light!. Open kitchen concept with
            stainless appliances, breakfast bar and large dinning space with a huge wall of windows! And, there is still
            plenty of space left for a kitchen island if you wanted! The main bedroom area features a walk in closet and
            full bath. Private garage with direct access from the lower level!
        ",3,2.5,"1,819",,47
$168,Single Family Home,2012,2012,"Showings start Sept 18th. Get ready to move into the popular Grandview Commons neighborhood
            - this home is walking distance to the Great Dane, Twisted Grounds coffee shop (with ice cream!), Metro
            Market and several parks including a dog park that just opened a few blocks away! Open floor plan with
            kitchen island, solid surface countertops and stainless steel appliances. Convenient first floor laundry.
            Owner's Suite has walk-in closet and private full bathroom. Walk out lower level has tall ceilings with a
            finished family room plus a bathroom rough-in for more potential.
        ",3,2.5,"1,788","5,227",48
$127,Condo/Townhome/Row Home/Co-Op,1999,1999,"Lovely end unit townhouse on quiet inside courtyard. Plenty of natural light on 3 levels.
            First floor open plan living with newer flooring, painted kitchen cabinetry and nice 3 sided gas fireplace -
            ideal for cooler winter nights. Sliding doors from dining to outdoor deck perfect for entertaining. 2 good
            size bedrooms on main level and a large loft area on third floor with private bathroom. Front porch
            overlooking large common green space. 2 car garage. Just a great place for carefree living. First showings
            Saturday 10 am, go show for the weekend.
        ",3,2.5,"1,446",,49
$197,Single Family Home,2020,2020,"Ready 11/09/20! Get the peace of mind that comes with award-winning, quality craftsmanship
            & energy efficiency that can only be found in a Veridian home. On average, a Focus On Energy & Green
            Built certified Veridian home is 70% more energy efficient than a typical used home! Even more, all Veridian
            homes come fully loaded with custom features & the best brands, like Auburn Ridge cabinetry & Kohler
            plumbing fixtures. To top it off, they even come with a comprehensive warranty backed by a full service
            team.
        ",3,2.5,"1,647","8,712",50
