house_location,price,rooms,bedrooms,baths,levels,basement,garage,suburb,school_dist,mls,house_type,firm,firm_phone,agent,agent_phone,house_description,construction,heating,cooling,fireplace,gas,water,sewer,lot_dimensions,condo_level,hoa_fee,semiannual_taxes,bath_1_dimension,bath_1_level,bath_2_dimension,bath_2_level,bedroom_2_dimension,bedroom_2_level,bedroom_3_dimension,bedroom_3_level,dining_dimension,dining_level,family_dimension,family_level,kitchen_dimension,kitchen_level,laundry_dimension,laundry_level,living_dimension,living_level,master_dimension,master_level,directions,breakfast_dimension,breakfast_level,bath_3_dimension,bath_3_level,study_dimension,study_level,bedroom_4_dimension,bedroom_4_level,bedroom_5_dimension,bedroom_5_level,bath_4_dimension,bath_4_level,recreation_room_dimension,recreation_room_level
3226 CRESCENT,"$139,900 ",10,4,Mar-00,2 Story,Crawl,None,-,ERL/ELSMERE,249063,Single Family,HUFF REALTY,(606) 525-7900,BUD HAFLEY,(606) 525-7900,"WWW.HUFF.COM * NEWER ADD IN 1992 * COULD BE 4 OR 5 BEDROOMS * FAMILY &
DEN HAVE NEWER WINDOWS * HIGH EFFIECENCY FURNACE * HUGE MASTER SUITE
ON 2ND FLR NOT A DRIVE BY * FANTASTIC HUGE HOME","Wood,Vinyl","Gas,Forced Air",Central Air,None,Natural,Public,Public,50 x 200,,0,$NA,FULL,1,FULL,2,11 X 11,2,11 X 11,2,15 X 15,1,16 X 15,1,17 X 9,1,10 X 5,,15 X 13,1,25 X 19,2,"DIXIE TO ERLANGER RD TO CRESCENT AVE ACROSS FROM
BOONE-KENTON LUMBER",,,FULL,2,15 X 11,,15 X 10,2,13 X 11,1,,,,
521 ERLANGER RD,"$129,900 ",8,3,Feb-00,1 Story,Full,None,-,ERL/ELS,250333,Single Family,HUFF REALTY,(606) 525-7900,KAREN M WEBER,(606) 525-7900,"WWW.HUFF.COM *SUPER FEATURES IN THIS ALL INCLUSIVE PACKAGE *CONVENIENT
WELL MAINTAINED HOME ON NEARLY HALF ACRE ACROSS FROM ELEM SCHOOL*HUGE
BATH W/DBL SHOWER*LG SCREENED PORCH*GREAT KITCHEN*ALL APPLIANCE
STAY*POOL TABLE*SHED",Vinyl,Gas,Central Air,Wood,Natural,Public,Public,138 x 140,,0,$NA,FULL,1,FULL,L,11 X 10,1,9 X 7,1,12 X 11,1,23 X 11,1,12 X 8,1,,,12 X 10,1,16 X 12,1,"I-75 EXIT COMMONWEALTH L ON BAKER L ON ERLANGER
RD CORNER ERLANGER & CONGRESS",,,,,13 X 7,1,,,,,,,,
13 GLENNA CT,"$64,900 ",4,2,Jan-00,1 Story,Full,None,-,ERL/ELS,249089,Single Family,HUFF REALTY,(606) 525-7900,LENA K CHRISTMAN,(606) 525-7900,"WWW.HUFF.COM * COMPLETELY REHABBED INCLUDING FURNACE,A/C,VINYL SIDING,
INSULATED WINDOWS,KITCHEN,CARPET,14' BLOWN-IN INSULATION * QUIET,
PEACEFUL SETTING * FULL BASEMENT *LIFETIME GUARANTEE WATERPROOF
BSMT*ALL APPLS STAY",Vinyl,"Gas,Forced Air",Central Air,None,Natural,Public,Public,50 x 67,,0,$NA,FULL,1,,,9 X 7,1,,,14 X 11,1,,,,,,,14 X 12,1,11 X 10,1,DIXIE HWY TO FOREST LEFT ON GLENNA,,,,,,,,,,,,,,
471 SADDLEBROOK,"$78,525 ",5,2,Feb-00,1 Story,None,None,FLORENCE,BOONE COUNT,249656,Condominium,HMS REAL ESTATE,(513) 469-2424,AL HENCHECK,(513) 469-2424,"TOWNE DEVELOPMENT GROUP,LTD.NEW CONSTRUCTION IN THE RESERVE AT
SADDLEBROOK.","Brick,Vinyl","Gas,Forced Air",Central Air,None,Natural,Public,Public,CONDO,2,94,$NOT ASD,FULL,1,FULL,1,11 X 11,1,,,12 X 9,1,,,9 X 8,1,6 X 5,1,22 X 14,1,16 X 11,1,"I-75;W.US 42;L.WEAVER RD;L.SADDLEBROOK;
STRAIGHT TO THE RESERVE AT SADDLEBROOK.",,,,,,,,,,,,,,
417 SWAN CIR,"$103,900 ",6,4,Jan-00,1.5 Story,Full,"1 Car (Builtin,Front)",-,ERL/ELS,247289,Single Family,HUFF REALTY,(606) 525-7900,TONYA EVANS,(606) 525-7900,"UPDATES THROUGHOUT * NEWER C/A*WINDOWS*FLOORING*WATER HEATER*HARDWOOD
FLRS LEVEL YARD W/WOOD PLAYSET TO STAY * GARAGE OPENER W/KEYPAD *
HUNTER CEILING FANS * COVERED LARGE PATIO * IMMACULATE! A MUST SEE!",Brick,"Gas,Forced Air",Central Air,Inoperable,Natural,Public,Public,55 x 135,,0,$NA,FULL,1,,,12 X 10,1,12 X 12,2,,,,,13 X 11,1,,,15 X 12,1,13 X 12,1,DIXIE HWY TO PARK AVE TO LEFT ON SWAN,,,,,,,12 X 10,2,,,,,,
644 FT.THOMAS AVE,"$160,000 ",9,5,1-Jan,1.5 Story,Full,1 Car (Builtin),644 S.FT.THOS.,FT.THOMAS,244496,Single Family,POGUE & ASSOCIATES,(606) 781-2201,PHYLLIS WEATHERS,(606) 781-2201,"ATTRACTIVE TUDOR NEAR TOWER PARK & ST. THOMAS. FOUR OR FIVE BEDROOMS.
SITTING ROOM OFF FIRST FLOOR MASTER BEDROOM VENTILATION FAN IN SECOND
FLOOR HALL NO A/C IN 2ND FLOOR NURSERY (OR BEDROOM)",Brick,"Gas,Hot Water",Central Air,Dummy,Natural,Public,Public,75x150,,0,"$99,999 ",FULL,1,PART,2,15 X 12,2,12 X 10,2,15 X 13,1,,,19 X 14,1,,,18 X 13,1,15 X 16,1,HIGHLAND AVE. TO RIGHT ON S.FT.THOMAS AVE,,,,,10 X 10,1,12 X 9,2,12 X 10,1,,,,
147 MANOR LANE,"$1,250,000 ",17,6,2-May,3 Story,Full,"6 Cars (Side,Rear,Oversized)",FT. THOMAS,FT. THOMAS,247567,Single Family,COLDWELL BANKER WEST SHELL,(606) 781-5000,DAVID S RAWLINGS,(606) 781-5000,"MAGNIFICENT RIVERVIEW-DYNAMIC TUDOR-GRAND STAIRCASE-6
FIREPLACES-NANNY'S QUARTERS-SALT WATER AQUARIUM-WALNUT
WAINSCOT-KIT/BKFT-GLASS ATRIUM-BEVELED GLASS ENTRY-COLUMNED
FOYER-SOLARIUM-VIRTUAL TOUR - CBWS.COM.",Brick,"Gas,Forced Air",Central Air,"Wood,Gas,Ceramic",Natural,Public,Public,OF REC,,0,$0 ,PART,1,FULL,2,14 X 17,2,14 X 17,2,16 X 20,1,12 X 27,1,14 X 32,1,16 X 22,L,17 X 31,1,16 X 21,2,S. FT. THOMAS AVE TO MANOR LANE.,15 X 33,1,FULL,2,14 X 18,1,14 X 15,2,10 X 14,2,FULL,2,27 X 28,L
57 CANON RIDGE,"$489,000 ",12,4,2-Mar,2 Story,Full,2 Cars (Attached),FT. THOMAS,FT. THOMAS,245151,Single Family,SIBCY-CLINE REALTORS INC,(606) 525-8888,BEVERLY A STALEY,(606) 525-8888,"EXQUISITE ENGLISH GEORGIAN, 2 STORY MARBLE FOYER, BUILT-INS THRU-OUT,
SEPARATE SUITE OVER GARAGE, FINISHED LOWER LEVEL, STAINED GLASS, MANY
UNIQUE FEATURES",Brick,"Gas,Forced Air",Central Air,"Gas,Marble",Natural,Public,Public,-,,0,$-,FULL,2,FULL,2,14 X 11,2,11 X 11,2,13 X 11,1,19 X 18,1,11 X 10,1,7 X 6,1,14 X 10,1,17 X 16,2,471 TO US27 EXT S ON 27 L ON CANON,12 X 10,1,FULL,2,19 X 17,L,20 X 15,2,,,PART,1,29 X 14,L
19 CLARA'S VIEW,"$399,900 ",10,4,1-Mar,2 Story,Full,3 Cars (Side),FT. THOMAS,FT. THOMAS,250035,Single Family,COLDWELL BANKER WEST SHELL,(606) 781-5000,MARY ANN SARAKATSANNIS,(606) 781-5000,"A SPACIOUS HOME OF EXCEPTIONAL VALUE! DETAILED CRAFTMANSHIP
THROUGHOUT. CUSTOM MOLDINGS, 9' CEILINGS, HARDWOOD FLOORS, SUPERIOR
WOOD TRIM AND FINISH EVERYWHERE. CONSTRUCTED BY ONE OF THE AREAS MOST
SUCCESSFUL BLDRS.","Brick,Wood","Gas,Forced Air",Central Air,Wood,Natural,Public,Public,105X145,,0,$0 ,PART,1,FULL,2,16 X 12,2,16 X 12,2,15 X 13,1,18 X 17,1,16 X 12,1,11 X 6,1,15 X 15,1,19 X 16,2,"471 TO EXIT 3, S.GRAND AVE, R.SUMMIT,R.
HOLIDAY,L.HANOVER, R. CLARA'S VIEW.",11 X 10,1,FULL,2,12 X 12,1,12 X 12,2,,,FULL,2,,
16 GREENE,"$299,800 ",10,5,1-Feb,1.5 Story,Full,2 Cars None,FT. THOMAS,FT. THOMAS,249717,Single Family,RE/MAX AFFILIATES INC,(606) 341-0500,JANE ASHCRAFT-WEST,(606) 341-0500,"TOTALLY RESTORED VICTORIAN W/MODERNIZED KITCHEN & BATHS. 9-10 FT
CEILINGS THRUOUT-INCREDIBLE ARCHITECTURE-CHARM & CHARACTER GALORE-BEST
OF OLD & NEW COMBINED-MUST SEE-ABSOLUTE SHOWPLACE-CALL FOR DETAILS &
LIST OF AMENITIES",Brick,"Gas,Forced Air",Central Air,"Inoperable,Marble",Natural,Public,Public,IRREG,,132,$0 ,FULL,2,FULL,2,16 X 12,2,14 X 13,2,17 X 14,1,15 X 14,2,15 X 13,1,,,16 X 13,1,15 X 15,2,"I-471 TO GRAND AVE TO S FT THOMAS TO L AT
TOWER PARK(DOUGLAS) TO R COCHRAN TO R",,,PART,1,18 X 11,3,16 X 13,3,,,,,,
16 GREENE,"$299,800 ",10,5,1-Feb,2 Story,Full,2 Cars None,FT. THOMAS,FT. THOMAS,249716,Condominium,RE/MAX AFFILIATES INC,(606) 341-0500,JANE ASHCRAFT-WEST,(606) 341-0500,"TOTALLY RESTORED VICTORIAN W/MODERNIZED KITCHEN & BATHS. 9-10 FT
CEILINGS THRUOUT-INCREDIBLE ARCHITECTURE-CHARM & CHARACTER GALORE-BEST
OF OLD & NEW COMBINED-MUST SEE-ABSOLUTE SHOWPLACE-CALL FOR DETAILS &
LIST OF AMENITIES",Brick,"Gas,Forced Air",Central Air,"Inoperable,Marble",Natural,Public,Public,IRREG,,132,$0 ,FULL,2,FULL,2,16 X 12,2,14 X 13,2,17 X 14,1,15 X 14,2,15 X 13,1,,,16 X 13,1,15 X 15,2,"I471 TO GRAND AVE TO S FT THOMAS TO L AT TOWER
PARK(DOUGLAS) TO R COCHRAN TO R",,,PART,1,18 X 11,3,16 X 13,3,,,,,,
21 CAROLINA,"$267,000 ",10,4,2-Feb,3 Story,Full,None,FT. THOMAS,FT. THOMAS,247474,Single Family,COLDWELL BANKER WEST SHELL,(606) 781-5000,MEGAN E HOSEA ABNER,(606) 781-5000,"HOME OF DISTINCTION NESTLED IN RES. NEIGHBORHOOD. GRAND ENTRY,
BEAUTIFUL HDWD, POCKET DOOR, GRACIOUS DR, FAM RM W/SOARING CATH CLGS,
KING SIZE MSTR W/3 CLOSETS & BALCONY, COZY BKFST RM, HUGE DECK FOR
PARTIES. ROOF,5YRS.",Wood,Hot Water,Window Unit,Wood,Natural,Public,Public,IRREG,,0,$0 ,FULL,2,FULL,2,22 X 10,2,15 X 13,2,21 X 15,1,39 X 19,1,23 X 12,1,,,25 X 16,1,30 X 15,2,"S. FT. THOMAS AVE TO LINDEN, L. CAROLINA OR
GRAND TO TREMONT, L. ON CAROLINA",10 X 10,1,PART,1,,,13 X 12,2,,,PART,1,,
67 COVERT PLACE,"$249,900 ",8,4,Mar-00,Tri-Level,Part,"2 Cars (Builtin,Side,Heated)",COVERT IV,FT. THOMAS,248901,Single Family,RE/MAX AFFILIATES INC,(606) 341-0500,JAN MONTMENY,(606) 341-0500,"IMMPRESSIVE CONTEMPORARY FEATURES 3 LEV OF LUXURY-4 BEDROOMS PLUS 3
BATHS GOURMET KITCHEN-PRIVATE TENNIS & SWIM CLUB MEMBERSHIP AVAILABLE
WITH THIS PROPERTY","Brick,Wood",Electric,Central Air,"Wood,Brick",None,Public,Public,irreg,,500,$0 ,FULL,2,FULL,2,13 X 11,2,13 X 11,2,13 X 11,1,26 X 14,L,18 X 13,1,12 X 8,B,20 X 13,1,16 X 15,2,"N FT. THOMAS AVE L COVERT RUN R COVERT PL L
OVER BRIDGE-FOLLOW COVERT PL L NEAR END",,,FULL,L,,,12 X 11,L,,,,,,
373 RIVER ROAD,"$169,900 ",8,3,1-Feb,1 Story,Full,"2 Cars (Builtin,Front,Oversized)",FORT THOMAS,FT. THOMAS,246258,Single Family,DOUGLAS CULL & COMPANY INC.,(606) 441-3070,DOUGLAS A CULL,(606) 441-3070,,"Brick,Vinyl","Forced Air,Heat Pump",Central Air,None,None,Public,Public,75X190IRR,,0,"$999,999 ",FULL,1,PART,1,10 X 11,L,10 X 13,L,11 X 10,1,21 X 14,1,9 X 12,1,6 X 8,1,,,15 X 12,1,"I-471 TO EX#2;SO. ON US27;L ON GRANDVIEW (445);
L. ON S.FT.THOMAS;R ON RIVER RD445",,,FULL,L,,,,,,,,,,
503 SADDLEBROOK,"$77,625 ",5,2,Feb-00,1 Story,None,None,FLORENCE,BOONE COUNT,249663,Condominium,HMS REAL ESTATE,(513) 469-2424,AL HENCHECK,(513) 469-2424,"TOWNE DEVELOPMENT GROUP,LTD.NEW CONSTRUCTION IN THE RESERVE AT
SADDLEBROOK.","Brick,Vinyl","Gas,Forced Air",Central Air,None,Natural,Public,Public,CONDO,3,94,$NOT ASD,FULL,1,FULL,1,11 X 11,1,,,12 X 9,1,,,9 X 8,1,6 X 5,1,22 X 14,1,16 X 11,1,"I-75;W.US 42;L.WEAVER RD;L.SADDLEBROOK;
STRAIGHT TO THE RESERVE AT SADDLEBROOK.",,,,,,,,,,,,,,
563 ROSSFORD,"$123,500 ",8,3,1-Jan,Bi-Level,Part,1 Car (Builtin),FT. THOMAS,FT. THOMAS,247519,Single Family,TEEGARDEN REALTY & AUCTION,(606) 635-1760,MOSE BARRETT,(606) 635-1760,,Brick,Gas,Central Air,Wood,Natural,Public,Public,98 X 130,,0,$0 ,FULL,1,PART,L,9 X 13,1,9 X 10,1,,,12 X 29,1,10 X 17,1,9 X 12,L,15 X 15,1,10 X 12,1,"MEMORIAL PKY TO LEFT ON CLOVER RIDGE LEFT ON
CAPRI TO ROSSFORD",,,,,16 X 12,L,,,,,,,,
61 EDWARDS,"$116,900 ",7,3,Jan-00,1 Story,Full,"1 Car (Builtin,Front)",FT. THOMAS,FT. THOMAS,250160,Single Family,RE/MAX RESULTS,(606) 824-9800,D KEN PERRY,(606) 824-9800,"CLOSE TO SCHOOLS! AMENITIES INCLUDE FINISHED LL, EAT- IN KITCHEN,
HARDWOOD FLOORS, PRIVATE BACKYARD, 8X10 SHED, NEW ROOF '95, TILE BATH,
NICE LANDSCAPING + MORE. FIREPLACE IN BASEMENT NEGOTIABLE. DIRECT TV
DISH STAYS.",Brick,"Gas,Forced Air",Central Air,Elec,Natural,Public,Public,46x168,,0,$0 ,FULL,1,,,11 X 9,1,11 X 9,1,,,22 X 13,L,16 X 8,1,,,17 X 13,1,12 X 11,1,"I-475 EXIT GRAND AVE S, L HIGHLAND AVE. L
EDWARDS",,,,,12 X 9,L,,,,,,,,
51 ARLINGTON PLAC,"$109,000 ",7,4,Feb-00,1.5 Story,Full,None,FT. THOMAS,FT. THOMAS,250228,Single Family,COLDWELL BANKER WEST SHELL,(606) 781-5000,WILLIAM WHITE,(606) 781-5000,"ALL FURNITURE INCLUDED. LEVEL LOT, PRIVATE 12X22 ENCLOSED PATIO. NEWER
FURNACE & ROOF. MOVE IN CONDITION, NEWER WW CARPET, FAM RM. W/BAR.
EXTRA BEDROOM IN BSMT. CUL DE SAC ST. FENCED YARD, REPLACEMENT
WINDOWS.","Brick,Alum","Gas,Forced Air",Central Air,None,Natural,Public,Public,50X125,,0,$0 ,FULL,1,FULL,L,11 X 16,2,17 X 16,2,10 X 12,1,25 X 10,L,10 X 12,1,10 X 12,L,17 X 12,1,11 X 12,1,US 27 ALEXANDRIA PK TO ARLINGTON PLACE.,,,,,,,,,,,,,,
55 LUMLEY,"$106,900 ",5,2,Jan-00,1.5 Story,Full,None,FT THOMAS,FT THOMAS I,248868,Single Family,DOUGLAS CULL & COMPANY INC.,(606) 441-3070,DAVID S NEWMAN,(606) 441-3070,"THIS 2BDRM BRICK W/LARGE CLOSETS IS LOCATED IN THE CENTER OF FT THOS
ON A DEEP SEMI-WOODED LOT. THIS LOVELY HOME HAS NEWER KITCHEN CABINETS
AND A WOOD BURNING FIRE PLACE WITH IMMEDIATE OCCUPANCY. STOP BY &
CHECK IT OUT!","Brick,Wood","Gas,Forced Air",Window Unit,Wood,Natural,Public,Public,50 x 237,,0,$UNKNOWN,FULL,2,,,12 X 11,2,,,14 X 13,1,,,13 X 10,1,,,25 X 11,1,12 X 12,2,"N FT THOMAS TO MILLER AVE TO L ON SHAW TO L ON
LUMLEY AVE",,,,,,,,,,,,,,
110 STANBERY RIDGE,"$1,250,000 ",14,5,1-May,3 Story,Full,"2 Cars (Attached,Front,Oversized)",FT THOMAS,FT THOMAS,248257,Single Family,COLDWELL BANKER WEST SHELL,(606) 341-9000,BARB MASSMAN,(606) 341-9000,"9+ ACRES OVERLOOKING RIVER & AIRPORT, 5 BEDROOMS, 5 BATHS, BUILT TO
ENTER- TAIN AND RAISE FAMILY, NEW KITCHEN, WRAP AROUND DECK TO ENJOY
RIVER VIEW & WATCH DEER & WILD BIRDS, SPACIOUS ROOMS, CALL FOR A LIST
OF AMENITIES",Brick,"Electric,Forced Air",Central Air,Wood,None,Public,Private,IRREGULAR,,0,$0 ,PART,1,FULL,2,14 X 17,3,14 X 17,2,16 X 20,1,12 X 27,1,14 X 32,1,16 X 22,L,17 X 31,1,16 X 21,2,"NORTH ON FT THOMAS PAST COVERT RUN-RIGHT ON
STANBERY RIDGE",15 X 33,1,FULL,2,14 X 18,1,14 X 15,2,10 X 14,2,FULL,2,27 X 28,L
169 TOWER PL,"$480,000 ",10,3,1-Mar,1.5 Story,Full,"2 Cars (Builtin,Side)",FT THOMAS,FT THOMAS,247041,Single Family,SIBCY-CLINE REALTORS INC,(606) 781-4400,LUCIE PURCELL,(606) 781-4400,"INTERIOR PHOTOS WWW.SIBCYCLINE.COM*BEAUTIFUL TRANSITIONAL HOME WITH
PRIVATE LOT OVERLOOKING WATER. NUMEROUS UPGRADES! GOURMET KIT, MSTR
SUITE WITH GAS FP, SUNKEN FAMILY RM. 2 ADDTL LOTS CAN BE SOLD WITH
PROPERTY FOR 65000 EACH",Brick,"Gas,Forced Air",Central Air,"Wood,Gas,Stove",Natural,Public,Public,irreg,,0,$0 ,FULL,1,FULL,1,18 X 15,1,18 X 15,2,17 X 15,1,19 X 19,1,21 X 22,1,15 X 12,1,25 X 15,1,25 X 15,1,FT THOMAS AVE TO TOWER PL ACROSS FROM TOWER PARK,12 X 9,1,FULL,2,11 X 12,1,,,,,PART,1,,
