code,title,schedule_line,section_code,credits,days,start_time,end_time,building,room,instructor,restrictions
SISEA 559,JAPAN SEMINAR,6783,A,5,W,930,1120,SMI,109,"ANCHORDOGUY,M",EC THO 111
SISEA 582,JAPAN BUSINESS/TECH,6784,A,5,MW,230,420,BLM,203,"ANCHORDOGUY,M","OFFERED JOINTLY WITH I BUS 490 B 
 GRADS ONLY"
AES 499,IND STDY & RESEARCH,1153,A,3-5,,,,,,,INSTRUCTOR I.D. FROM INSTR
SISEA 600,INDEPNDNT STDY/RSCH,6786,A,1-10,,,,,,,INSTRUCTOR I.D. THO 111
SISEA 700,MASTERS THESIS,6787,A,1-10,,,,,,,INSTRUCTOR I.D. THO 111
SISJE 469,EMANCIPATN/ANTISEM,6788,A,5,MTTh,130,250,THO,134,"STEIN,S","OFFERED JOINTLY WITH HSTEU 469 A 
 NO HIST MAJORS (PD.1)"
SISJE 490,SPECIAL TOPICS,,,,,,,,,,
SISJE 499,UNDERGRAD RESEARCH,6792,A,1-5,,,,,,,INSTRUCTOR I.D. THO 111
SISLA 470,SISLA INTERNSHIP,6793,A,1-5,,,,,,,CREDIT/NO CREDIT ONLY
SISLA 492,LATAM STUDIES SEM,6794,A,5,TTh,130,320,THO,215,"PETERSON,G","OFFERED JOINTLY WITH HIST 498 D 
 MEETS WRITING COURSE REQUIREMENT 
 SISLA MAJORS ONLY 
 TOPICS IN U.S. LATINO HISTORY 
 EC THO 436"
SISLA 499,UNDERGRAD RESEARCH,6795,A,1-5,,,,,,,INSTRUCTOR I.D. THO 111
SISME 490,SPECIAL TOPICS,,,,,,,,,,
SISME 590,SPECIAL TOPICS,6797,A,5,W,330,620,SMI,109,"KASABA,R","OFFERED JOINTLY WITH HIST 562 A 
 HISTORY OF OTTOMAN EMPIRE 
 AND MODERN TURKEY"
AAS 206,CONTEMP PROB AS AM,,,,,,,,,,
SISME 600,INDEPENDENT STUDY,6798,A,1-10,,,,,,,INSTRUCTOR I.D. THO 111
SISME 700,MASTERS THESIS,6799,A,1-10,,,,,,,INSTRUCTOR I.D. THO 111
SISRE 220,INTR E EUR STUDIES,6800,A,5,MTWThF,930,1020,THO,125,"FELAK,J","OFFERED JOINTLY WITH HSTEU 220 A 
 OPT'L LINK RESEARCH COURSE: 
 SEE IMT 220"
SISRE 225,SILK ROAD,6801,A,5,MWF,130,250,SAV,249,"WAUGH,D",OFFERED JOINTLY WITH HIST 225 A
SISRE 347,BALT STATES & SCAND,6802,A,5,MWTh,130,250,LOW,117,"SMIDCHENS,G",OFFERED JOINTLY WITH SCAND 344 A
SISRE 418,E EUR:POL EC REGN,6803,A,5,MW,1130,120,SMI,304,"POZNANSKI,K",
SISRE 424,SECURITY AFFAIRS,6804,A,5,TTh,1130,120,THO,119,"JONES,C",
SISRE 448,TWENTIETH-CENT RUSS,7968,A,5,MWF,130,250,CMU,326,"YOUNG,G","OFFERED JOINTLY WITH HSTEU 445 A 
 MEETS WRITING COURSE REQUIREMENT 
 SISRE MAJORS ONLY (PD.1) 
 OPT'L LINK RESEARCH COURSE: 
 SEE IMT 220"
SISRE 457,SENIOR COLLOQUIUM,6806,A,5,,,,,,,"MEETS WRITING COURSE REQUIREMENT 
 SENIORS ONLY 
 SISRE MAJORS ONLY 
 EC THO 111"
SISRE 490,SPECIAL TOPICS,6807,B,5,TTh,230,420,SMI,305,"ENGELMANN,K","OFFERED JOINTLY WITH GEOG 495 C 
 MEETS WRITING COURSE REQUIREMENT 
 RESOURCE COLONIES"
AAS 220,ASIAN-AM STEREOTYPE,8339,A,5,,,,,,,
SISRE 499,UNDERGRAD RESEARCH,6808,A,1-5,,,,,,,INSTRUCTOR I.D. THO 111
SISRE 600,INDEPNDNT STDY/RSCH,6810,A,1-10,,,,,,,INSTRUCTOR I.D. THO 111
SISRE 700,MASTERS THESIS,6811,A,1-10,,,,,,,INSTRUCTOR I.D. THO 111
SISSA 417,POL ECON OF INDIA,8260,A,5,MW,1130,120,DEN,205,"VAN DYKE,V",OFFERED JOINTLY WITH POL S 417 A
SISSA 490,SPECIAL TOPICS,,,,,,,,,,
SISSA 499,UNDERGRAD RESEARCH,6813,A,1-5,,,,,,,INSTRUCTOR I.D. THO 111
SISSA 600,INDEPNDNT STDY/RSCH,6814,A,1-10,,,,,,,INSTRUCTOR I.D. THO 111
SISSA 700,MASTERS THESIS,6815,A,1-10,,,,,,,INSTRUCTOR I.D. THO 111
SISSE 221,HISTORY OF SE ASIA,8347,U,5,MW,430,650P,THO,135,"BUSH,D","OFFERED JOINTLY WITH HSTAS 221 U 
 MEETS WRITING COURSE REQUIREMENT"
SISSE 343,POL & CHANGE-SEASIA,6817,A,5,MW,130,320,CMU,226,"CALLAHAN,M","OFFERED JOINTLY WITH POL S 343 A 
 NO POL S MAJORS (PD.1)"
ARCH 370,COMPUTERS IN ARCH,1280,A,3,TTh,1030,1220,GLD,236,"GROSS,M","NO FRESHMEN,SOPHMRS (PD.1) 
 CAUP,ARCH MAJORS ONLY (PD.1&2) 
 NO FRESHMEN (PD.2&3)"
AAS 350,CHIN-AMER HIST CULT,1085,A,5,,,,,,,
SISSE 445,SE ASIA LIT & SOC,8243,B,5,MW,130,350,RAI,107,"KEYES,C","OFFERED JOINTLY WITH ANTH 445 B 
 MEETS WRITING COURSE REQUIREMENT 
 JUNIORS,SENIORS,GRADS ONLY 
 SISSE,SISA MAJORS ONLY 
 OTHERS SEE INSTRUCTOR"
SISSE 499,UNDERGRAD RESEARCH,6819,A,1-5,,,,,,,INSTRUCTOR I.D. THO 111
FRLING 402,FRENCH PHONOLOGY,3637,A,5,MW,130,320,SAV,316,KLAUSENBURGE,
FRLING 406,ADV FRENCH GRAMMAR,3638,A,5,TTh,1230,220,LOW,118,HERSCHENSOHN,
LING 100,FUND OF GRAMMAR,,,,,,,,,,
LING 200,INTRO LING THOUGHT,,,,,,,,,,
LING 400,SUR LING MTHD & THY,4482,A,4,MTWTh,930,1020,MEB,235,"BATTLE,R",
LING 452,PHONOLOGY II,4483,A,4,TTh,1030,1220,CMU,326,"HARGUS,S",
LING 453,PHONOLOGY III,8266,B,4,MW,830,1020,EE1,026,"WRIGHT,R","MEETS WRITING COURSE REQUIREMENT 
 LABORATORY PHONOLOGY"
LING 455,AREAL LINGUISTICS,4485,A,3,MW,1230,145,PAR,112,"HARGUS,S","OFFERED JOINTLY WITH ANTH 455 A 
 NATIVE LANGUAGES OF NORTH AMERICA 
 OTIONAL WRITING CREDIT"
AAS 360,FIL-AM HIST & CLTR,1086,A,5,TTh,330,550,DEN,216,"CORDOVA,D",
LING 458,LANGUAGE & GENDER,8517,YA,5,MW,430,620P,DEN,217,"BILANIUK,L","OFFERED JOINTLY WITH ANTH 450 YA 
 NO FRESHMEN 
 EVE DEG STUDENTS ONLY (PD.1)"
LING 472,INTR TO COMPUT LING,7969,AA,3,,,,,,,OFFERED JOINTLY WITH CSE 472 AA
LING 476,PHIL OF LANGUAGE,4487,A,5,TTh,1130,120,RAI,121,"COHEN,S","OFFERED JOINTLY WITH PHIL 453 A 
 NO FRESHMEN 
 ADD CODE REQUIRED (PD.3) 
 OPTIONAL ""W"" COURSE"
LING 480,TOPICS IN LING,4488,A,3,W,230,450,THO,331,"BRAME,M",ALGEBRAIC SYNTAX
LING 499,UNDERGRAD RESEARCH,4489,A,1-5,,,,,,,CREDIT/NO CREDIT ONLY
LING 509,SYNTACTIC THRY III,4490,U,4,TTh,630,820P,THO,215,"LYLE,J",
LING 514,SMNR COMPAR LING,4491,A,3,M,230,450,THO,331,"KAISSE,E",THEORIES OF PHONOLOGICAL CHANGE
LING 531,PROBS ROMANCE LING,,,,,,,,,,
LING 580,PROBS IN LINGUISTCS,,,,,,,,,,
LING 599,LING COLLOQUIUM,4500,A,1,F,130,450,THO,134,"NEWMEYER,F",CREDIT/NO CREDIT ONLY
AAS 372,INTRNMT CMPS N AMER,1087,A,5,,,,,,,
LING 600,INDEPNDNT STDY/RSCH,4501,A,1-10,,,,,,,CREDIT/NO CREDIT ONLY
LING 700,MASTERS THESIS,4502,A,1-10,,,,,,,CREDIT/NO CREDIT ONLY
LING 800,DOCTORAL DISSERTATN,4503,A,1-10,,,,,,,CREDIT/NO CREDIT ONLY
ROLING 490,SENIOR ESSAY,6689,A,2,,,,,,,
ROLING 531,PROBS ROMANCE LING,,,,,,,,,,
SPLING 401,SPANISH MORPHOLOGY,7269,A,5,TTh,1230,220,SMI,407,"STROZER,J","OFFERED JOINTLY WITH SPAN 401 A 
 LING,ROLING,ROM LI,ROMAN,SPAN 
 MAJORS ONLY (PD.1&2) 
 ADD CODE REQUIRED (PD.3)"
SPLING 406,ADV SPAN GRAMMAR,7270,A,5,MTWThF,830,920,LOW,115,"STEVENS,A","OFFERED JOINTLY WITH SPAN 406 A 
 SPAN,LING,ROMAN MAJORS ONLY (PD.1) 
 ADD CODE REQUIRED (PD.3)"
MATH 098,INTER ALGEBRA,4656,A,0,MTWThF,1130,1220,DEN,304,"SWISSHELM,J","ADDT'L FEE OF $263.00 REQ'D; SEE 
 ADVISOR FOR REGIS & TUITION INFO"
MATH 100,ALGEBRA,4657,A,5,MTWThF,830,920,CHL,019,,
MATH 102,ALGEBRA,4658,A,5,MTWThF,930,1020,JHN,123,VAN OPSTALL,
AAS 380,ASIAN-AM COMMUNITY,1088,A,5,,,,,,,
MATH 103,INTRO ELEM FUNCTION,,,,,,,,,,
MATH 112,BUSINESS &ECON CALC,,,,,,,,,,
MATH 120,PRECALCULUS,,,,,,,,,,
MATH 124,CALC ANALYT GEOM I,,,,,,,,,,
MATH 125,CALC ANALYT GEOM II,,,,,,,,,,
MATH 126,CALC ANYL GEOM III,,,,,,,,,,
MATH 129,CALC FOR MATH SCI,,,,,,,,,,
MATH 136,ACCEL HONORS CALC,4706,A,5,MTWThF,1030,1120,MUE,155,"MCGOVERN,W",
MATH 145,BIOLOGICAL CALCULUS,,,,,,,,,,
MATH 146,BIOLOGICAL CALCULUS,,,,,,,,,,
AAS 392,ASIAN-AMER WOMEN,1089,A,5,,,,,,,OFFERED JOINTLY WITH WOMEN 392 A
MATH 171,MATH ELEM SCH TEACH,4709,A,3,TTh,130,250,EEB,218,"WARFIELD,V",CREDIT/NO CREDIT ONLY
MATH 187,MATH COMPUTER LAB,,,,,,,,,,
MATH 197,PROBLEM SOLVING,,,,,,,,,,
MATH 198,SPECIAL TOPICS,4715,A,1-5,,,,,,,CREDIT/NO CREDIT ONLY
MATH 307,INTRO TO DIFF EQ,,,,,,,,,,
MATH 308,MATRIX ALGEBRA,,,,,,,,,,
MATH 309,LINEAR ANALYSIS,,,,,,,,,,
MATH 318,LINEAR ALGEBRA,4733,A,3,MWF,930,1020,BLM,417,"CURTIS,E","FRESHMEN,SOPHMRS,JUNIORS,SENIORS 
 ONLY"
MATH 324,ADV MULTIVAR CALC 1,,,,,,,,,,
MATH 326,ADV MULTIVAR CALC 2,8036,B,3,MWF,930,1020,GUG,410,"SULLIVAN,J","FRESHMEN,SOPHMRS,JUNIORS,SENIORS 
 ONLY 
 OTHERS, PLEASE CONTACT MATH 
 ADVISING, PDL C-36, 543-6830"
AAS 499,UNDERGRAD IND STDY,,,,,,,,,,
MATH 327,INTRO REAL ANLYS I,4740,A,3,MWF,130,220,SMI,115,"MITCHELL,S","FRESHMEN,SOPHMRS,JUNIORS,SENIORS 
 ONLY 
 OTHERS, PLEASE CONTACT MATH 
 ADVISING, PDL C-36, 543-6830"
MATH 328,INTRO REAL ANLYS II,4741,A,3,MWF,130,220,MUE,155,"WARNER,G","FRESHMEN,SOPHMRS,JUNIORS,SENIORS 
 ONLY 
 OTHERS, PLEASE CONTACT MATH 
 ADVISING, PDL C-36, 543-6830"
MATH 336,H-ACCEL ADVAN CALC,4742,A,5,MTWThF,1030,1120,CHL,101,"MORROW,J",
MATH 387,MATH COMPUTER LAB,,,,,,,,,,
MATH 390,PROB STAT ENG SCI,,,,,,,,,,
MATH 395,PROBABILITY II,4748,A,3,MWF,830,920,LOW,105,"SHORACK,G",OFFERED JOINTLY WITH STAT 395 A
MATH 396,PROBABILITY III,4749,A,3,MWF,1030,1120,SMI,309,"BURDZY,K",OFFERED JOINTLY WITH STAT 396 A
MATH 398,SPECIAL TOPICS,4750,A,1-5,,,,,,,CREDIT/NO CREDIT ONLY
MATH 404,INTRO MDRN ALGEBRA,4751,A,3,MWF,930,1020,DEN,211,"PALMIERI,J",
MATH 409,DISCRETE OPTIMIZATN,4752,A,3,MWF,1030,1120,DEN,314,"TSENG,P",
CHSTU 201,INTRO CHICANO STDY,2214,A,5,,,,,,,
MATH 414,NUMBER THEORY,8040,A,3,MWF,1030,1120,MEB,234,"SULLIVAN,J",
MATH 426,FUND CONCEPTS ANLYS,4754,A,3,MWF,1130,1220,MOR,225,"DEVINATZ,E",
MATH 436,DYNAMICAL SYSTEMS,4756,A,3,MWF,1130,1220,LOW,101,"SOLOMYAK,B",
MATH 443,TOPICS IN GEOMETRY,4757,A,3,MWF,130,220,PDL,C401,"POLLACK,D",
MATH 466,NUMERICAL ANLYS III,4758,A,4,MWThF,930,1020,CHL,025,"RAGOZIN,D",
MATH 496,HONORS SR THESIS,4759,A,2-5,,,,,,,"HR 
 MEETS WRITING COURSE REQUIREMENT"
MATH 497,SPC TPCS MATH TCHRS,4760,U,3,Th,430,650P,MLR,316,"WARFIELD,V",OFFERED JOINTLY WITH EDC&I 478 U
MATH 498,SPEC TOPICS IN MATH,4761,A,1-5,,,,,,,INSTRUCTOR I.D. PDL C036
MATH 503,TEACHING & LEARNING,4762,A,2,,,,,,,
MATH 506,MODERN ALGEBRA,4763,A,5,MWF,930,1020,PDL,C036,"OSBORNE,M",
CHSTU 330,CHICANOS THEMSELVES,2215,A,5,,,,,,,
MATH 510,SEMINAR IN ALGEBRA,4764,A,2-5,,,,,,,CREDIT/NO CREDIT ONLY
MATH 513,SPEC TOPCS IN ALG,4765,A,3,MWF,1230,120,PDL,C036,"OSBORNE,M",
MATH 516,NUMERICAL OPTIMIZTN,4766,A,3,TTh,900,1020P,PDL,C401,"TSENG,P",OFFERED JOINTLY WITH AMATH 516 A
MATH 517,OPTIMIZTN UNCERTNTY,4767,A,3,MWF,1230,120,GUG,306,"KORF,L",OFFERED JOINTLY WITH AMATH 517 A
MATH 523,ADV PROBABILITY,4768,A,3,MWF,1130,1220,PDL,C401,"CHEN,Z",OFFERED JOINTLY WITH STAT 523 A
MATH 526,REAL VARIABLE,4769,A,5,MWF,1130,1220,PDL,C036,"ERICKSON,K",
MATH 529,FUNCTIONAL ANALYSIS,8130,A,3,MWF,130,220,LOW,113,"RAGOZIN,D",
MATH 530,SEMINAR IN ANALYSIS,,,,,,,,,,
MATH 533,SPCL TOPICS ANLYS,4774,A,3,,,,,,,
MATH 536,COMPLEX VARIABLE,4775,A,5,MWF,1030,1120,PDL,C036,"ROHDE,S",
CHSTU 352,MEXICAN IMMIGRATION,2216,A,5,,,,,,,
MATH 546,TOP/GEOM MANIFOLDS,4776,A,5,MWF,130,220,PDL,C036,"LEE,J",
MATH 550,SEMINAR IN GEOM,,,,,,,,,,
MATH 553,SPEC TOPICS IN GEOM,8543,B,3,MWF,130,220,MEB,248,"CONNELLY,R",
MATH 556,LINEAR ANALYSIS,4781,A,5,MWF,230,320,PDL,C036,"GREENBAUM,A",
MATH 570,SEMINAR IN TOPOLOGY,4782,A,2-5,,,,,,,"CREDIT/NO CREDIT ONLY 
 TOPOLOGY"
MATH 573,SPEC TOPCS IN TOP,,,,,,,,,,
MATH 590,SMNR PROBABILITY,4785,A,2-5,,,,,,,"CREDIT/NO CREDIT ONLY 
 PROBABILITY"
MATH 596,SPEC TPCS NUM ANLYS,4787,A,3,MW,330,450,GUG,410,"LEVEQUE,R",OFFERED JOINTLY WITH AMATH 596 A
MATH 597,SEMINAR ON TEACHING,4788,A,1,,,,,,,SMNR ON TEACHING MATH
MATH 600,INDEPNDNT STDY/RSCH,,,,,,,,,,
CHSTU 391,INDEP STUDY,,,,,,,,,,
MATH 700,MASTERS THESIS,4792,A,1-10,,,,,,,INSTRUCTOR I.D. PDL C036
MATH 800,DOCTORAL DISSERTATN,4793,A,1-10,,,,,,,INSTRUCTOR I.D. PDL C036
MUSIC 113,PRE-CORE EAR TRAIN,5253,A,1,TTh,1230,120,MUS,223,,EARTRAINING
MUSIC 116,ELEM MUSIC THEORY,,,,,,,,,,
MUSIC 117,ELEM MUSIC THEORY,5256,A,2,TTh,130,220,MUS,213,"SAKS,T",
MUSIC 120,SURVEY OF MUSIC,,,,,,,,,,
MUSIC 139,CLASS INSTR-VOICE,,,,,,,,,,
MUSIC 162,AMER POP SONG,5267,A,5,MTWThF,930,1020,KNE,130,"COLLIER,T",
MUSIC 185,THE CONCERT SEASON,5268,A,2,T,330,420,KNE,130,"SAKS,T",ADD CODE REQUIRED (PD.3)
MUSIC 191,COMPOSITION,5269,AA,3,F,1230,120,MUS,126,,"OFFERED JOINTLY WITH MUSIC 291 AA 
 MUST BE ENROLLED IN 
 MUSIC 191 (PD.1&2)"
ARCH 402,ARCH DESIGN VI,1281,A,6,,,,,,,"MWF 130-520 * * PYATOK,M
 CAUP MAJORS ONLY"
CHSTU 491,SPCL TOPICS CH STU,2219,A,5,,,,,,,CHICANOS IN THE U.S. MILITARY
