principal_interest,property_tax_section,home_insurance,hoa,property_id
$352 ,$129 ,,$0 ,119
"$1,443 ",$640 ,,$0 ,120
"$1,042 ",$497 ,,$0 ,121
"$1,457 ",$656 ,,$0 ,122
$976 ,$445 ,,$0 ,123
$664 ,$329 ,,$0 ,124
$924 ,$438 ,,$0 ,125
$795 ,$294 ,,$0 ,126
$555 ,$218 ,,$0 ,127
$592 ,$275 ,,$0 ,128
$662 ,$377 ,,$0 ,129
$712 ,$260 ,,$0 ,130
"$1,093 ",$348 ,,$0 ,131
$530 ,$151 ,,$0 ,132
$729 ,$295 ,,$0 ,133
$993 ,$396 ,,$0 ,134
$993 ,$396 ,,$0 ,135
$993 ,$396 ,,$0 ,136
"$4,745 ","$1,446 ",,$0 ,137
"$9,398 ","$2,864 ",,$0 ,138
"$10,239 ","$3,120 ",,$0 ,139
"$8,506 ","$2,592 ",,$0 ,140
"$9,214 ","$2,807 ",,$0 ,141
"$8,885 ","$2,707 ",,$0 ,142
"$27,309 ",$287 ,,$0 ,143
"$5,805 ","$1,769 ",,$0 ,144
"$14,694 ","$4,477 ",,$0 ,145
"$8,851 ","$2,697 ",,$0 ,146
"$9,470 ","$2,880 ",,$0 ,147
"$9,247 ","$2,812 ",,$0 ,148
"$27,358 ","$8,321 ",,$0 ,149
"$4,791 ","$1,457 ",,$0 ,150
"$10,206 ","$3,104 ",,$0 ,151
"$11,131 ","$3,385 ",,$0 ,152
"$10,959 ","$3,333 ",,$0 ,153
"$6,833 ","$2,078 ",,$0 ,154
"$11,980 ","$3,644 ",,$0 ,155
"$9,415 ","$2,864 ",,$0 ,156
"$9,453 ","$2,880 ",,$0 ,157
"$27,309 ",$287 ,,$0 ,158
"$5,815 ","$1,769 ",,$0 ,159
"$10,188 ","$3,104 ",,$0 ,160
"$16,239 ","$4,948 ",,$0 ,161
"$5,644 ","$1,717 ",,$0 ,162
"$9,453 ","$2,880 ",,$0 ,163
