note,course,title,credits,level,restrictions,section_note,section,days,start,end,bldg,rm,instructor,comments,text
#,367-410,JUNIOR PROJECT,6,U,"; ; PREREQ: ADMIS TO UPPER LEVEL COURSE PER PORTFOLIO REVIEW OR CONS INSTR. IN CASE OF OVER-ENROLLMENT, ADMISSION BASED ON GRADE POINT AVERAGE IN MAJOR ; ; ENROL IN SE 001 & LA 801. ENROLLMENT DURING ADVANCED REGISTRATION REQUIRES THAT YOU PLACE AN 'X' IN ALL FRIDAY 'RESERVE TIME' BLOCKS (ABOVE PREFERRED COURSE REQUESTS) ON REGISTRATION FORM",,,,,,,,,,
,367-420,INTERMEDIATE FILM/VIDEO MODULE:,3,U/G,"; ; MAY BE RETAKEN WITH CHANGE IN TOPIC TO MAX OF 9 CR. PREREQ: ADMIS TO UPPER LEVEL COURSE PER PORTFOLIO REVIEW; JR ST OR CONS INSTR. IN CASE OF OVER-ENROLLMENT, ADMISSION BASED ON GRADE POINT AVERAGE IN MAJOR ; ; ENROL IN EITHER SE 001 & LA 801 OR SE 002 & LA 802. DURING ADVANCE REGISTRATION, PLACE AN 'X' IN ALLFRIDAY 'RESERVE TIME' BLOCKS (ABOVE PREFERRED COURSE REQUESTS) ON YOUR REGISTRATION FORM",,,,,,,,,,
#,367-510,SENIOR PROJECT,6,U,"; ; PREREQ: ADMIS TO UPPER LEVEL COURSE PER PORTFOLIO REVIEW OR CONS INSTR. B OR BETTER GRADE IN FILM 420(P). IN CASE OF OVER-ENROLLMENT, ADMISSION BASED ON GRADE POINT AVERAGE IN MAJOR ; ; ENROL IN SE 001 & LA 801. ENROLLMENT DURING ADVANCED REGISTRATION REQUIRES THAT YOU PLACE AN 'X' IN ALL FRIDAY 'RESERVE TIME' BLOCKS (ABOVE PREFERRED COURSE REQUESTS) ON REGISTRATION FORM",,,,,,,,,,
#+,216-785,OPERATIONS STRATEGY AND PROJECT MANAGEMENT,2,G,; ; PREREQ: GRAD ST; BUS ADM 780(P); BUS ADM 720(C) OR 725(C),e,Se 001,R,7:30pm,9:10pm,BUS,N110,Mukhopadhyay,,
#,367-710,GRADUATE FILM STUDIO/SEMINAR I,3,G,; ; PREREQ: GRAD ST ; ; STUDENTS MUST ATTEND 1 OF 3 SCREENINGS LISTED,e,Se 001,M,5:30pm,9:20pm,MIT,B65,Danielson,ADD'L SPECIAL COURSE FEE: $ 25.00,
#,367-712,GRADUATE FILM STUDIO/SEMINAR II,3,G,; ; PREREQ: GRAD ST,e,Se 001,M,5:30pm,9:20pm,MIT,B65,Danielson,ADD'L SPECIAL COURSE FEE: $ 25.00,
#,367-714,GRADUATE FILM STUDIO/SEMINAR III,3,G,; ; PREREQ: GRAD ST ; ; STUDENTS MUST ATTEND 1 OF 3 SCREENINGS LISTED,e,Se 001,M,5:30pm,9:20pm,MIT,B65,Danielson,ADD'L SPECIAL COURSE FEE: $ 25.00,
,367-720,GRADUATE FILM/VIDEO WORKSHOP I,6-Jan,G,; ; MAY BE RETAKEN TO MAX OF 9 CR. PREREQ: GRAD ST FILM OR CONS INSTR,,,,,,,,,,
,370-489,FINE ARTS WORKSHOP I:,6-Jan,U/G,; ; MAY BE REPEATED WITH CHANGE IN TOPIC TO MAX OF 9 CR. PREREQ: JR ST; CONS INSTR,e,La 801,T,6:30pm,9:30pm,MIT,425,Weinberg,TOPIC: PRODUCTION WORKSHOP: COMMUNITY-BASED THEATRE PROJECT,
+,393-192,FRESHMAN SEMINAR:,3,U,; (HU) OPEN TO FRESHMEN ONLY. RETAKABLE W/CHG IN TOPIC TO6 CR MAX. PREREQ: NONE,,,,,,,,,,
,397-101,CULTURAL DIVERSITY IN HEALTH CARE,3,U,; (SS&) PREREQ: NONE,,,,,,,,,,
,397-103,FRESHMAN SEMINAR IN PROFESSIONAL NURSING,1,U,; ; JOINTLY OFFERED WITH & COUNTS AS A REPEAT OF HLTHRST 103 & HLTHMNT 103. PREREQ: ADMIS TO PRENURSING PROG,,Lc 400,T,10:30am,,CUN,195,Schmid,,
,397-200,GROWTH AND DEVELOPMENT I,3,U,; (SS) PREREQ: PSYCH 101(P) OR CONS INSTR,,Lc 400,MW,11:30am,12:45pm,CUN,151,Ott,,
,397-202,GROWTH AND DEVELOPMENT II,3,U,; (SS) PREREQ: PSYCH 101(P) OR CONS INSTR,,Lc 400,MW,9:30am,10:45am,CUN,151,Bitzan,,
#+,216-792,STRATEGIC MANAGEMENT,2,G,"; ; PREREQ: GRAD ST; BUS ADM 700(P), 705(P), 731(P) & 760(P); OR CONS INSTR",,,,,,,,,,
#+,397-230,FOUNDATIONS OF PROFESSIONAL NURSING,3,U,"; ; PREREQ: ADMIS TO NURSING MAJOR, OR CONS INSTR",,Lc 400,TR,9:30am,10:45am,CUN,151,Dupree,,
,397-233,CLINICAL SKILLS DEVELOPMENT SEMINAR I,3,U,"; ; JOINTLY OFFERED WITH, & REPEAT OF HLTHRST 233 & HLTHMNT 233. PREREQ: HLTHMNT 210(C), HLTHMNT 211(C),& FNDNURS 230(C); OR CONS INSTR ; ; LABS MEET T 9/5 2:00-4:00 UNION FIRESIDE. PATHOGEN TRAINING 9/5 12:30-2:00 IN UNION WI ROOM. FAILURE TO ATTEND OR INFORM STUDENT AFFAIRS OF ABSENCE MAY RESULT IN FORFEITURE OF GROUP",,,,,,,,,,
#+,397-300,INTRODUCTION TO NURSING RESEARCH,2,U,; ; PREREQ: FNDNURS 230(C) & FNDNURS/HLTHMNT/HLTHRST 233(C); OR CONS INSTR,,,,,,,,,,
#+,397-405,ISSUES IN PROFESSIONAL NURSING,3,U,; ; PREREQ: FNDNURS 300(P); FNDNURS/HLTHRST 442(C) OR CONS INSTR ; ; THE SCHOOL OF NURSING RESERVES THE RIGHT TO DROP OTHER STUDENTS FROM SECTIONS IF THEIR REGISTRATION WOULD MAKE IT IMPOSSIBLE FOR ALL TO ENROL,,,,,,,,,,
,397-443,NURSING PRACTICE II,8,U,"; ; JOINTLY OFFERED WITH, & COUNTS AS REPEAT OF HLTHMNT 443. PREREQ: FNDNURS/HLTHRST 442(P) OR CONS INSTR ; ; ENROL IN 1 LA AND 1 DS WITH SAME MIDDLE DIGIT. MANDATORY MEETING FOR ALL LABS TUES 9/5, 8:30-12:30, CUN G40. PATHOGEN TRAINING TUES 9/5, 12:30-2:00, UNION WI ROOM. FAILURE TO ATTEND OR TO INFORM STUDENT AFFAIRS MAY RESULT IN FORFEITURE OF GROUP",,,,,,,,,,
,397-445,CAPSTONE PRACTICUM FOR REGISTERED NURSES,4,U,"; ; PREREQ: ALL CORE NURSING COURSES UWS NSG 341(P), 317(P), 434(P), 437(P), & 444(P)",,Se 001,,To be Arranged,,,,Wilk,FOR RN STUDENTS ONLY.,
,397-725,NURSING RESEARCH AND KNOWLEDGE GENERATION,3,G,"; ; JOINTLY OFFERED WITH & COUNTS AS REPEAT OF HLTHMNT 725 & HLTHRST 725. PREREQ: GRAD ST NURS OR CONS INSTR ; ; THIS COURSE HAS CHANGED FROM 2 TO 3 CREDITS, WITH CORRESPONDING INCREASE IN FEES, SINCE THE PRINTINGOF THE FALL SCHEDULE OF CLASSES",,Lc 401,R F,12:00pm,4:00pm  1:00pm,CUN,595 CUN,Im,9/14 12-4; 9/15 1-5; 9/28 12-4; 9/29 1-5; 10/20 1-5; 11/3 1-5; 11/16 12-4; 11/17 1-5; 12/8 1-5  COURSE CREDITS HAVE CHANGED FROM 2 TO 3 SINCE THE PRINTING OF THE PUBLISHED SCHEDULE OF CLASSES,
,397-729,HEALTH CARE SYSTEMS AND ADVANCED PRACTICE,3,G,"; ; JOINTLY OFFERED WITH & COUNTS AS REPEAT OF HLTHMNT 729 & HLTHRST 729. PREREQ: GRAD ST NURS OR CONS INSTR ; ; THIS COURSE HAS CHANGED FROM 2 TO 3 CREDITS, WITH CORRESPONDING INCREASE IN FEES, SINCE THE PRINTINGOF THE FALL SCHEDULE OF CLASSES",,Lc 401,R S,8:00am,4:00pm  8:00am,CUN,407 CUN,Settersten,9/16 8-12; 9/30 8-3; 10/19 12-4; 10/21 8-12; 11/4 8-12; 11/16 8-12; 12/7 12-4; 12/9 8-12,
,397-735,THEORETICAL FOUNDATIONS OF ADVANCED NURSING PRACTICE,3,G,"; ; JOINTLY OFFERED WITH & COUNTS AS REPEAT OF HLTHMNT 735 & HLTHRST 735. PREREQ: GRAD ST NURS OR CONS INSTR ; ; THIS COURSE HAS CHANGED FROM 2 TO 3 CREDITS, WITH CORRESPONDING INCREASE IN FEES, SINCE THE PRINTINGOF THE FALL SCHEDULE OF CLASSES",e,Se 101,T,4:30pm,9:20pm,OFC,UWPK,Faculty,7 WKS BEGINNING WEEK OF 10/30  MEETS AT UW-PARKSIDE  COURSE CREDITS HAVE CHANGED FROM 2 TO 3 SINCE THE PRINTING OF THE PUBLISHED SCHEDULE OF CLASSES,
,397-801,FOUNDATIONS OF NURSING INQUIRY,3,G,"; ; NOT OPEN TO STUDENTS WHO HAVE CR IN HLTHMNT OR HLTHRST 801, WHICH ARE IDENTICAL TO FNDNURS 801. PREREQ: ADMIS TO DOCTORAL PROG IN NURSING OR CONS INSTR",,Se 001,M,9:00am,11:50am,CUN,595,Rodgers,,
#+,216-794,ENTERPRISE INTEGRATION:,1,G,; ; PREREQ: GRAD ST IN BUS ADM OR PRIOR APPROVAL OF BUS ADM GRADUATE PROG SERVICES OFFICE,,,,,,,,,,
,397-803,NURSING SCIENCE AND PUBLIC POLICY,2,G,"; ; NOT OPEN TO STUDENTS WHO HAVE CR IN HLTHMNT OR HLTHRST 803, WHICH ARE IDENTICAL TO FNDNURS 803. PREREQ: FNDNURS, HLTHMNT, OR HLTHRST 801, OR CONS INSTR",,Se 001,M,2:00pm,3:50pm,CUN,407,Lundeen,,
,397-883,QUANTITATIVE APPROACHS TO NURSING RESEARCH,3,G,"; ; NOT OPEN TO STUDENTS WHO HAVE CR IN HLTHMNT OR HLTHRST 883, WHICH ARE IDENTICAL TO FNDNURS 883. PREREQ: FNDNURS 725 OR EQUIV; FNDNURS, HLTHMNT, OR HLTHRST 881; MULTIVARIATE STATISTICS; OR CONS INSTR; FNDNURS 725(NP), 881(NP), HLTHMNT 881(NP), HLTHRST 881(NP)",e,Se 001,M,4:30pm,7:10pm,CUN,407,Devine,,
,400-103,FIRST-SEMESTER FRENCH,4,U,; ; MAY NOT BE COMBINED FOR CR WITH FRENCH 101 OR 102. PREREQ: NONE ; ; ENROL IN SE & LA WITH CORRESPONDING NUMBER. EXAMPLE: SE 001 ENROL IN LA 801,,,,,,,,,,
,400-104,SECOND-SEMESTER FRENCH,4,U,; ; PREREQ: FRENCH 102(P) OR 103(P) OR PLACEMENT. ; ; ENROL IN SE & LA WITH CORRESPONDING NUMBER. EXAMPLE: SE 001 ENROL IN LA 801 L&S CREDIT FOR EQUIVALENT PREPARATION,,,,,,,,,,
,400-110,FRENCH FOR TRAVELERS,1or2,U,; (201) PREREQ: NONE,e,Se 001,T,6:30pm,8:10pm,CRT,221,Dermond,1 CR  8 WKS BEGINNING WEEK OF 10/23,
,400-203,THIRD-SEMESTER FRENCH,3,U,; ; PREREQ: FRENCH 104(P) OR PLACEMENT; FRENCH 213(R) ; ; L&S CREDIT FOR EQUIVALENT PREPARATION,,,,,,,,,,
,400-204,FOURTH-SEMESTER FRENCH,3,U,; ; PREREQ: FRENCH 203(P) OR PLACEMENT; FRENCH 213(R). ; ; L&S CREDIT FOR EQUIVALENT PREPARATION,,,,,,,,,,
,400-297,STUDY ABROAD,12-Jan,U,"; ; RETAKABLE W/CHG IN TOPIC. PREREQ: ACCEPTANCE FOR STUDY ABROAD PROG ; ; STUDY ABROAD REQUIRES ACCEPTANCE IN UWM-SPONSORED PROG. CONTACT L&S OVERSEAS PROG, GAR 107, 229-5182",,Se 101,,To be Arranged,,,,Faculty,,
,400-299,AD HOC:,6-Jan,U,; ; RETAKABLE W/CHG IN TOPIC,,Se 001,,To be Arranged,,,,Acad Staff,TOPIC: FRENCH DISCUSSION: THE AFRICAN WOMAN  1 CR  DS SE FOR 156-193-001. ENROL IN 156-193  PREREQ: 3 YRS HIGH SCHOOL FRENCH OR CONS INSTR,
,400-303,CONVERSATION AND COMPOSITION: SECOND-YEAR LEVEL,3,U,; (HU) PREREQ: FRENCH 204(P) OR PLACEMENT; FRENCH 213(R) ; (215) ;,,Se 001,MWF,10:30am,,CRT,221,Kuiper,,
#+,216-795,SEMINAR-IN-DEPTH,2,G,; ; PREREQ: GRAD ST; APPROPRIATE MANAGEMENT SCIENCE CORE COURSES OR CONS INSTR,,,,,,,,,,
,400-322,APPROACHES TO POETRY AND FICTION,3,U,; (HU) PREREQ: FRENCH 303(215)(P) OR CONS DEPT CHAIR,,Se 001,MWF,10:30am,,HLT,G84,Mileham,,
,400-325,INTENSIVE GRAMMAR AND USAGE,3,U,; ; PREREQ: FRENCH 303(215)(P) OR CONS DEPT CHAIR; FRENCH 213(R),,Se 001,MWF,11:30am,,CRT,221,Turcat,,
,400-327,CONTEMPORARY FRENCH LANGUAGE AND CULTURE,3,U,; (HU) PREREQ: FRENCH 303(215)(P) OR CONS DEPT CHAIR,,Se 001,T R,12:30pm,1:45pm  12:30pm,CRT,B13 CRT,Alkhas Alkhas,,
,400-392,PHONETICS,3,U,; ; REQUIRED OF TEACHING MAJORS & MINORS. PREREQ: FRENCH 303(215)(P) OR CONS DEPT CHAIR,e,Se 001,TR,4:30pm,5:45pm,CRT,221,Kuiper,,
,400-397,STUDY ABROAD,12-Jan,U,"; ; RETAKABLE W/CHG IN TOPIC. PREREQ: ACCEPTANCE FOR STUDY ABROAD PROG ; ; STUDY ABROAD REQUIRES ACCEPTANCE IN UWM-SPONSORED PROG. CONTACT L&S OVERSEAS PROG, GAR 107, 229-5182",,Se 101,,To be Arranged,,,,Faculty,,
,400-410,FRENCH IMMERSION: ADVANCED,1or2,U/G,; ; RETAKABLE TO 4 CR MAX TO MAINTAIN COMMUNICATION SKILLS AT ADVANCED LEVEL. PREREQ: FRENCH 325(P) & 327(P); FOUR ADD'L SEM COLLEGE FRENCH; OR CONS INSTR,ew,Se 001,F S,5:00pm,8:00pm  9:00am,CRT,221 CRT,Acad Staff,"1 CR  COURSE MEETS ON FRI, 10/20 5:00PM-8:00PM; SAT, 10/21 9:00AM-5:00PM, & SUN 10/22 10:00AM-12:00",
,400-422,FRENCH LITERATURE I:,3,U,; ; NOT RETAKABLE FOR DEGREE CR. PREREQ: FRENCH 322(P),,Se 001,TR,11:05am,12:20pm,CRT,227,Verdier,TOPIC: BATTLE OF THE SEXES,
,400-425,INTRODUCTION TO TRANSLATION,3,U/G,; ; PREREQ: FRENCH 325(P) & 327(P) OR EQUIV,e,Se 001,MW,4:30pm,5:45pm,CRT,766,Velguth,,
,400-429,FRENCH CULTURE FROM THE MIDDLE AGES TO THE FRENCH REVOLUTION (=),3,U/G,; (649) PREREQ: JR ST; TWO 300-LEVEL FRENCH LIT OR CULTURE (CIV) COURSES,,Se 001,T R,1:30pm,2:45pm  1:30pm,CRT,B84 CRT,Verdier Verdier,,
,400-432,TOPICS IN FRENCH AND FRANCOPHONE CULTURES:,3-Jan,U/G,"; ; RETAKABLE W/CHG IN TOPIC TO 9 CR MAX. PREREQ: FRENCH 325(P) OR 327(P), OR CONS INSTR",e,Se 001,MW,6:00pm,7:15pm,CRT,221,Mileham,TOPIC: VIEWS OF PARIS LIFE  3 CR,
#+,216-796,COMPETITION AND STRATEGY,2,G,; ; PREREQ: GRAD ST; BUS ADM 792(P),e,Se 001,W,7:30pm,9:10pm,BUS,N116,Yasai,,
,400-497,STUDY ABROAD,12-Jan,U,"; ; RETAKABLE W/CHG IN TOPIC. PREREQ: ACCEPTANCE FOR STUDY ABROAD PROG ; ; STUDY ABROAD REQUIRES ACCEPTANCE IN UWM-SPONSORED PROG. CONTACT L&S OVERSEAS PROG, GAR 107, 229-5182",,Se 101,,To be Arranged,,,,Faculty,,
#,400-706,PRACTICUM IN FRENCH LANGUAGE METHODOLOGY AND PEDAGOGY,1,G,; ; RETAKABLE TO 2 CR MAX. PREREQ: GRAD ST; MAFLL 706(C) OR CONS INSTR,,Se 001,,To be Arranged,,,,Kuiper,,
,416-105,INTRODUCTION TO CULTURAL AND HISTORICAL GEOGRAPHY,3,U,; (SS) SATISFIES L&S INTERNATIONAL REQUIREMENT. PREREQ: NONE,,Se 001,MWF,8:30am,,BOL,B95,Edwards,,
,416-110,THE WORLD-PEOPLES & REGIONS,3,U,; (SS) SATISFIES L&S INTERNATIONAL REQUIREMENT. PREREQ: NONE ; ; ENROL IN EITHER LC 401 OR 402 & ANY DS 601-608,,,,,,,,,,
,416-114,GEOGRAPHY OF MINORITIES IN THE UNITED STATES,3,U,; (SS&) PREREQ: NONE,,Se 001,TR,11:05am,12:20pm,BOL,B46,Zimmerman,,
,416-120,OUR PHYSICAL ENVIRONMENT,4-Mar,U,"; (NS+) NOT OPEN FOR CR TO STUDENTS W/CR IN GEOG 121(ER), 122(ER), OR 125(ER). REQUIRED ALL-DAY FIELD TRIP FOR WHICH FEE IS ASSESSED. PREREQ: NONE ; ; COURSE IS OFFERED FOR 3 CR ONLY THIS SEMESTER. LECTURES FOR GEOG 120 & 125 MEET TOGETHER. ENROL INEITHER LC 401 OR 402 & ANY LA 801-806",,,,,,,,,,
,416-125,THE CHALLENGE OF OUR PHYSICAL ENVIRONMENT,3or4,U,; (NS) NOT OPEN FOR CR TO STUDENTS WITH CR IN GEOG 120 OR 121 OR 122. PREREQ: NONE ; ; COURSE OFFERED FOR 3 CR ONLY THIS SEMESTER. LECTURES FOR GEOG 125 & 120 MEET TOGETHER. ENROL IN EITHER LC 401 OR 402 & ANY DS 701-705,,,,,,,,,,
,416-140,OUR URBAN ENVIRONMENT: INTRODUCTION TO URBAN GEOGRAPHY,3,U,; (SS) PREREQ: NONE,,Se 001,TR,11:05am,12:20pm,BOL,B95,Ottone,,
,416-193,FRESHMAN SEMINAR:,3,U,; (SS) OPEN ONLY TO FRESHMAN. RETAKABLE W/CHG IN TOPIC TO 6 CR MAX. SATISFIES L&S SEMINAR REQUIREMENT. PREREQ: NONE,,,,,,,,,,
,416-214,WISCONSIN,3,U,; ; PREREQ: SOPH ST,,Se 001,TR,12:30pm,1:45pm,BOL,268,West,,
#+,216-800,MULTINATIONAL BUSINESS OPERATIONS,3,G,; ; PREREQ: GRAD ST; BUS ADM 705(P),e,Se 001,W,5:30pm,8:10pm,BUS,N130,Gonzales,"JOINTLY OFFERED WITH 216-795, SE 001",
,416-215,INTRODUCTION TO GEOGRAPHIC INFORMATION SYSTEMS,3,U,; ; PREREQ: NONE,,Se 001,MWF,9:30am,,BOL,B95,Day,,
,416-297,STUDY ABROAD,12-Jan,U,"; ; RETAKABLE W/CHG IN TOPIC. PREREQ: ACCEPTANCE FOR STUDY ABROAD PROG ; ; STUDY ABROAD REQUIRES ACCEPTANCE IN UWM-SPONSORED PROG. CONTACT L&S OVERSEAS PROG, GAR 107, 229-5182",,Se 101,,To be Arranged,,,,Faculty,,
,416-306,NATURAL HAZARDS,3,U,; (NS) PREREQ: JR ST & A PHYSICAL GEOG COURSE RECOM ; (205) ;,,Se 001,MWF,12:30pm,,BOL,B60,DE Sousa,,
,416-310,GENERAL CLIMATOLOGY,3,U,; ; PREREQ: JR ST & A COURSE IN PHYSICAL GEOG OR METEOROLOGY RECOM,,Se 001,TR,12:30pm,1:45pm,BOL,B95,Schwartz,,
,416-350,CONSERVATION OF NATURAL RESOURCES,3,U,; (SS) PREREQ: SOPH ST,,Se 001,MWF,11:30am,,BOL,B46,Fredlund,,
,416-405,INTRODUCTORY CARTOGRAPHY,4,U/G,"; ; PREREQ: JR ST & GEOG 110, OR 115 OR 125 OR EQUIV COURSE IN GEO SCI, ATM SCI, ANTHRO, BIO SCI OR ARCH ; ; ENROL IN LC 401 & ANY LA 801-803; & GRAD HR TBA",,,,,,,,,,
,416-420,METHODS AND PRINCIPLES IN LAND FORM GEOGRAPHY,3,U/G,; ; PREREQ: JR ST & GEOG 120 OR 121 OR GEO SCI 101,,Se 001,M,1:30pm,4:10pm,BOL,487,Day,,
,416-460,HISTORICAL GEOGRAPHY OF THE UNITED STATES,3,U/G,"; ; PREREQ: JR ST & ONE OF THE FOLLOWING: GEOG 105, 110, 201, 211, OR 304; HIST 151, 152, 251, OR 252",,Se 001,MWF,10:30am,,BOL,268,Edwards,,
,416-464,ENVIRONMENTAL PROBLEMS,3,U/G,; ; PREREQ: JR ST & AN INTRO COURSE IN A LIFE SCIENCE OR ENVIRONMENTAL SCIENCE,,Se 001,MWF,9:30am,,BOL,268,DE Sousa,,
,416-497,STUDY ABROAD,12-Jan,U,"; ; RETAKABLE W/CHG IN TOPIC. PREREQ: ACCEPTANCE FOR STUDY ABROAD PROG ; ; STUDY ABROAD REQUIRES ACCEPTANCE IN UWM-SPONSORED PROG. CONTACT L&S OVERSEAS PROG, GAR 107, 229-5182",,Se 101,,To be Arranged,,,,Faculty,,
#,216-809,INTERNATIONAL BUSINESS STRATEGY,3,G,"; ; PREREQ: GRAD ST; BUS ADM 800(P) & 806(P), OR CONS INSTR",e,Se 001,M,5:30pm,8:10pm,BUS,N440,Moore,,
,416-547,QUANTITATIVE ANALYSIS IN GEOGRAPHY II,3,U/G,; ; PREREQ: JR ST; GEOG 247(447)(P) OR DEPT APPROVED EQUIV,e,Se 001,R,5:30pm,8:10pm,BOL,487,Wei,,
,416-698,CARTOGRAPHY INTERNSHIP,6-Jan,U/G,"; ; RETAKABLE TO 6 CR MAX. PREREQ: GEOG 405(P), 522(P), WRIT CONS INSTR & DEPT CHAIR",,Se 001,,To be Arranged,,,,Faculty,,
,416-942,SEMINAR: GEOGRAPHY OF LAND FORM,3,G,; ; RETAKABLE W/CHG IN TOPIC TO 9 CR MAX. PREREQ: GRAD ST,,Se 001,T,1:30pm,4:10pm,BOL,435,Day,TOPIC: KARST,
,422-100,INTRODUCTION TO THE EARTH,3,U,; (NS+) VOLUNTARY FIELD TRIP FOR WHICH FEE IS ASSESSED. NOT OPEN FOR CR TO STUDENTS WHO HAVE HAD OR ARE CONC REG IN GEO SCI 101. PREREQ: NONE ; ; ENROL IN EITHER LC 401 OR 402 & ANY LA 901-916 THAT DOES NOT CONFLICT,,,,,,,,,,
,422-105,"EARTH, AIR, FIRE AND WATER",3,U,; (NS) COUNTS AS REPEAT OF ATM SCI 105. PREREQ: NONE,,Lc 401,MWF,9:30am,,LAP,162,Taylor,,
,422-106,THE EARTH ENVIRONMENT,3,U,; (NS) VOLUNTARY FIELD TRIP FOR WHICH FEE IS ASSESSED. PREREQ: NONE,,,,,,,,,,
,422-150,INTRODUCTION TO OCEAN SCIENCES,3,U,; (NS) NOT OPEN FOR CR TO STUDENTS WHO HAVE HAD GEO SCI 460. PREREQ: NONE,,Lc 401,MWF,10:30am,,LAP,160,Sverdrup,,
,422-151,OCEAN SCIENCES LABORATORY,2,U,; (NS+) NOT OPEN FOR CR TO STUDENTS WHO HAVE HAD GEO SCI 460 OR 461. PREREQ: GEO SCI 150(C),,La 901,M,11:30am,1:20pm,LAP,262,Sverdrup,,
,422-185,INTRODUCTORY EARTH SCIENCE FOR TEACHERS,3,U,"; (NS+) NOT OPEN FOR CR TO STUDENTS W/CR IN GEO SCI 100, 105, OR ATM SCI 105. REQUIRED FIELD TRIPS FOR WHICH FEES ARE ASSESSED. PREREQ: REGIS IN ELEM, EARLY CHILDHOOD, OR EXCEP EDUC CURRIC, EDBA CLASSIF,OR CONS INSTR ; ; ENROL IN LC 401 AND LA 901",,,,,,,,,,
,422-194,FRESHMAN SEMINAR,3,U,; (NS) OPEN ONLY TO FRESHMEN. RETAKABLE W/CHG IN TOPIC TO 6 CR MAX. SATISFIES L&S SEMINAR REQUIREMENT. PREREQ: NONE,,Se 001,TR,8:05am,9:20am,LAP,268,Lasca,TOPIC: BACKYARD DIRT,
