house_id,tax_assessed_value,annual_tax_amount
19557711,"$594,068","$7,275"
458775,"$956,260",$0
118189181,"$80,200","$1,009"
27323556,"$173,000","$1,410"
110704145,"$170,400","$4,318"
61122517,"$230,000","$5,001"
71481806,"$500,300","$11,001"
27329279,"$160,021","$1,305"
20793210,"$676,259","$8,095"
2104378637,,
3591765,"$174,460","$6,229"
19600792,"$438,794","$5,316"
3860868,"$680,000","$13,432"
17043835,"$443,957","$5,408"
241585966,"$1,560,600","$19,137"
55398319,"$335,000","$6,852"
15160498,"$99,105","$1,890"
36741277,"$261,200","$3,211"
15084939,"$1,446,887","$17,713"
53737326,"$193,745","$3,076"
7511296,"$134,200","$1,521"
104452024,"$390,000","$8,705"
63012913,"$153,500","$3,379"
81928071,"$166,600","$3,429"
173560724,"$172,300","$4,366"
20639953,"$490,015","$5,927"
43701149,"$364,671","$5,245"
36731431,"$200,100","$2,355"
92355228,"$220,200","$1,456"
110749091,"$202,200","$5,124"
110747725,"$174,100","$4,412"
110709853,"$81,900","$2,075"
20795689,"$107,000","$2,086"
62847505,"$627,000","$8,008"
70474031,"$203,250","$3,347"
26946434,"$252,920","$2,206"
26906776,"$119,310","$3,261"
26802262,"$68,400","$1,870"
19557511,"$541,675","$6,650"
122064249,"$515,722","$6,807"
17017652,"$335,339","$4,085"
2077681488,,
110722988,"$279,100","$7,073"
36718840,"$241,300","$2,948"
153249613,"$65,184",$958
84001081,"$163,330","$3,241"
65562967,"$170,570","$2,691"
110717248,"$176,200","$4,465"
241585552,"$679,171","$8,735"
125257061,"$187,000","$2,312"
110718999,"$170,900","$4,331"
79843055,"$798,558","$10,223"
17016010,"$287,009","$3,496"
448548,"$305,230","$2,594"
17016789,"$52,765",$558
7514658,"$164,800",$891
2078089792,,
20639002,"$447,780","$5,432"
7519355,"$187,800","$1,833"
19580714,"$1,206,200","$14,701"
453141,"$917,450","$6,580"
20797716,"$1,240,980","$14,786"
20794223,"$1,237,062","$7,392"
110729370,"$227,600","$5,768"
27324149,"$224,046","$1,827"
63012888,"$196,000","$4,336"
55397006,"$237,600","$4,880"
158776765,"$1,073,600","$20,529"
17010299,"$39,502",$481
104454096,"$219,200","$4,291"
81968055,"$105,000",$451
2077819232,,
15086469,"$783,768","$9,952"
111435637,"$65,183",$709
27325725,"$201,125","$2,561"
2077915350,,
66134507,"$342,005","$5,126"
7515343,"$118,000","$1,177"
15069492,"$310,088","$4,445"
26802339,"$130,000",
2078664523,,
113950920,"$402,660","$7,954"
69669976,"$213,480","$5,836"
449292,"$571,880","$3,957"
70447588,"$75,920","$3,817"
60529017,"$330,900","$4,035"
27324765,"$234,406","$1,634"
19581408,"$634,644","$7,764"
26819446,"$146,440",$1
20796184,"$237,333","$3,098"
104453117,"$255,000","$5,438"
3591199,"$58,810",$873
3591833,"$240,000","$7,342"
89148047,"$293,352","$3,759"
19579826,"$31,221",$443
70336895,"$1,023,500","$19,852"
92352811,"$321,000","$2,641"
7515356,"$108,500",$567
26906412,"$180,520","$2,267"
26947300,"$255,220","$2,375"
36731224,"$243,500","$2,651"
26817292,"$57,970",
306141859,"$25,000",$385
20784322,"$2,812,200","$33,577"
58297288,"$2,600,000","$55,628"
7515443,"$188,300","$1,663"
20785955,"$849,483","$10,232"
82294487,"$1,097,530","$8,915"
55421174,"$510,000","$11,219"
27326048,"$245,601","$1,712"
70747556,"$332,856","$5,338"
7514205,"$91,100",$944
65546308,"$94,760","$2,157"
110737102,"$167,900","$4,255"
69302229,"$571,014","$7,004"
60261285,"$67,520","$2,411"
29333062,"$1,859,283","$39,792"
26794863,"$133,520",
19556691,"$134,143","$1,769"
27327034,"$240,386","$1,554"
26795771,"$129,500","$3,540"
36721864,"$171,700","$2,107"
43695007,"$229,715","$2,921"
71488699,"$282,300","$3,145"
15072610,"$796,280","$10,049"
29333077,"$1,372,200","$26,385"
29323270,"$607,201","$11,891"
29333063,"$5,096,400","$114,734"
95060776,"$206,000","$5,220"
3591114,"$183,580","$4,346"
15131932,"$992,782","$12,354"
63509948,"$79,641",$970
26949149,"$161,560","$1,998"
29475480,"$432,269",
68978645,"$355,071","$4,516"
2136248651,,
121067648,"$133,500","$2,646"
89667847,"$421,979","$2,654"
246025934,"$45,000","$2,584"
7512449,"$139,300","$1,562"
55397049,"$431,400","$9,449"
458477,"$853,560","$6,371"
448664,"$247,750",$699
110738232,"$376,800","$9,549"
125230936,"$113,600","$1,405"
3593067,"$184,000","$6,569"
26947748,"$170,060","$1,682"
87691710,"$284,200","$4,951"
27327976,"$302,722","$2,111"
63698345,"$409,180","$7,404"
2078005094,,
26818503,"$133,790","$3,657"
113979252,"$113,200",$494
65544482,"$55,120","$2,746"
125313917,"$187,000","$2,312"
40472968,"$150,700","$4,197"
26946279,"$248,030","$3,067"
26994303,"$301,890","$3,009"
7505336,"$137,700",$601
2079567485,,"$15,700"
43669888,"$131,782","$1,542"
55405981,"$210,000","$4,292"
110753479,"$200,900","$5,091"
15080532,"$4,995,000","$59,666"
247164329,"$572,730","$4,806"
20641726,"$175,652","$2,293"
2126801952,,
55406095,"$395,000","$7,865"
36730417,"$313,000","$3,928"
36743599,"$255,900","$3,217"
110707602,"$177,800","$4,506"
63692490,"$33,380",
62847238,"$378,200","$4,588"
29331303,"$1,056,600","$18,826"
19600870,"$359,024","$4,438"
29334535,"$966,500","$19,583"
60270629,"$176,000","$2,807"
20794916,"$2,424,252","$28,918"
2121238192,,"$40,137"
54906867,"$105,568","$1,201"
26799818,"$105,190","$2,875"
2077913807,,
299125344,"$115,353",$940
448700,"$214,480","$1,765"
26944325,"$115,000","$1,138"
61325138,"$1,061,952","$13,170"
26995971,"$173,220",$569
19556721,"$334,568","$4,188"
3580631,"$217,790","$6,549"
110751900,"$138,600","$3,512"
40473124,"$158,800","$4,423"
53735967,"$217,390","$3,365"
20688535,"$756,049","$9,243"
2077987889,,
110701338,"$158,400","$4,014"
17044483,"$300,258","$3,658"
27330607,"$259,341",$584
20794256,"$1,263,749","$15,192"
125231582,"$158,840","$1,964"
19579887,"$43,990",$597
20801682,"$770,331","$9,183"
7515527,"$48,500",$254
60270617,"$166,550","$2,620"
63703823,"$176,000","$2,807"
20788332,"$236,964","$3,068"
61122203,"$254,500","$5,466"
82291316,"$399,170","$3,563"
94702669,"$1,092,420","$13,298"
62007666,"$51,460",$611
7510715,"$107,600","$1,008"
2093019920,,
110755026,"$221,800","$5,621"
26802165,"$91,010","$2,488"
36744633,"$454,500","$5,862"
43710140,"$224,233","$2,249"
72652295,"$424,320","$5,220"
49911608,"$258,180","$5,100"
96031440,"$1,010,228","$12,653"
