code,title,credits,comments,section_num,days,start_time,end_time,building,room,instructor
ARCH 658,NEW THEORIES OF COMPOSITION,3.00,See Arch 358.,001,,,,,,"Mau, Bruce"
MUSI 549,VOICE PEDAGOGY,2.00,Offered irregularly.,001,TTH,09:25AM,10:40AM,,,"Farwell, Joyce"
MUSI 559,WOODWIND PEDAGOGY,2.00,Prereq- D.M.A. students only.,,,,,,,
MUSI 569,BRASS PEDAGOGY,2.00,Offered irregularly.,,,,,,,
MUSI 571,VOCAL COACHING,1.00,"001 TBA TBA Jaber, Thomas *CURRENT ENR: 0",,,,,,,
MUSI 576,VOICE REPERTOIRE II,2.00,,001,MW,02:00PM,02:50PM,APB,1402,"Bailey, Nancy"
MUSI 577,DICTION III - ENGLISH,1.00,,001,TH,10:50AM,12:05PM,APB,1404,"Knapp, Brady"
MUSI 578,DICTION IV - FRENCH,1.00,,001,T,10:50AM,12:05PM,APB,1404,"DeChambrier, Janet"
MUSI 584,VOCAL COACHING TECHNIQUES,2.00,"A course for piano majors, to develop skills of accompanying and
coaching singers. Topics will include basic vocal production and
terminology, lieder, opera, and oratorio. Offered irregularly.
Prereq- Piano major. Permission of instructor.
Enrollment limited to 8",,,,,,,
MUSI 589,PIANO PEDAGOGY II,2.00,"An intensive study of studio teaching with an overview of different
methods as well as guidance in studio organization and management. Each
student will participate in a private teaching practicum as well.
Enrollment limited to 12.",001,TTH,01:00PM,02:20PM,APB,1402,"Shank, Dean"
MUSI 599,STRING PEDAGOGY: VIOLIN,2.00,001 TBA TBA TBA *CURRENT ENR: 0,,,,,,,
ARCH 660,CRISIS AND COMMUNICATION,3.00,See Arch 360.,001,,,,,,"Mau, Bruce"
MUSI 601,COMPOSITION FOR MAJORS ADVANCED AND GRAD.,3.00,"001 TBA TBA Gottschalk, Arthur *CURRENT ENR: 0",,,,,,,
MUSI 603,GRAD COMPOSITION SEMINAR,1.00,,001,TH,02:30PM,03:50PM,APB,1402,"Lavenda, Richard"
MUSI 606,ADVANCED COMPUTER SOUND SYNTHESIS,3.00,"Use of sound-processing and sound-synthesis software. Digital noise
reduction of analog sound files. Sampling, recording, and
manipulatin sounds from various sources.
Prereq-MUSI 605.
Limited enrollment to 8.",001,MWF,02:00PM,02:50PM,APB,1709,"Soley, David"
MUSI 610,ADVANCED OPERA WORKSHOP,2.00,"For Doctoral students only.
Provides singers with broad understanding of opera production. Lectures
emphasize the exploration of music and text to develop the director's
concept, the development of underlying themes through staging, technical
aspects of opera production, and methods for coaching singing actors.
Students will direct and perform in opera scenes.
Prereq- permission of instructor.",001,MW,02:00PM,04:00PM,APB,1404,"Dickinson, Debra"
MUSI 613,CANON AND FUGUE,3.00,"Specialized study of imitative counterpoint. Examples from the fifteenth
to twentieth centuries. Emphasis on the Baroque fugue. Permission of
Instructor.",001,MWF,11:00AM,11:50AM,APB,1403,"Applebaum, Edward"
MUSI 630,GRAD CHORAL CONDUCTING SEMINAR,3.00,,,,,,,,
MUSI 631,MOCK AUDITION,0.00,,,,,,,,
MUSI 633,COMPREHENSIVE PRACTICUM IN PIANO TUNING,3.00,"The complete restoration of a studio or performance piano under the
scrutiny of the instructor. Areas of emphasis include restringing, the
installation of new action parts and dampers, and the finish regulation
and voicing of these parts.
Prereq- Musi 686
Enrollment limited to 6.",,,,,,,
MUSI 635,ADVANCED ORCHESTRA,2.00,,001,MWF,02:10PM,04:40PM,,,"Rachleff, Larry"
MUSI 636,CHAMBER MUSIC,1.00,001 TH 04:00PM-06:30PM APB*1133 TBA *CURRENT ENR: 0,,,,,,,
ARCH 662,"THE PHILOSOPHY OF MATTER, FORCE AND EVEN",3.00,See Arch 362.,,,,,,,
MUSI 637,ADVANCED CONDUCTING FOR MAJORS,3.00,,001,,,,,,"Rachleff, Larry"
MUSI 640,SHEPHERD SINGERS-GRADUATE,1.00,"001 TTH 01:00PM-02:20PM Jaber, Thomas *CURRENT ENR: 0",001,F,02:00PM,02:50PM,,,"Jaber, Thomas"
MUSI 641,MASTER'S I RECITAL,0.00,,,,,,,,
MUSI 642,ACCOMPANYING FOR ENSEMBLE,1.00,"Taken in lieu of Musi 635 or 640. Student to fulfill requirements of
Musi 442 or 443.
Prereq- permission of instructor.",,,,,,,
MUSI 647,MASTER'S THESIS,3.00,"001 TBA TBA Schnoebelen, Anne *CURRENT ENR: 0",,,,,,,
MUSI 649,GRADUATE INDEPENDENT STUDY,1.00,001 TBA TBA TBA *CURRENT ENR: 0,,,,,,,
MUSI 651,FLUTE FOR MAJORS-ADV,3.00,,,,,,,,
MUSI 653,OBOE FOR MAJORS-ADV,3.00,,,,,,,,
MUSI 655,CLARINET FOR MAJORS-ADV,3.00,"001 TBA TBA Peck, David *CURRENT ENR: 0",001,,,,,,"Webster, Michael"
MUSI 656,BASSOON FOR MAJORS-ADV,3.00,,,,,,,,
ARCH 664,INDEPENDENT PROJECTS IN FURN DESIGN AND,3.00,See Arch 464.,,,,,,,
MUSI 661,HORN FOR MAJORS-ADVANCED,3.00,,,,,,,,
MUSI 663,TRUMPET FOR MAJORS-ADV,3.00,,,,,,,,
MUSI 665,TROMBONE FOR MAJORS-ADV,3.00,,,,,,,,
MUSI 667,TUBA FOR MAJORS-ADV,3.00,,,,,,,,
MUSI 671,PERCUSSION FOR MAJORS-ADV,3.00,,,,,,,,
MUSI 673,VOICE FOR MAJORS-ADV,3.00,"001 TBA TBA Murray, William *CURRENT ENR: 0",,,,,,,
MUSI 681,PIANO FOR MAJORS-ADV,3.00,"001 TBA TBA Perry, John *CURRENT ENR: 0",,,,,,,
MUSI 683,ORGAN FOR MAJORS-ADV,3.00,,,,,,,,
MUSI 686,APPLIED PIANO TECHNOLOGY,3.00,"The comprehensive study of tuning all important historical and modern
temperaments; supervised work on action voicing, regulation, and
restoration.
Enrollment limited to 6.",001,MWF,02:00PM,02:50PM,APB,1501,"Shank, Dean"
MUSI 687,HARP FOR MAJORS-ADV,3.00,,,,,,,,
ARCH 668,TECHNOLOGY AND SOCIETY,3.00,,,,,,,,
MUSI 689,PIANO FOR CHAMBER MUSIC AND ACCOMPANYING,3.00,Prereq- Approval of instructor,,,,,,,
MUSI 691,VIOLIN FOR MAJORS-ADV,3.00,"001 TBA TBA Luca, Sergiu *CURRENT ENR: 0",,,,,,,
MUSI 693,VIOLA FOR MAJORS-ADV,3.00,"001 TBA TBA Brooks, Wayne *CURRENT ENR: 0",,,,,,,
MUSI 695,VIOLONCELLO FOR MAJORS-ADV,3.00,"001 TBA TBA Fischer, Norman *CURRENT ENR: 0",,,,,,,
MUSI 697,DOUBLE BASS FOR MAJORS-ADV,3.00,"001 TBA TBA Ellison, Paul *CURRENT ENR: 0",001,,,,,,"Pitts, Timothy"
MUSI 698,ADVANCED STRING QUARTETS,3.00,"Private lessons for graduate students enrolled in the string quartet
program.
Prereq- String quartet majors only.",001,,,,,,"Katz, Paul"
MUSI 700,GRADUATE RESEARCH,1.00,,,,,,,,
MUSI 707,"DOCTORAL IND.STUDY,COMPOSITION",3.00,Independent project at the doctoral level.,,,,,,,
MUSI 712,SEMINAR IN ADVANCED ANALYSIS,3.00,"This class will build on the concept and materials presented in Musi
711. Students will do in-depth analyses of significant pieces from
several style periods.
Prereq- Musi 711. Permission of instructor.",001,TTH,10:50AM,12:05PM,APB,1403,"Lavenda, Richard"
MUSI 721,SCHOENBERG IN CONTEXT,3.00,"Study of the music of Arnold Schoenberg in the context of the major
musical center and artistic movements that colored his works: Vienna,
Berlin, Romanticism, Expressionism of and The New Objectivity.
Enrollment limited to 15.",001,TTH,09:25AM,10:40AM,APB,1705,"Bailey, Walter"
ANTH 205,INTRO-ARCHAEOLOGY,3.00,"* DISTRIBUTION COURSE: GROUP II
Principles and methods of archaeology; an introduction to the elementary
concepts of the discipline through a series of case studies.",001,MWF,09:00AM,09:50AM,SH,309,"Lippert, Dorothy"
ARCH 670,TAUTNESS AND PARTICULATES,3.00,,,,,,,,
MUSI 736,"SOLO, CHAMBER AND CONCERTO REPERTOIRE",3.00,"001 TBA TBA Winkler, Kathleen *CURRENT ENR: 0",,,,,,,
MUSI 741,MASTER'S II RECITAL,0.00,,,,,,,,
MUSI 748,DOCTORAL RECITAL RESEARCH,1.00,Prereq- Approval of the Director of Graduate Studies.,001,,,,,,"Bailey, Walter"
MUSI 749,APPRENTICESHIP,1.00,,,,,,,,
MUSI 750,DOCTORAL DOCUMENT,3.00,"Supervised research and writing in areas of performance study. Not
limited to areas of original research.",,,,,,,
MUSI 751,DOCTORAL RECITAL: SOLO,0.00,001 TBA TBA TBA *CURRENT ENR: 0,,,,,,,
MUSI 800,DISSERTATION,3.00,Major symphonic or symphonic/choral work of professional level.,,,,,,,
NSCI 112,"SCIENCE TODAY II: CHEMISTRY, FOR CHANGI",3.00,"* RESTRICTED DISTRIBUTION COURSE: GROUP III
A course designed to impart a sense of scientific literacy to
non-science and non-engineering majors, and to relate chemical
principles and problems to everyday life.",001,MWF,11:00AM,11:50AM,GL,106,"Kinsey, B."
NSCI 230,COMPUTATION IN NATURAL SCIENCE,3.00,"An introduction to scientific problem solving and analysis using
computational methods. Instruction in the use of MATLAB on a Unix
workstation will be included. Primarily intended for prospective majors
in the natural sciences.
Prereq- Chem 101, 102 or Chem 111, 112, Math 101, 102, and Phys 101,
102.",001,TTH,01:00PM,02:20PM,SS,106,"Zelt, Colin"
NAVA 102,NAV ENGINEERING-NAV SHIP SYS I,3.00,"A study of ship propulsion systems, auxiliary systems, steering
systems, electrical power distribution, ship design, ship stability and
damage control measures.",,,,,,,
ARCH 672,SILENCE/SOUND/NOISE,3.00,,,,,,,,
NAVA 202,SEAPOWER AND MARITIME AFFAIRS,2.00,"Readings, discussions, and research on selected topics related to the
history, importance, and impact of seapower on modern civilization.",001,TTH,10:50AM,12:05PM,,,"Galit, Arnold"
NAVA 302,NAVAL OPERATIONS,2.00,"An analysis of ship movements, formations, and fleet operations;
includes Rules of the Road, maneuvering board, tactical publications and
communications.",001,TTH,01:00PM,02:20PM,,,"Galit, Arnold"
NAVA 402,LEADERSHIP AND ETHICS,1.00,"A comprehensive study of leadership principles, with particular
emphasis on ethics, human resources management, military law and
discipline, and administration.",,,,,,,
NEUR 504,CELLULAR NEUROPHYSIOLOGY IANDII,3.00,"Includes the properties of excitable nerve membranes and chemical
synapses; theory of ions in solutions, ion conduction through membranes,
ion transport, linear cable theory, nonlinear properties of neurons, and
stochastic properties of single ion channels. Synaptic transmission
including, quantal analysis; the role of calcium and transmitter
release, and postsynaptic mechanisms.
Prereq- permission of the instructor; calculus, physics.",,,,,,,
NEUR 505,OPTICAL IMAGING,3.00,"Begins with a theoretical portion introducing the fundamentals of
optical imaging of neural activity, presenting devices that are
employed, and reviewing applications and their results. In a practical
component, students design and perform simple in vitro experiments,
gaining hands-on experience with this exciting and powerful technology.
Permission of instructor.",,,,,,,
NEUR 506,CONCEPTS OF LEARNING AND MEMORY,3.00,"This field has exploded with the introduction of new techniques,
approaches, and concepts. Includes classical and modern concepts of
learning and memory across all levels, including behavioral, anatomical,
cellular, molecular and genetic. Basic concepts will be related to known
diseases of learning and memory.
Prereq- Neuroscience Core Curriculum course and instructor permission.",,,,,,,
NEUR 507,NEUROBIOLOGY OF DISEASE,2.00,"Analyzes current basic research on nervous system disease and the
biology of primary disorders of the nervous system, at molecular,
genetic, and cellular levels. For each level, from the retina and
neuromuscular junction to the frontal lobes, clinical features of
prototype disorders will be described and pathophysiological mechanisms
explored
Prereq- Permission of instructor. Limited enrollment.",,,,,,,
PHIL 100,PROBLEMS OF PHILOSOPHY,3.00,"* DISTRIBUTION COURSE: GROUP I
An introduction to philosophy through such fundamental problems as the
basis of morality, the foundation of state authority, determinism and
freedom, and the possibility of knowledge.",001,MWF,01:00PM,01:50PM,PL,117,"Arpaly, Nomy"
PHIL 106,LOGIC,3.00,"* DISTRIBUTION COURSE: GROUP III
A system of natural deduction is used to establish the validity of
arguments which turns on their truth functional or quantificational
form.",001,TTH,09:25AM,10:40AM,,,"Roush, Sherrilyn"
PHIL 108,THE PHILOSOPHICAL LIFE:A LITERARY AND HIS,3.00,"* DISTRIBUTION COURSE: GROUP I
An introduction to philosophy through historical and contemporary
philosophical and literary sources-including Sophocles, Plato,
Shakespeare, Descartes, Dostevsky, Nietzsche, Mann, Sartre, and others.",001,MWF,09:00AM,09:50AM,SH,352,"Crowell, Steven"
ARCH 674,THE JOY OF MATERIALS,3.00,See Arch 374.,,,,,,,
PHIL 202,HIST OF PHILOSOPHY II,3.00,"* DISTRIBUTION COURSE: GROUP I
A survey of the history of philosophy from the seventeenth to the
twentieth century.",001,TTH,10:50AM,12:05PM,SS,106,"Kulstad, Mark"
PHIL 302,MODERN PHILOSOPHY,3.00,"* DISTRIBUTION COURSE: GROUP I
Examination of themes or authors in modern philosophy.",001,TTH,02:30PM,03:50PM,SH,303,"Kulstad, Mark"
PHIL 303,THEORY OF KNOWLEDGE,3.00,"* DISTRIBUTION COURSE: GROUP I
Topics: analysis of knowledge, foundations of knowledge, skepticism,
perception, etc.
Prereq- one course in philosophy.",001,TTH,10:50AM,12:05PM,SH,352,"Kovach, Adam"
PHIL 304,METAPHYSICS,3.00,"* DISTRIBUTION COURSE: GROUP I
Examination of metaphysical theories in the works of historical and
contemporary thinkers. Topics may include: free will, the identity of
persons overtime, causation, possibility and necessity, design and
chance, the nature of existence, the nature of time.
Prereq- one course in philosophy.",001,TTH,01:00PM,02:15PM,PL,119,"Kovach, Adam"
PHIL 306,ETHICS,3.00,"* DISTRIBUTION COURSE: GROUP I
This course deals with fundamental questions of value and
morality-questions such as: What sort of life is best? What kind of
preson is it best to be? What does morality require of us? It also
deals with important second-order questions about these fundamental
questions-for example: Can morality be justified? How can we know
what's right or good? Is there moral truth? What is the relation
between morality and self-interest? Readings are drawn from both
classical and contemporary sources.",001,MWF,02:00PM,02:50PM,SH,303,"Arpaly, Nomy"
PHIL 307,SOCIAL AND POLITICAL PHILOSOPHY,3.00,"* DISTRIBUTION COURSE: GROUP I
What makes a society just? On what grounds may the liberty of
individuals be legitimately limited? What social ends may a state
legitimately pursue?",001,MWF,01:00PM,01:50PM,SH,309,"Sher, George"
PHIL 317,ETHICS AND EXISTENCE,3.00,"* DISTRIBUTION COURSE: GROUP I
An examination of the concept of ethical obligation from an existential
point of view. Readings from Kierkegaard, Husserl, Heidegger, Sartre,
Derrida, Levinas, and Apel.",001,MWF,11:00AM,11:50AM,SH,460,"Crowell, Steven"
PHIL 357,"INCOMPLETENESS, UNDECIDABILITY AND COMPU",3.00,"* DISTRIBUTION COURSE: GROUP III
Proof of Godel's Incompleteness Theorems for number theory in several
forms and by various methods, as well as development of several
difinitions of computability for number-theoretic functions,which
are then shown to be equivalent. Includes proof of the unsolvability of
the Halting Problem and analysis of Church's thesis, as well as
exploration of the extension of the concept of computability to
real-valued functions.",001,MWF,10:00AM,10:50AM,PL,120,"Grandy, Richard"
PHIL 402,INDEPENDENT READING II,1.00,See Phil 401.,,,,,,,
PHIL 513,SEMINAR: PHILOSOPHY OF SCIENCE,3.00,,001,TH,01:00PM,04:00PM,RH,240,"Roush, Sherrilyn"
ARCH 676,COMING TO AMERICA,3.00,,,,,,,,
PHIL 521,SEMINAR IN KANT AND HEGEL,3.00,,001,T,02:00PM,05:00PM,,,"Engelhardt, Hugo"
PHIL 530,HISTORY OF ANALYTIC PHILOSOPHY,3.00,Offered alternate years.,001,M,02:00PM,05:00PM,SH,352,"Grandy, Richard"
PHIL 536,SEMINAR IN MEDICAL ETHICS,3.00,"An examination of the theoretical foundations of bioethics emphasizing
principlism, utilitarianism, Kantianism, contractarianism, medicalism,
post-modernism, and casuistry.
Prereq- permission of instructor for undergraduates.",001,W,02:00PM,05:00PM,SH,352,"Brody, Baruch"
PHIL 602,ADV INDEPENDENT READING II,1.00,"001 TBA TBA Sher, George *CURRENT ENR: 0",,,,,,,
PHIL 800,RESEARCH AND THESIS,1.00,,,,,,,,
PHYS 102,ELEC AND MAG (WITH LAB),4.00,"* RESTRICTED DISTRIBUTION COURSE: GROUP III
 *** Hour exams 8 AM TTH ***
See Phys 101.
Enrollment limited to 20 for sections 3 and 4.
A FOUNDATION COURSE",,,,,,,
PHYS 112,ELECTRICITY AND MAGNETISM(W/LAB),4.00,"* RESTRICTED DISTRIBUTION COURSE: GROUP III
 *** Hour exams 8 AM TTH ***
Continuation of Phys 111. Credit will be given for only one of Phys 102
and Phys 112.
Prereq- High school physics and calculus.
A FOUNDATION COURSE",001,MWF,09:00AM,09:50AM,PL,122,"Stevenson, Paul"
PHYS 126,GENERAL PHYSICS II (WITH LAB),4.00,"* RESTRICTED DISTRIBUTION COURSE: GROUP III
A continuation of PHYS 125.
Prereq or coreq: Math 102 or 112.
A FOUNDATION COURSE",,,,,,,
PHYS 194,PHYSICS IN ACTION,1.00,"Examination of the applications of physics in industry, society, and
government.
Prereq- PHYS 101 or equivalent",001,T,07:00PM,08:30PM,PL,210,"Nordlander, Peter"
PHYS 202,MODERN PHYSICS,3.00,"The final semester of the four-semester sequence in physics for science
and engineering students.",001,MWF,09:00AM,09:50AM,PL,210,"Hannon, James"
ARCH 686,ARCHITECTURE AND SOCIETY II (ENLIGHTENME,3.00,"Through a series of case studies, this course will examine the
socio-cultural consequences of exemplary buildings from the
Enlightenment through Postmodernity.
Enrollment is limited to 25.",,,,,,,
PHYS 302,INTERMEDIATE ELECTRODYNAMICS,4.00,"Classical electrodynamics and appropriate mathematical methods.
Emphasis on problem solving.",001,TTH,09:25AM,10:40AM,PL,212,"Miettinen, Hannu"
PHYS 312,INTRO QUANTUM PHYSICS II,3.00,See Phys 311.,001,MWF,09:00AM,09:50AM,PL,212,"Bonner, Billy"
PHYS 331,JUNIOR PHYSICS LAB I,2.00,Prereq- Phys 231.,,,,,,,
PHYS 332,JUNIOR PHYSICS LAB II,2.00,Prereq- Phys 331.,,,,,,,
PHYS 411,INTRO TO NUCLEAR AND PART PHYS,3.00,Offered with additional work as Phys 542.,001,TTH,09:25AM,10:40AM,PL,122,"Mutchler, Gordon"
PHYS 432,SENIOR PHYSICS RESEARCH II,3.00,,001,M,03:00PM,06:00PM,PL,210,"Rimberg, A"
PHYS 462,INDEPENDENT RESEARCH CLASSICAL AND QUANTUM,3.00,See Phys 461.,001,TTH,10:50AM,12:05PM,PL,122,"Pattanayak, Arjendu"
PHYS 522,QUANTUM MECHANICS II,3.00,Continuation of Phys 521.,001,TTH,10:50AM,12:05PM,PL,118,"Duck, Ian"
PHYS 532,CLASSICAL ELECTRODYNAMICS,3.00,"Graduate level electrodynamics.
Also offered as Spac 532.",,,,,,,
PHYS 542,INTRO TO ELEMENTARY PART PHYS,3.00,"Theory of elementary particles and characteristic features of
experimental data. An enriched version of Phys 411.",001,TTH,09:25AM,10:40AM,PL,122,"Mutchler, Gordon"
ARCH 692,URBANISM,3.00,,,,,,,,
PHYS 563,INTRO-SOLID STATE PHYSICS I,3.00,"Fundamental concepts of crystalline solids, including crystal structure,
band theory of electrons, and lattice vibration theory.
An enriched version of Phys 412.
Also offered as Elec 563.",001,TTH,01:30PM,02:45PM,PL,122,"Si, Qimiao"
PHYS 564,INTRO-SOLID STATE PHYSICS II,3.00,"Continuation of Phys 563, including scattering of waves by crystals,
transport theory, and magnetic phenomena.
Also offered as Elec 564.",001,TTH,04:00PM,05:20PM,PL,122,"Rau, Carl"
PHYS 571,MODERN ATOMIC PHYSICS AND QUANTUM OPTICS,3.00,"This is an introductory course at the graduate level. Topics to be
discussed include: atomic structure, principles of lasers, fundamental
interactions of atoms with electro-magnetic radiation, including
coherent effects, laser spectroscopy, quantum optics, and laser cooling
and trapping of atoms; and Bose-Einstein condensation.
Prereq- PHYSICS 311 and 312, or PHYSICS 521.",001,MWF,10:00AM,10:50AM,PL,122,"Hulet, Randall"
